"";"*gr_01";"*gr_02"
"precisar";5;33
"xi";12;17
"comissão";0;15
"coletivo";1;9
"qual";3;67
"ocasião";0;14
"objectivo";4;14
"renan";3;33
"teori";1;11
"internacional";0;20
"telefone";2;8
"confirmar";0;23
"ressaltar";1;9
"contar";5;36
"3";3;8
"estar";60;269
"manifestar";1;13
"denunciar";3;15
"conseguir";2;28
"jornal";4;8
"lado";1;18
"dito";2;23
"chefe";6;33
"central";2;14
"protesto";2;13
"elogiar";3;9
"batista";10;61
"sexta_feira";0;28
"previdência";2;38
"juiz";2;23
"cidadão";5;9
"fiscal";0;10
"correr";4;6
"inquérito";1;28
"mundial";3;14
"governador";0;16
"assessor";0;10
"a";297;2396
"mouro";3;8
"polícia";7;38
"todo";18;95
"7";2;19
"base";2;48
"tensão";5;9
"brasília";4;29
"país";23;132
"stf";13;114
"autorizar";3;22
"minha";4;19
"certo";2;13
"quem";3;42
"lava_jato";5;64
"sul_coreano";0;11
"eleitoral";2;40
"parecer";2;18
"senador";7;80
"geddel";1;11
"chegar";6;37
"denúncia";5;62
"regra";0;13
"premiar";1;20
"nós";2;35
"apresentar";5;32
"ocorrer";3;23
"informar";6;33
"marco";1;15
"popular";1;10
"economia";1;13
"permitir";2;12
"jamais";0;10
"autoridade";1;25
"franco";0;10
"preocupação";2;12
"governo";17;184
"proteger";4;7
"emílio";2;8
"lembrar";0;15
"pretender";2;10
"visita";0;10
"g1";0;16
"atacar";4;13
"valer";3;10
"claro";4;16
"trocar";1;10
"porque";2;41
"agenda";0;25
"sessão";1;11
"senhor";0;20
"globo";7;6
"democracia";1;11
"nomear";0;11
"junho";2;9
"único";3;16
"final";2;21
"quando";3;60
"bem";11;29
"procurador_geral";1;20
"mês";5;17
"necessidade";1;12
"explicar";1;12
"tornar";2;13
"atuar";1;19
"atual";4;34
"palocci";0;15
"frente";0;10
"aqui";3;10
"povo";2;16
"pinheiro";0;10
"chamar";6;13
"possibilidade";1;17
"mesmo";10;57
"possível";3;24
"parte";5;32
"presidência";3;34
"estado";12;124
"sexto";0;10
"vida";3;14
"fechar";0;12
"fato";3;27
"investigar";4;29
"integrante";0;10
"fernando";0;18
"twitter";3;19
"congresso";4;50
"motivo";2;8
"usar";4;21
"ação";10;54
"washington";1;13
"questionar";3;22
"norte";12;76
"frigorífico";1;11
"apesar";2;17
"tasso";0;10
"presente";2;8
"exigir";4;11
"reforma";3;73
"tratar";0;34
"manifestante";2;10
"segurança";9;39
"sírio";9;59
"tipo";1;12
"sobre";13;154
"cidade";1;9
"padilha";1;17
"pyongyang";4;15
"obstrução";2;18
"químico";4;20
"arma";6;22
"cassar";0;15
"candidatura";0;12
"união";0;14
"abaixo";2;24
"gente";1;12
"mensagem";3;14
"onu";2;8
"conduta";1;9
"entrar";0;15
"gravação";7;19
"segundo";0;124
"abrir";2;14
"geral";1;21
"eunício";2;23
"ex_deputado";2;14
"pmdb";5;44
"anunciar";5;17
"plenário";3;15
"marcar";1;12
"sair";0;19
"triplex";1;11
"falar";9;61
"durante";21;44
"judiciário";0;13
"estratégia";1;12
"encontrar";3;25
"servir";3;11
"ir";83;433
"kim";12;28
"programa";4;12
"candidato";0;33
"assim";3;25
"aéreo";2;14
"negar";3;34
"outro";12;83
"rejeitar";2;8
"apontar";2;17
"carta";1;10
"trabalho";0;13
"armado";4;7
"foro";5;20
"trabalhista";1;17
"condição";1;17
"tarde";4;14
"publicar";6;16
"russo";2;23
"menos";4;13
"propina";5;36
"dia";2;89
"viagem";1;16
"instituto";1;14
"organização";3;30
"bom";3;17
"ex_ministro";0;14
"sofrer";4;15
"mais";38;167
"maia";13;66
"maio";0;10
"jornalista";5;5
"janeiro";0;21
"negociação";0;10
"agir";5;13
"fazer";24;180
"acrescentar";2;19
"ministro";15;131
"americano";6;106
"renúncia";1;14
"11";3;7
"10";1;17
"15";1;16
"número";0;12
"19";0;15
"chinês";9;13
"preciso";1;14
"planalto";1;47
"já";18;94
"e_mail";0;11
"razão";0;10
"alemanha";4;7
"proposta";1;24
"achar";3;29
"renunciar";5;14
"família";5;19
"partido";4;71
"alvo";1;9
"então";2;82
"cassação";1;9
"4";2;10
"viver";2;8
"imagem";2;9
"criticar";1;18
"empresa";3;39
"janot";8;42
"pessoa";3;48
"responsabilidade";0;14
"agora";8;43
"advogado";5;19
"interesse";2;18
"general";2;10
"dilma";23;83
"decisão";3;44
"incluir";5;14
"vladimir";3;20
"dem";0;13
"sistema";6;19
"20";2;17
"21";1;14
"pena";3;7
"respeito";2;9
"analisar";1;13
"verdade";3;12
"secretaria";1;9
"comando";1;20
"cada";0;16
"dono";2;38
"para";110;632
"silêncio";1;20
"essa";9;63
"esse";7;53
"lançar";2;12
"carne";3;11
"8";3;9
"meio";2;33
"fazenda";0;10
"eleição";1;48
"filho";5;12
"coreia";9;93
"opinião";0;10
"vário";2;12
"declarar";13;20
"lula";17;150
"sociedade";0;13
"jbs";6;58
"entre";7;72
"líder";10;45
"rede";3;7
"mostrar";5;16
"financeiro";1;10
"pmdb_rj";1;11
"poder";40;169
"dinheiro";8;32
"jaburu";1;19
"relação";8;39
"chapa";2;12
"depoimento";3;26
"palácio";2;50
"votação";5;19
"operação";7;36
"luiz";2;18
"30";0;11
"presidente";229;1638
"força";5;26
"chamado";1;9
"caminho";2;11
"julgamento";4;11
"ideia";1;12
"unido";4;68
"eua";29;63
"dar";9;77
"mandato";5;37
"vice_presidente";0;11
"edson";2;18
"lá";1;11
"meirelles";1;23
"que";239;1668
"marcelo";3;15
"ameaçar";3;7
"pgr";6;23
"rocha";4;23
"discutir";0;22
"eleger";2;20
"fórum";0;16
"petrobras";1;16
"mil";4;12
"milhão";4;34
"oliveira";2;24
"posição";2;18
"balístico";1;11
"petista";5;7
"controlo";2;8
"gilmar";7;13
"terça_feira";3;20
"manhã";4;22
"norte_coreano";4;20
"mundo";7;22
"república";25;175
"rodrigo";14;79
"executivo";1;23
"reunir";3;28
"teste";1;19
"resolver";8;13
"assinar";2;10
"também";11;130
"encontro";5;42
"quanto";2;13
"apartamento";2;13
"j";1;21
"supremo";3;35
"oas";0;13
"membro";0;13
"sempre";0;16
"secretário";2;15
"decidir";5;18
"acordo";9;59
"março";0;21
"gravar";1;23
"saber";7;51
"pouco";5;25
"me";4;16
"política";6;58
"político";8;66
"empreiteiro";2;15
"enviar";11;18
"nunca";3;26
"acontecer";5;30
"movimento";0;18
"quinto";0;19
"tom";1;12
"após";10;77
"recado";8;8
"tratado";0;10
"aécio";2;54
"caber";0;13
"presidencial";2;10
"relator";3;31
"manifestação";0;11
"acreditar";1;26
"alguma";3;19
"resposta";2;12
"jantar";2;8
"conta";1;21
"exterior";5;9
"gestão";0;12
"acusação";4;30
"ela";8;33
"ele";35;247
"privilegiado";4;11
"donald";15;74
"mão";3;9
"preocupado";1;9
"esperar";4;16
"civil";1;15
"regime";0;10
"junto";0;17
"peemedebista";2;17
"pauta";0;13
"quase";2;13
"melhor";6;15
"semana";8;50
"tillerson";1;10
"seguinte";3;17
"tribunal";1;35
"trump";45;157
"conduzir";1;9
"1";7;13
"primeiro";3;61
"voltar";7;32
"passar";7;38
"maior";6;38
"ameaça";11;28
"avaliar";0;20
"pro";1;26
"ano";7;84
"apoiar";1;19
"qualquer";1;54
"ouvir";0;16
"crime";5;36
"administração";3;11
"referir";5;10
"federal";7;61
"câmara";21;137
"como";15;211
"por";71;571
"acabar";8;9
"cunha";11;52
"casa";7;47
"caso";7;49
"prisão";2;11
"evento";2;9
"golpe";5;11
"derrubar";5;11
"tanto";0;10
"moon";0;15
"comunicado";0;14
"_";0;117
"último";11;45
"ex_presidente";3;48
"ex_assessor";1;9
"pronunciamento";4;18
"defesa";6;50
"5";1;16
"joesley";18;102
"grupo";4;52
"ptb";0;12
"abin";5;14
"existir";4;20
"ter";51;383
"sua";14;113
"sul";5;29
"avaliação";1;11
"evitar";0;16
"texto";1;15
"dem_rj";1;25
"provocar";4;9
"começar";0;21
"avanço";0;15
"relatar";1;19
"lhe";2;9
"dentro";4;13
"grande";3;20
"delação";9;68
"ricardo";2;11
"ficar";7;36
"pedido";2;30
"cercar";2;18
"envolver";2;18
"senado";14;62
"projeto";5;28
"direito";2;30
"situação";7;20
"história";4;12
"vítima";1;9
"início";2;16
"demonstrar";2;13
"considerar";2;20
"pt";5;36
"criar";2;16
"pf";4;11
"pmdb_ce";0;13
"bombardeio";2;10
"rio";1;29
"empresário";3;63
"9";0;10
"apenas";2;17
"direto";2;11
"rádio";2;8
"comandar";2;15
"exemplo";0;17
"fase";0;10
"quinta_feira";1;19
"norte_americano";12;5
"sérgio_moro";3;14
"tentativa";2;13
"conselho";3;31
"problema";5;15
"vice";1;11
"nenhum";3;37
"palavra";3;10
"psdb";3;40
"informação";6;27
"península";4;6
"defender";0;48
"público";8;70
"jae_in";0;16
"comentar";2;15
"uso";1;15
"tal";4;11
"sim";4;11
"ainda";11;106
"superior";1;21
"dever";6;70
"prático";0;12
"legado";0;10
"embora";0;10
"lugar";4;13
"centro";0;14
"japão";3;9
"pensar";1;9
"local";1;12
"noruega";3;7
"partir";1;14
"pagar";1;28
"favor";3;11
"trabalhar";1;20
"bbc";0;10
"diante";0;10
"quarta_feira";0;22
"íntegro";0;18
"responsável";2;15
"notícia";3;15
"michel_temer";82;442
"manter";7;28
"diretamente";1;9
"preso";4;13
"acompanhar";3;15
"cometer";3;11
"odebrecht";5;46
"wesley";0;10
"em";215;1970
"lúcia";9;45
"funaro";2;13
"tema";0;18
"negociar";4;9
"branco";4;17
"assunto";1;30
