"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"acontecer";-1,492;0,002;-1,649;-0,148;9,04;-0,001
"trabalhar";-1,714;16,84;-0,201;-2,081;-0,08;-0,03
"só";-1,714;-0,009;-0,201;1,593;-0,08;0,716
"semana";-1,273;0,047;-0,014;-0,043;0,001;1,73
"risco";-1,714;-1,317;10,655;-2,081;0,488;-0,03
"relatar";-0,001;2,029;-0,014;-1,545;0,001;0,02
"matar";-1,273;-0,978;-0,014;-0,043;11,703;-1,06
"existir";-1,714;-0,009;-0,201;-2,081;2,823;3,484
"deus";-0,627;0,999;-0,693;4,144;-0,584;-0,522
"comida";-1,273;-0,978;-1,406;-1,545;-1,186;36,055
"apartamento";15,124;-1,146;-1,649;-1,812;0,835;-1,242
"afirmar";1,154;-0,978;-1,406;-1,545;0,001;6,188
"água";-1,055;-0,811;0,007;-1,281;7,314;0,118
"vítima";0,031;-0,811;5,835;-1,281;-0,983;0,118
"vizinho";0,569;0,999;-0,693;0,338;-0,584;-0,522
"testemunha";30,022;-0,978;-1,406;-1,545;-1,186;-1,06
"site";-0,84;-0,645;17,929;-1,02;-0,783;-0,699
"sentir";-1,055;0,175;-1,166;-1,281;-0,983;17,528
"saudável";-1,492;-1,146;0,483;-1,812;-1,391;18,713
"próstata";-1,273;-0,978;27,163;-1,545;-1,186;-1,06
"país";-1,055;-0,811;22,523;-1,281;-0,983;-0,879
"passageiro";-1,273;-0,978;-1,406;-1,545;-1,186;36,055
"papa";30,022;-0,978;-1,406;-1,545;-1,186;-1,06
"ocorrer";-0,627;-0,482;-0,693;0,338;5,764;-0,522
"menor";-1,273;-0,978;4,052;-1,545;1,359;0,02
"ler";-1,273;-0,978;-0,014;3,477;1,359;-1,06
"internet";-0,627;-0,482;4,671;0,338;-0,584;-0,522
"informação";15,124;-1,146;-1,649;0,333;-1,391;-1,242
"humano";-1,492;0,002;-0,087;-1,812;-0,018;10,483
"globo";-0,84;-0,645;17,929;-1,02;-0,783;-0,699
"eua";-0,84;-0,645;2,674;0,064;0,239;-0,699
"dever";-1,055;3,015;-1,166;-1,281;0,058;2,64
"decidir";-0,84;0,445;0,113;0,064;0,239;-0,699
"confirmar";1,154;-0,978;-0,014;-1,545;0,001;1,73
"cercar";10,737;0,047;-1,406;-1,545;0,001;-1,06
"cardíaco";-1,273;-0,978;17,186;-0,043;-1,186;-1,06
"camila";-1,492;-1,146;-1,649;-1,812;-1,391;42,277
"bom";-0,84;4,569;-0,928;-1,02;0,239;0,351
"alimento";-1,273;-0,978;-1,406;-1,545;-1,186;36,055
"alimentar";-1,273;0,047;0,896;-1,545;-1,186;6,188
"voltar";-0,84;13,017;-0,928;-1,02;0,239;-0,699
"tratamento";-0,627;-0,482;4,671;-0,761;0,67;-0,522
"tirar";-0,84;0,445;0,113;2,295;-0,783;-0,699
"tempo";-1,273;0,047;-1,406;8,413;0,001;-1,06
"sul";-0,84;-0,645;17,929;-1,02;-0,783;-0,699
"servir";1,903;-0,811;-1,166;-1,281;-0,983;8,443
"santo";9,669;-0,645;0,113;-1,02;-0,783;-0,699
"salvar";-1,055;-0,811;1,564;5,125;-0,983;-0,879
"sair";0,181;0,445;0,113;-1,02;-0,783;0,351
"revelar";-1,055;-0,811;12,821;-1,281;-0,983;0,118
"respiração";-1,273;-0,978;-1,406;-1,545;-1,186;36,055
"qualidade";-1,055;-0,811;0,007;11,531;-0,983;-0,879
"processo";-1,055;-0,811;0,007;0;-0,983;8,443
"parte";0,031;-0,811;0,007;0;2,168;-0,879
"joana";14,334;-0,811;-1,166;-1,281;0,058;-0,879
"gravidez";0,031;-0,811;-1,166;-1,281;-0,983;17,528
"estudo";-0,001;-0,978;4,052;-0,043;0,001;-1,06
"divulgar";0,569;-0,482;-0,693;4,144;-0,584;-0,522
"conhecer";-1,055;-0,811;-1,166;11,531;-0,983;0,118
"compressão";-0,84;-0,645;-0,928;16,318;-0,783;-0,699
"carne";-0,84;-0,645;-0,928;16,318;-0,783;-0,699
"assistir";-1,273;0,047;-1,406;15,495;-1,186;-1,06
"apresentador";-0,627;0,999;4,671;-0,761;-0,584;-0,522
"aparecer";-0,627;0,999;0,441;0,338;-0,584;-0,522
"acusar";24,893;-0,811;-1,166;-1,281;-0,983;-0,879
"área";0,031;-0,811;0,007;-1,281;7,314;-0,879
"tsunami";-1,055;-0,811;-1,166;-1,281;26,712;-0,879
"serviço";-0,84;-0,645;8,613;-1,02;0,239;-0,699
"rua";9,669;-0,645;-0,928;0,064;-0,783;-0,699
"roma";24,893;-0,811;-1,166;-1,281;-0,983;-0,879
"responsável";-0,627;0,999;4,671;-0,761;-0,584;-0,522
"relato";24,893;-0,811;-1,166;-1,281;-0,983;-0,879
"realizar";-0,627;0,999;-0,693;4,144;-0,584;-0,522
"precisar";-1,055;-0,811;0,007;1,281;0,058;0,118
"perder";-0,627;-0,482;0,441;0,338;0,67;-0,522
"partir";1,903;0,175;1,564;-1,281;-0,983;-0,879
"número";-0,627;-0,482;13,38;-0,761;-0,584;-0,522
"moto";-0,627;19,246;-0,693;-0,761;-0,584;-0,522
"manter";0,181;4,569;0,113;-1,02;-0,783;-0,699
"madrugada";0,569;-0,482;-0,693;4,144;-0,584;-0,522
"limpar";-0,84;-0,645;-0,928;-1,02;0,239;11,9
"levar";-0,627;-0,482;-0,693;0,338;0,67;0,852
"lado";-0,84;-0,645;-0,928;0,064;3,472;0,351
"jornalista";-0,84;-0,645;8,613;-1,02;0,239;-0,699
"italiano";19,815;-0,645;-0,928;-1,02;-0,783;-0,699
"instituto";-0,84;-0,645;2,674;-1,02;3,472;-0,699
"idade";-1,055;-0,811;22,523;-1,281;-0,983;-0,879
"governo";1,903;3,015;0,007;-1,281;-0,983;-0,879
"gay";9,669;-0,645;-0,928;0,064;-0,783;-0,699
"funcionário";-0,627;0,999;-0,693;4,144;-0,584;-0,522
"fato";-1,055;0,175;-1,166;-1,281;15,495;-0,879
"difícil";-1,055;-0,811;-1,166;5,125;2,168;-0,879
"destacar";-0,84;-0,645;8,613;-1,02;-0,783;0,351
"dente";-0,84;-0,645;0,113;-1,02;3,472;0,351
"declarar";-0,84;-0,645;-0,928;0,064;10,48;-0,699
"conferir";-1,055;9,333;0,007;0;-0,983;-0,879
"companhia";-0,627;-0,482;-0,693;-0,761;-0,584;17,76
"cometer";5,289;-0,482;-0,693;-0,761;0,67;-0,522
"chamado";14,334;-0,811;0,007;-1,281;-0,983;-0,879
"causar";0,031;-0,811;-1,166;-1,281;15,495;-0,879
"causa";-0,84;-0,645;0,113;0,064;0,239;0,351
"benefício";0,569;0,999;-0,693;-0,761;-0,584;0,852
"avião";-0,84;0,445;0,113;-1,02;-0,783;4,084
"atingir";3,124;0,445;-0,928;-1,02;0,239;-0,699
"ar";-0,627;-0,482;0,441;-0,761;-0,584;6,598
"alegar";-0,84;-0,645;-0,928;7,713;-0,783;0,351
"akahi";-0,84;-0,645;-0,928;-1,02;-0,783;23,798
"acusação";6,67;-0,811;0,007;-1,281;0,058;-0,879
"voo";-0,627;-0,482;0,441;-0,761;-0,584;6,598
"vir";0,569;0,999;-0,693;-0,761;-0,584;0,852
"tiro";19,815;-0,645;-0,928;-1,02;-0,783;-0,699
"terramoto";-0,627;-0,482;-0,693;-0,761;15,869;-0,522
"segurança";19,815;-0,645;-0,928;-1,02;-0,783;-0,699
"refeição";-0,84;-0,645;-0,928;-1,02;-0,783;23,798
"questão";-0,84;-0,645;0,113;-1,02;3,472;0,351
"próximo";-0,627;-0,482;13,38;-0,761;-0,584;-0,522
"proteína";-0,627;-0,482;4,671;-0,761;0,67;-0,522
"postagem";-0,627;7,254;0,441;-0,761;-0,584;-0,522
"possuir";0,569;0,999;-0,693;0,338;-0,584;-0,522
"político";-0,84;-0,645;-0,928;-1,02;21,263;-0,699
"perceber";-0,627;7,254;0,441;-0,761;-0,584;-0,522
"paciente";0,181;-0,645;0,113;2,295;-0,783;-0,699
"noite";0,181;-0,645;-0,928;0,064;3,472;-0,699
"neve";-0,627;-0,482;4,671;-0,761;0,67;-0,522
"morto";-0,84;-0,645;-0,928;-1,02;21,263;-0,699
"milhar";0,181;-0,645;-0,928;-1,02;10,48;-0,699
"matéria";-0,627;-0,482;4,671;-0,761;-0,584;0,852
"manhã";-0,84;4,569;0,113;-1,02;0,239;-0,699
"interno";-0,627;0,999;0,441;0,338;-0,584;-0,522
"harley";-0,84;25,789;-0,928;-1,02;-0,783;-0,699
"ganhar";-0,84;25,789;-0,928;-1,02;-0,783;-0,699
"fácil";-0,84;-0,645;-0,928;16,318;-0,783;-0,699
"fonte";0,181;-0,645;0,113;0,064;-0,783;0,351
"fome";-0,627;-0,482;-0,693;-0,761;-0,584;17,76
"fogo";19,815;-0,645;-0,928;-1,02;-0,783;-0,699
"explicar";-0,84;-0,645;-0,928;0,064;0,239;4,084
"exame";-0,84;-0,645;0,113;-1,02;-0,783;11,9
"energia";-0,84;-0,645;-0,928;-1,02;0,239;11,9
"corpo";-0,627;-0,482;0,441;0,338;0,67;-0,522
"casal";-0,84;-0,645;-0,928;-1,02;-0,783;23,798
"cantor";-0,627;-0,482;0,441;4,144;-0,584;-0,522
"cadeira";-0,627;-0,482;-0,693;4,144;-0,584;0,852
"budeikin";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"bonner";-0,627;-0,482;4,671;-0,761;0,67;-0,522
"bertone";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"aéreo";-0,627;-0,482;-0,693;-0,761;-0,584;17,76
"assunto";-0,84;25,789;-0,928;-1,02;-0,783;-0,699
"apresentar";0,569;-0,482;0,441;-0,761;-0,584;0,852
"aparelho";-0,84;-0,645;2,674;2,295;-0,783;-0,699
"alvorada";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"ajudar";-0,627;0,999;0,441;-0,761;-0,584;0,852
"achar";-0,627;7,254;-0,693;0,338;-0,584;-0,522
"âncora";-0,627;-0,482;4,671;-0,761;0,67;-0,522
"veículo";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"vacina";-0,627;-0,482;-0,693;4,144;0,67;-0,522
"unido";-0,627;-0,482;4,671;0,338;-0,584;-0,522
"sísmico";-0,627;-0,482;-0,693;0,338;5,764;-0,522
"sustentar";-0,627;0,999;-0,693;0,338;-0,584;0,852
"sonho";-0,627;19,246;-0,693;-0,761;-0,584;-0,522
"sofrer";-0,627;-0,482;-0,693;-0,761;0,67;6,598
"sistema";-0,627;-0,482;4,671;-0,761;0,67;-0,522
"significar";-0,627;-0,482;0,441;-0,761;0,67;0,852
"setor";-0,627;0,999;0,441;-0,761;-0,584;0,852
"seguro";-0,627;-0,482;4,671;0,338;-0,584;-0,522
"seguir";0,569;0,999;-0,693;0,338;-0,584;-0,522
"russo";-0,627;-0,482;4,671;0,338;-0,584;-0,522
"resolver";-0,627;0,999;-0,693;-0,761;-0,584;6,598
"resgatar";5,289;0,999;-0,693;-0,761;-0,584;-0,522
"relatório";0,569;-0,482;0,441;-0,761;0,67;-0,522
"recurso";-0,627;0,999;0,441;-0,761;0,67;-0,522
"produto";-0,627;0,999;-0,693;4,144;-0,584;-0,522
"presença";5,289;-0,482;-0,693;-0,761;-0,584;0,852
"presente";5,289;-0,482;0,441;-0,761;-0,584;-0,522
"possibilidade";-0,627;-0,482;4,671;-0,761;0,67;-0,522
"portugal";-0,627;-0,482;-0,693;-0,761;15,869;-0,522
"porto";-0,627;-0,482;0,441;-0,761;5,764;-0,522
"porcento";-0,627;-0,482;13,38;-0,761;-0,584;-0,522
"população";-0,627;7,254;0,441;-0,761;-0,584;-0,522
"pleno";-0,627;-0,482;4,671;-0,761;0,67;-0,522
"planalto";5,289;-0,482;-0,693;-0,761;0,67;-0,522
"pesquisa";-0,627;-0,482;4,671;-0,761;0,67;-0,522
"palácio";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"oficial";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"novembro";5,289;-0,482;-0,693;0,338;-0,584;-0,522
"nhs";-0,627;-0,482;13,38;-0,761;-0,584;-0,522
"necessário";-0,627;-0,482;0,441;0,338;-0,584;0,852
"luz";0,569;-0,482;-0,693;0,338;-0,584;0,852
"lucas";-0,627;-0,482;0,441;4,144;-0,584;-0,522
"localizar";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"imóvel";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"imprensa";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"importar";-0,627;0,999;-0,693;0,338;0,67;-0,522
"hora";-0,627;0,999;0,441;-0,761;0,67;-0,522
"história";5,289;-0,482;0,441;-0,761;-0,584;-0,522
"golfo";-0,627;-0,482;-0,693;-0,761;15,869;-0,522
"gente";-0,627;-0,482;-0,693;12,178;-0,584;-0,522
"fruta";-0,627;-0,482;0,441;-0,761;-0,584;6,598
"frequência";-0,627;-0,482;4,671;-0,761;-0,584;0,852
"forte";5,289;-0,482;-0,693;0,338;-0,584;-0,522
"federal";5,289;-0,482;0,441;-0,761;-0,584;-0,522
"fechado";5,289;0,999;-0,693;-0,761;-0,584;-0,522
"exército";5,289;-0,482;0,441;-0,761;-0,584;-0,522
"evitar";-0,627;-0,482;0,441;-0,761;0,67;0,852
"estranho";0,569;0,999;-0,693;-0,761;0,67;-0,522
"estilo";-0,627;-0,482;0,441;-0,761;-0,584;6,598
"esquecer";-0,627;0,999;-0,693;0,338;-0,584;0,852
"emocional";-0,627;-0,482;0,441;-0,761;0,67;0,852
"educação";-0,627;-0,482;0,441;0,338;0,67;-0,522
"dono";-0,627;0,999;-0,693;-0,761;0,67;0,852
"diretor";-0,627;-0,482;-0,693;0,338;5,764;-0,522
"diagnosticar";-0,627;-0,482;13,38;-0,761;-0,584;-0,522
"deter";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"desviar";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"custar";0,569;0,999;-0,693;-0,761;0,67;-0,522
"cura";-0,627;-0,482;13,38;-0,761;-0,584;-0,522
"cuidado";-0,627;-0,482;-0,693;-0,761;0,67;6,598
"crescer";-0,627;-0,482;0,441;-0,761;-0,584;6,598
"corrupto";-0,627;0,999;0,441;-0,761;0,67;-0,522
"consumir";-0,627;-0,482;-0,693;0,338;-0,584;6,598
"compra";0,569;0,999;-0,693;0,338;-0,584;-0,522
"colunista";-0,627;-0,482;4,671;-0,761;0,67;-0,522
"certo";-0,627;0,999;-0,693;0,338;0,67;-0,522
"cara";-0,627;7,254;-0,693;-0,761;0,67;-0,522
"café";-0,627;-0,482;-0,693;-0,761;0,67;6,598
"cabeleireiro";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"bandeja";-0,627;-0,482;-0,693;-0,761;-0,584;17,76
"autoridade";5,289;-0,482;-0,693;-0,761;0,67;-0,522
"arma";5,289;0,999;-0,693;-0,761;-0,584;-0,522
"alison";-0,627;-0,482;0,441;-0,761;-0,584;6,598
"alerta";0,569;-0,482;0,441;-0,761;0,67;-0,522
"adorar";-0,627;0,999;-0,693;0,338;-0,584;0,852
"de";1,238;-0,552;3,683;-16,184;3,105;0,022
"a";-2,213;-0,83;2,105;-0,178;1,061;0,078
"o";-0,002;-0,001;2,241;-0,866;1,982;-3,919
"em";0,932;0,004;-0,049;-0,937;0,523;-0,253
"que";1,608;0,075;-2,827;-0,254;-0,319;1,931
"ser";-4,567;0,533;0,067;2,152;0,229;-0,77
"um";0,643;-0,448;3,627;-1,22;-0,012;-0,874
"uma";0,359;-0,088;-0,31;1,204;-0,738;-0,007
"ir";13,666;-0,701;-0,04;-0,34;0,246;-7,606
"para";-1,922;1,409;0,074;-0,006;0,006;0,001
"não";-4,891;4,143;-1,894;0,27;0,181;0,739
"por";0,308;0,916;0,413;-0,79;-0,944;-0,045
"com";0,003;-3,677;0,951;0,412;0,076;-0,077
"se";0,049;0,241;-1,909;3,19;-2,036;0,073
"ter";0,186;0,585;-2,519;2,236;0,039;-1,83
"ele";-0,094;11,341;-2,105;-0,178;0,121;-1,523
"estar";0;-0,093;-1,365;-0,008;0,442;0,976
"fazer";-5,334;-0,541;0,978;1,763;0,032;0,158
"sua";-0,942;4,412;-0,28;-1,605;-4,489;10,309
"seu";-0,942;0,576;-2,94;1,074;0,151;0,365
"poder";-5,334;-0,541;-0,023;-0,784;3,943;5,177
"mais";-2,052;1,934;0;0,096;-0,038;0,001
"durante";-1,656;0,132;-0,806;-0,285;-5,463;25,373
"como";0,098;0,075;-0,966;-0,396;7,56;-2,774
"ao";-0,128;0,008;3,392;-0,477;-0,057;-0,489
"todo";-2,282;0,034;0,613;-0,346;0,25;0,511
"também";-0,024;0,081;-0,105;-1,175;1,619;0,022
"ela";-1,64;1,532;-1,966;-0,064;-1,432;10,454
"haver";3,685;-1,099;-4,49;0,061;4,34;-1,302
"você";-2,858;0,035;-0,091;5,934;-2,663;0,792
"quando";-2,858;-0,419;0,189;0,082;0,501;0,792
"outro";-0,16;0,552;-1,51;0;-0,092;1,876
"muito";-2,624;4,184;0,353;-3,187;0,748;0,042
"isso";-3,094;2,834;-0,18;-0,307;1,731;-0,001
"ainda";7,056;-0,541;0,083;-1,552;-0,037;-0,675
"saber";-0,001;0,098;-2,9;0,199;0,003;1,096
"eu";-2,164;2,381;-2,392;0;-0,289;5,415
"entre";0,201;0,005;-0,18;0,69;0,316;-2,576
"já";-0,371;0,358;0,015;0,657;-0,289;-0,181
"até";4,981;-0,052;-0,344;-2,353;-0,173;0,434
"apenas";-2,164;-0,119;-0,507;-0,657;1,504;5,415
"sobre";-0,371;0,358;0,915;-0,657;0,119;-0,181
"me";-0,84;0,445;-0,928;2,295;-0,783;0,351
"algum";9,846;-0,052;-2,142;-0,465;-1,806;0,434
"tudo";-1,714;4,013;-1,894;4,683;-0,08;-1,427
"ver";0,369;0,908;-1,894;-0,293;-1,597;3,484
"sem";-1,714;-0,009;-1,894;-2,081;-1,597;35,381
"através";0,369;-1,317;5,458;-2,081;-1,597;0,716
"após";1,154;0,047;-0,014;-1,545;0,001;0,02
"tipo";-1,273;-0,978;4,052;-0,043;0,001;0,02
"nada";-0,371;-1,663;-2,392;0;1,504;5,415
"último";2,453;-1,317;-0,201;-0,293;2,823;-1,427
"primeiro";-0,123;-1,317;-1,894;0,13;-0,08;8,335
"nunca";-1,714;16,84;-1,894;-0,293;-1,597;0,716
"meu";-1,055;-0,811;-1,166;0;-0,983;17,528
"essa";-1,492;-1,146;-0,087;11,981;-1,391;-0,001
"dois";-0,04;0,002;-0,087;-1,812;-1,391;10,483
"contra";1,154;-0,978;0,896;-0,043;0,001;-1,06
"vário";4,733;-0,978;-1,406;-1,545;1,359;0,02
"trabalho";-1,055;3,015;-1,166;0;-0,983;2,64
"quem";-0,001;2,029;-0,014;0,687;-1,186;-1,06
"quase";-1,055;9,333;-1,166;-1,281;0,058;0,118
"mil";-1,055;0,175;5,835;-1,281;0,058;-0,879
"esse";-1,273;-0,978;0,896;0,687;-1,186;1,73
"alguma";0,677;-1,146;-0,087;-0,148;3,842;-1,242
"quanto";-1,273;0,047;-1,406;3,477;1,359;-1,06
"pouco";-1,055;19,127;-1,166;-1,281;-0,983;0,118
"porque";0,031;0,175;-1,166;1,281;-0,983;0,118
"nosso";-1,055;3,015;0,007;1,281;-0,983;-0,879
"menos";-1,273;-0,978;4,052;-1,545;0,001;1,73
"depois";1,903;-0,811;0,007;0;-0,983;0,118
"dentro";3,124;-0,645;-0,928;-1,02;-0,783;4,084
"agora";-1,055;0,175;-1,166;1,281;-0,983;2,64
"3";-0,001;-0,978;0,896;-1,545;-1,186;6,188
"pro";-0,627;-0,482;-0,693;4,144;-0,584;0,852
"principalmente";-0,84;-0,645;0,113;0,064;3,472;-0,699
"então";-1,273;6,922;-1,406;-1,545;-1,186;6,188
"assim";0,031;0,175;0,007;-1,281;2,168;-0,879
"algo";-1,273;2,029;0,896;-1,545;1,359;-1,06
"5";0,031;3,015;-1,166;0;-0,983;0,118
"21";-0,001;-0,978;4,052;-1,545;1,359;-1,06
"2008";1,903;-0,811;0,007;-1,281;-0,983;2,64
"20";0,569;-0,482;4,671;-0,761;-0,584;-0,522
"segundo";-1,055;-0,811;1,564;1,281;-0,983;0,118
"qualquer";0,181;-0,645;-0,928;-1,02;3,472;0,351
"ontem";0,569;-0,482;0,441;-0,761;0,67;-0,522
"nenhum";-1,055;3,015;1,564;-1,281;0,058;-0,879
"minha";-0,627;-0,482;0,441;4,144;-0,584;-0,522
"hoje";-0,84;4,569;-0,928;-1,02;0,239;0,351
"estado";1,903;-0,811;1,564;0;-0,983;-0,879
"desde";-0,627;0,999;-0,693;-0,761;-0,584;6,598
"cinco";1,903;0,175;-1,166;-1,281;0,058;0,118
"bem";-0,84;0,445;-0,928;2,295;-0,783;0,351
"além";-0,627;0,999;-0,693;-0,761;0,67;0,852
"2016";0,569;-0,482;0,441;0,338;-0,584;-0,522
"2015";-0,84;-0,645;0,113;0,064;3,472;-0,699
"2";-0,627;-0,482;4,671;0,338;-0,584;-0,522
"15";5,289;0,999;-0,693;-0,761;-0,584;-0,522
"tão";-0,84;0,445;2,674;-1,02;0,239;-0,699
"três";0,181;-0,645;-0,928;-1,02;-0,783;11,9
"somente";-0,627;0,999;4,671;-0,761;-0,584;-0,522
"sim";0,569;-0,482;-0,693;-0,761;5,764;-0,522
"lá";-0,627;0,999;-0,693;0,338;0,67;-0,522
"alguém";-0,627;-0,482;0,441;0,338;0,67;-0,522
"acima";0,181;0,445;-0,928;0,064;-0,783;0,351
"abaixo";-0,627;-0,482;4,671;0,338;-0,584;-0,522
"2017";-0,627;-0,482;0,441;-0,761;5,764;-0,522
"2013";9,669;-0,645;-0,928;0,064;-0,783;-0,699
"17";-0,84;0,445;2,674;-1,02;0,239;-0,699
"10";-0,84;-0,645;0,113;-1,02;10,48;-0,699
"000";0,569;-0,482;-0,693;-0,761;5,764;-0,522
"trás";-0,627;-0,482;-0,693;4,144;0,67;-0,522
"tanto";-0,627;-0,482;-0,693;0,338;5,764;-0,522
"sob";0,569;0,999;0,441;-0,761;-0,584;-0,522
"sempre";-0,627;0,999;4,671;-0,761;-0,584;-0,522
"povo";-0,627;0,999;-0,693;-0,761;5,764;-0,522
"infelizmente";-0,627;0,999;-0,693;-0,761;0,67;0,852
"aquele";-0,627;-0,482;0,441;0,338;-0,584;0,852
"7";-0,627;0,999;-0,693;0,338;0,67;-0,522
"4";5,289;-0,482;0,441;-0,761;-0,584;-0,522
"18";5,289;-0,482;0,441;-0,761;-0,584;-0,522
"*txt_1112";-3,332;-2,56;-1,51;-4,046;-3,105;80,238
"*txt_1018";-0,627;7,254;-0,693;-0,761;0,67;-0,522
"*txt_1297";0,369;-1,317;0,23;4,683;-1,597;-1,427
"*txt_1117";1,547;-0,32;-0,46;-0,505;1,719;-0,346
"*txt_1014";-1,938;0,585;-2,142;0,029;10,851;-1,614
"*txt_1118";-2,164;-1,663;-0,507;-2,628;-0,289;35,956
"*txt_1016";-0,416;2,262;-0,46;1,136;-0,388;-0,346
"*txt_1242";-0,207;-0,159;-0,229;4,02;-0,193;-0,172
