"";"classe 1";"classe 2";"classe 3";"classe 4"
"pensar";-4,37;8,423;4,847;-5,521
"parecer";-0,44;6,545;-1,773;-0,208
"obra";4,136;-1,123;-0,88;-0,103
"mãe";9,788;-2,487;0,432;-5,521
"imagem";0,889;-0,351;0,863;-1,52
"corpo";5,102;3,636;-1,967;-7,8
"considerar";4,336;1,642;-6,156;-1,271
"condição";3,323;-1,407;-2,551;0,329
"york";-0,218;-3,151;24,83;-4,986
"verdade";-7,393;1,689;4,44;-0,04
"valer";-0,44;-6,349;3,313;1,83
"uso";-3,088;-4,563;-6,156;33,983
"uscifrão";4,711;-2,05;-1,686;0,033
"psicopata";-8,264;51,64;-0,72;-7,508
"produto";-9,194;-5,277;-4,717;49,09
"preso";45,9;-6,886;-2,164;-10,898
"federal";-1,225;-6,349;-5,675;29,413
"diretor";-0,023;0,267;2,634;-2,9
"continuar";-0,978;-0,153;2,027;0,017
"amigo";5,646;-5,812;10,264;-9,199
"reforma";-9,66;-5,545;-4,956;51,576
"realizar";-0,081;-0,042;-0,695;1,415
"neto";-0,228;37,983;-6,156;-8,217
"matar";28,679;-0,828;-3,222;-9,623
"marca";0,136;0,294;-0,004;-0,651
"justiça";26,578;-5,812;-5,196;-1,31
"jornalismo";-7,337;12,469;-1,686;0,538
"ganhar";-7,848;-0,153;26,819;-1,574
"equipa";-1,313;8,575;-0,215;-1,085
"capital";4,336;-4,563;-2,164;1,096
"ajudar";4,433;-0,53;0,335;-3,985
"vender";-4,248;-0,006;3,427;0,329
"tirar";2,987;-0,178;0,131;-2,881
"tecnologia";-10,593;-2,041;0,123;18,383
"prédio";6,366;-5,01;-0,121;-0,077
"presidente";7,255;-0,007;-3,676;-1,04
"perder";-0,123;0,171;1,373;-1,04
"morar";6,95;-2,041;0,787;-4,745
"milhão";-6,938;-5,545;2,894;11,004
"difícil";-4,666;3,937;-0,295;0,814
"certo";-4,666;17,251;-2,773;-0,004
"casal";26,067;-0,993;-3,448;-7,385
"cair";3,772;-4,477;3,014;-2,527
"ação";7,255;-1,165;-5,915;0,096
"autor";5,606;0,046;-3,053;-1,21
"alto";-0,007;-2,041;2,027;0,017
"época";4,101;-5,01;0,691;-0,618
"série";0,726;1,074;-0,201;-1,976
"quarto";19,794;-2,041;-1,584;-4,745
"principal";-0,216;-0,28;-0,879;3,068
"participar";-2,843;3,937;2,894;-2,29
"jogo";-0,878;-0,042;5,097;-0,651
"francês";0,889;4,237;-1,273;-3,324
"entrevista";-4,248;4,611;1,629;-0,829
"birri";-0,072;2,103;0,097;-1,654
"procurar";0,467;2,079;-1,219;-1,061
"pedir";3,323;-3,034;0,492;-0,829
"pagar";-2,843;-3,285;-1,219;18,347
"oferecer";-0,545;-3,285;0;5,528
"manter";-2,843;-3,285;2,894;3,49
"evento";5,836;-0,498;0,597;-6,245
"colocar";-4,248;-0,006;0,492;2,444
"chamar";-0,07;0,809;0,335;-1,061
"atentado";42,837;-5,812;-5,196;-6,558
"artista";0,614;-3,151;12,269;-4,986
"antonio";20,385;-1,207;-0,879;-7,93
"usado";-0,216;-1,207;-4,479;10,721
"tv";3,522;0,588;-1,403;-2,484
"sul";0,973;0,057;-5,196;0,553
"mínimo";-5,088;-5,812;-2,997;35,244
"jogador";0,006;0,294;0,409;-1,24
"início";-0,927;0,373;0,691;-0,077
"humano";0,001;11,971;-4,479;-1,673
"getúlio";-0,366;36,437;-4,717;-8,352
"econômico";-10,126;-5,812;-1,399;41,072
"droga";-0,101;-4,744;-4,24;16,293
"discussão";-2,639;12,469;-3,765;0,033
"conhecido";0,134;-1,407;5,885;-1,976
"causa";5,329;-0,006;0,016;-5,737
"camus";0,658;2,103;-0,934;-1,654
"branco";5,329;2,534;-4,717;-3,611
"banco";-10,126;-0,085;-1,399;20,434
"atual";-2,133;0,002;-4,479;10,721
"ambiente";-3,836;1,394;-0,121;1,548
"volta";14,174;-5,277;-1,046;-0,829
"semana";-1,531;-1,347;10,445;-0,238
"renata";0,012;-0,059;-1,403;1,26
"registrar";4,711;-2,05;-3,765;0,538
"produzir";-9,66;-1,613;-1,219;27,557
"mão";1,34;-5,545;-2,773;5,528
"mudança";-7,8;-0,832;-0,57;18,565
"lembrar";1,18;-2,05;6,513;-4,117
"isabella";40,085;-4,744;-4,24;-7,508
"incluir";-0,026;-2,292;-0,017;2,649
"esperar";0,001;-0,28;4,04;-1,673
"diverso";1,059;-1,207;-0,121;0,053
"dado";-6,938;-3,285;-2,773;32,862
"carnaval";-8,729;64,296;-2,331;-7,93
"velho";12,393;0,085;-4,002;-4,519
"unido";6,092;-0,832;0,241;-4,519
"trazer";-8,264;0,027;0,937;3,808
"show";-3,836;-5,01;62,485;-7,93
"preciso";-6,034;-1,207;6,757;1,548
"possibilidade";0,044;-0,034;-2,773;1,919
"pedido";6,092;-4,477;-0,017;-0,267
"organizar";0,443;-0,175;-0,097;-0,001
"olhar";-0,216;5,383;-0,121;-1,673
"ocupação";5,329;-3,034;-4,717;1,142
"novela";-8,264;0,027;41,177;-7,508
"música";-5,585;-2,537;58,183;-7,508
"internet";-7,8;-0,832;8,891;1,191
"guerra";0,792;-0,832;-1,898;1,191
"geral";-2,257;1,479;0,012;0,125
"fossar";2,332;-2,784;-0,879;0,543
"explicar";1,481;0,56;-4,24;-0,018
"sentir";6,092;0,085;-0,57;-4,519
"sentido";-2,639;17,236;-0,431;-2,18
"personagem";-5,585;29,489;0,131;-7,508
"perceber";0,319;0,046;0,149;-1,21
"operação";-3,429;-4,744;-2,114;25,796
"número";-0,101;-2,537;0,131;2,045
"norte";12,384;-1,207;-0,879;-3,243
"minuto";8,966;-4,477;1,24;-4,519
"ministério";-0,026;-2,292;-4,002;10,474
"medida";-0,687;-1,015;-2,114;8,963
"junto";-3,03;10,906;-0,57;-0,267
"itália";-0,342;-0,505;-2,108;6,144
"informação";-0,147;0,331;-1,477;0,854
"imóvel";-0,927;-2,784;-4,479;18,398
"gostar";-0,878;-0,042;14,465;-4,568
"faixa";-1,821;-1,045;8,236;-0,034
"evitar";-0,216;3,064;-4,479;0,543
"estudar";-4,694;-0,658;33,189;-4,117
"espaço";-0,342;-0,505;-2,108;6,144
"cultura";-6,874;25,597;0,012;-3,719
"cliente";5,016;-2,537;-0,72;-0,018
"bater";2,005;-0,832;3,014;-4,519
"antigo";-1,797;3,682;2,476;-2,881
"andar";0,296;-2,05;6,513;-2,18
"advogado";9,132;-0,505;-2,108;-1,433
"valor";-2,639;-2,05;-1,686;16,393
"risco";-0,927;-5,01;-4,479;23,009
"ratton";-8,729;-5,01;-4,479;46,606
"população";-3,429;-1,015;-4,24;20,773
"pegar";7,359;-0,658;0,393;-6,665
"nascer";-2,257;19,526;-0,306;-3,719
"londres";31,639;-4,477;-1,898;-7,086
"lei";-0,474;-2,292;-1,898;10,474
"jornalista";-0,591;9,488;-2,344;-0,412
"janeiro";-1,887;-1,577;5,29;0,29
"final";0,319;2,528;-1,073;-1,21
"discurso";-3,38;25,28;-0,105;-5,405
"dificuldade";-3,814;-0,351;2,606;1,274
"descobrir";-0,591;-0,699;6,352;-0,412
"comprar";-4,252;-1,811;0,597;6,945
"chamado";0,498;-2,537;-0,72;2,045
"carreira";-5,029;-0,906;37,476;-4,568
"capacidade";-4,694;2,789;0,393;0,033
"caminho";-0,405;5,187;-1,073;-0,238
"belo";2,652;0,184;0;-4,117
"baixo";-2,257;-0,004;0,597;0,854
"agente";-0,292;2,789;-3,765;0,538
"the";0,988;-0,059;0,819;-2,484
"tarde";12,393;-0,832;-1,898;-2,527
"servidor";-6,412;-3,68;-3,29;34,235
"saúde";-0,474;-4,477;-4,002;18,565
"restaurante";7,07;-3,151;-0,88;-0,103
"real";-0,889;3,447;-1,477;0,125
"previdência";-5,95;-3,415;-3,053;31,77
"médico";18,828;-4,211;-3,765;-0,854
"mineiro";-7,337;-2,05;-1,686;26,562
"maílson";-8,264;-4,744;-4,24;44,126
"ler";7,043;-0,003;-2,344;-1,795
"italiano";-5,029;-2,886;-0,695;20,397
"irmão";11,854;-0,328;-1,873;-3,316
"identificar";4,711;-0,658;-3,765;0,033
"força";0,025;-1,123;0,294;0,1
"especial";-2,639;-2,05;0;8,665
"dinheiro";-5,585;-2,537;4,747;3,808
"construir";-7,8;0,085;-0,017;7,291
"compromisso";-7,8;7,292;-4,002;4,683
"bunuel";2,804;4,146;-2,58;-4,568
"atuar";-0,631;0,005;5,29;-1,52
"atividade";-1,475;-4,477;-4,002;23,474
"vizinho";5,836;-0,498;-1,477;-0,62
"tributário";-3,38;-3,415;-3,053;25,241
"transformar";-0,889;-0,498;11,716;-1,844
"transação";-7,337;-4,211;-3,765;39,174
"tentativa";-0,147;-0,004;-1,477;2,233
"sonho";-3,38;0,814;6,353;-1,21
"sociedade";-4,694;8,473;-3,765;1,654
"seguro";-0,046;0,005;-1,273;1,274
"seguinte";-2,527;1,662;2,205;-0,651
"salário";-1,171;-4,211;-1,686;16,393
"produção";-2,527;-0,042;-2,58;10,148
"prisão";29,413;-4,211;-3,765;-4,117
"pesquisa";-2,734;-0,059;0,819;1,26
"parar";-0,147;3,447;-0,306;-0,62
"município";-7,8;-4,477;-1,898;35,015
"medo";14,417;-2,05;-0,431;-4,117
"março";29,413;-4,211;-1,686;-6,665
"informar";13,199;-0,042;-2,58;-4,568
"fundo";-2,527;-2,886;-2,58;20,397
"funcionário";1,36;-3,415;-3,053;3,849
"frança";3,879;-0,003;0,008;-4,15
"famoso";-0,081;-2,886;20,941;-4,568
"estrada";12,498;-3,946;0,012;-3,719
"crescimento";-6,874;-1,811;-1,477;24,18
"comer";-0,631;0,005;8,915;-3,324
"acompanhar";4,711;-0,658;-1,686;-0,138
"vista";-1,887;1,948;0,863;-0,413
"universidade";0,136;-0,906;-0,004;0,275
"terceiro";-0,405;-0,224;1,206;0,016
"taxa";-4,252;-3,946;-3,527;30,116
"solução";-5,489;-3,151;-0,88;22,815
"reunir";3,661;0,092;-0,215;-3,316
"proposta";-5,489;-3,151;0,294;12,264
"padrão";-5,95;8,792;-1,073;0,543
"oficial";16,184;-2,622;-0,52;-4,15
"motivo";0,614;-3,151;7,632;-2,547
"livre";-2,95;1,181;7,632;-2,547
"lincoln";18,368;-0,906;-2,58;-4,568
"lidar";-0,878;-0,042;0,507;0,275
"jogar";-0,001;0,814;0,149;-1,21
"garantir";-0,147;-1,811;-3,527;10,278
"fundamental";-1,193;6,339;-2,816;0,1
"funcionar";-1,193;-3,151;-0,88;12,264
"forte";0,543;0,331;-0,306;-0,62
"euro";-5,029;-2,886;-0,695;20,397
"espécie";-5,95;8,792;0,149;-0,238
"comunidade";-1,193;3,248;-0,039;-0,103
"claro";-3,38;2,528;1,206;-0,238
"campo";-2,95;-1,123;0,294;4,962
"cabeça";8,854;-3,946;-1,477;-0,047
"avô";29,413;-2,05;-3,765;-6,665
"aprender";-5,029;4,146;5,097;-2,167
"apontar";0,736;-2,359;0,065;0,075
"aparecer";0,296;-0,037;3,649;-4,117
"alexandra";12,742;-0,224;-1,073;-5,405
"acidente";3,578;-1,045;0,097;-1,654
"aberto";-4,569;-0,003;2,924;0,567
"utilizar";-0,405;-0,224;-3,053;6,628
"trauma";7,186;0,005;-1,273;-3,324
"tender";-1,193;3,248;1,644;-2,547
"superior";-2,527;-2,886;-2,58;20,397
"silva";13,199;-0,906;-0,695;-4,568
"revelar";-0,218;-0,118;0,294;0,1
"resultado";-0,94;-1,832;12,66;-0,757
"responder";-0,405;-3,415;10,445;-0,238
"prefeito";-6,412;-3,68;-3,29;34,235
"pessoal";-0,218;1,181;1,644;-2,547
"papel";-0,889;6,236;-0,306;-0,62
"novembro";3,661;-2,095;-0,215;-0,069
"nota";5,606;-3,415;-1,073;0,016
"moto";14,739;-3,68;-0,196;-3,324
"moderno";-4,109;11,672;-0,358;-0,213
"militar";17,393;-3,415;-3,053;-1,21
"ligar";0,736;3,118;-2,108;-1,433
"futuro";-6,412;1,948;-3,29;8,407
"função";-4,109;3,118;-2,108;3,04
"especialista";-0,94;-1,832;-1,638;10,859
"envolver";1,984;-0,118;-0,039;-0,919
"década";-2,95;3,248;1,644;-0,919
"divulgar";0,319;-1,347;-1,073;1,821
"depender";-5,95;0,046;3,273;0,543
"decidir";1,36;-1,347;0,149;-0,238
"cultural";-1,887;16,376;-3,29;-0,413
"criação";-0,218;-1,123;-0,88;4,962
"criatividade";-5,489;-1,123;41,773;-4,986
"controlo";-2,95;1,181;-2,816;4,962
"conteúdo";-3,65;-2,095;9,974;0,268
"busca";-0,001;-0,224;-1,073;1,821
"ator";-5,489;-3,151;51,888;-4,986
"alegar";16,769;-3,946;-3,527;-0,62
"índio";0,361;0,533;-2,344;0,003
"virar";-0,081;-2,886;5,097;-0,02
"up";-5,489;-3,151;51,888;-4,986
"teatro";-4,569;-0,699;33,194;-4,15
"sucesso";-4,109;-0,505;20,474;-1,433
"stand";-5,489;-3,151;51,888;-4,986
"servir";-0,007;0,533;-0,52;0,003
"sentar";1,044;1,662;-0,695;-2,167
"roberto";-0,342;17,993;-2,108;-3,733
"recurso";-2,95;-1,123;-2,816;17,133
"razão";-5,029;12,463;-0,004;-0,651
"qualidade";-4,569;-0,699;-0,52;12,558
"prêmio";-3,65;4,216;1,816;-1,085
"presente";-2,95;10,454;-0,039;-0,919
"período";-4,109;0,884;0,065;1,017
"permanecer";-1,531;-1,347;-1,073;10,156
"papelão";-4,569;-2,622;-2,344;24,393
"palavra";-0,591;2,291;2,924;-4,15
"operar";-1,705;0,013;-0,358;3,04
"negro";15,284;-1,123;-2,816;-2,547
"manifestar";-1,365;-0,783;-0,7;7,287
"loja";1,933;-1,307;-1,168;0,283
"legal";-2,95;6,339;1,644;-2,547
"imprensa";4,136;0,138;-2,816;-0,919
"hotel";5,291;-0,175;-0,097;-2,9
"governador";-6,412;-3,68;-3,29;34,235
"gosto";-4,569;-0,699;33,194;-4,15
"frente";1,044;-0,906;2,205;-2,167
"foto";5,606;0,046;-0,105;-5,405
"estúdio";-2,277;19,243;-1,168;-2,069
"entregar";3,122;-3,415;6,353;-5,405
"dor";5,606;-3,415;1,206;-2,933
"determinado";-5,95;0,046;-3,053;14,434
"defender";2,804;-0,906;0,507;-2,167
"dedicar";-0,145;-0,328;1,816;-0,069
"dan";-6,412;0,005;32,814;-5,825
"correto";-6,412;28,862;-3,29;-0,413
"correr";10,786;-3,151;-0,88;-0,919
"conversar";0,025;1,181;-0,88;-0,103
"contrário";-0,405;2,528;-1,073;0,016
"construção";-2,527;7,747;-2,58;0,275
"começo";-0,007;2,291;0,008;-1,795
"carro";12,742;-1,347;-3,053;-1,21
"carlos";0,136;-2,886;0,507;0,275
"buscar";-1,193;6,339;-2,816;0,1
"bonito";-1,193;21,754;-0,88;-4,986
"análise";-0,145;1,388;-0,215;-0,069
"alimento";-3,814;-1,577;-3,29;21,813
"verde";-0,94;5,701;-0,097;-0,757
"vargas";-0,081;18,296;-2,58;-4,568
"tocar";-0,878;0,294;2,205;-0,651
"stulbach";-5,95;0,046;28,793;-5,405
"sp";5,291;-1,832;-0,097;-0,757
"setor";-1,193;-3,151;-2,816;17,133
"rádio";-5,489;-0,118;24,83;-2,547
"responsável";2,804;-2,886;-2,58;1,415
"reportagem";5,417;-0,906;-0,695;-0,651
"relatar";17,393;-1,347;-1,073;-5,405
"recente";-0,023;-1,832;-0,097;2,655
"questionar";7,043;-0,699;-0,52;-1,795
"professor";-0,294;-0,001;0,004;0,283
"peça";-3,192;2,109;6,711;-2,9
"pacto";-0,405;-3,415;-3,053;14,434
"olho";5,606;-3,415;1,206;-2,933
"nível";-0,591;-0,699;-2,344;8,1
"notícia";-0,94;5,701;-0,097;-0,757
"museu";3,578;-1,045;-0,934;-0,034
"lançar";-5,95;-1,347;6,353;1,821
"internacional";5,291;0,267;-1,638;-2,9
"ideal";-0,594;-0,059;0,819;0,05
"idade";0,136;1,662;-2,58;-0,02
"homicídio";0,025;-3,151;-2,816;8,207
"histórico";-0,007;5,276;-2,344;-0,412
"habitante";-5,95;-1,347;-1,073;19,463
"fóssil";-5,029;-2,886;-2,58;26,849
"familiar";-0,081;4,146;-0,695;-0,651
"falta";-1,193;1,181;-0,88;0,908
"exigir";0,136;-0,042;-0,695;0,275
"estudo";-5,029;18,296;-0,004;-2,167
"estudante";15,284;-3,151;-2,816;-0,919
"energia";-5,029;-0,906;0,507;6,351
"distrito";0,988;-0,059;-0,02;-0,458
"discutir";-2,111;9,488;-2,344;0,003
"delegado";2,804;-2,886;-2,58;1,415
"custo";-3,38;-3,415;-1,073;19,463
"curso";-1,705;0,013;7,936;-1,433
"conselho";17,393;-1,347;-3,053;-2,933
"confirmar";1,984;-3,151;-0,039;0,1
"companhia";2,199;-1,832;-0,097;-0,001
"clássico";-1,821;2,103;0,097;-0,034
"cenário";-3,192;2,109;6,711;-2,9
"central";-2,527;-0,906;9,184;-0,02
"canal";-0,072;-1,045;0,097;0,839
"bruno";26,624;-3,151;-2,816;-4,986
"broadcast";-5,95;-3,415;-3,053;31,77
"autoridade";3,879;-0,003;-2,344;-0,412
"aprovar";-0,218;-1,123;-2,816;8,207
"alexandre";22,16;-2,622;-2,344;-4,15
"zona";4,136;-1,123;-2,816;0,1
"utilização";-0,878;-0,906;-2,58;10,148
"usuário";-2,111;-2,622;-2,344;17,989
"turista";4,136;-0,118;0,294;-4,986
"tso";24,391;-2,886;-2,58;-4,568
"trocar";1,651;-2,622;-0,52;0,567
"tratar";-0,145;14,467;-1,873;-3,316
"televisão";-0,878;-0,042;14,465;-4,568
"superar";-0,591;2,291;-0,52;0,003
"sala";0,012;-1,57;8,968;-2,484
"rússia";-2,111;0,533;11,093;-4,15
"russo";-3,65;-2,095;34,507;-3,316
"respeito";-2,527;12,463;-0,695;-0,651
"regra";-5,489;-3,151;4,09;4,962
"regime";10,786;-3,151;-2,816;-0,103
"queda";5,291;-1,832;-0,097;-0,757
"quantidade";-4,569;-0,003;-2,344;12,558
"proteção";0,614;-1,123;-2,816;2,529
"prioridade";-5,029;12,463;-2,58;0,275
"plano";-2,95;-0,118;7,632;-0,103
"pernambuco";-4,109;-0,505;-2,108;15,594
"otto";11,145;-2,622;-0,52;-1,795
"origem";-1,313;14,467;-1,873;-1,085
"org";8,831;-1,045;-0,934;-1,654
"observar";0,025;0,138;0,294;-0,919
"objectivo";-0,342;-0,505;-0,358;3,04
"necessário";0,736;-2,359;-2,108;3,04
"nardoni";9,132;-0,505;-0,358;-3,733
"mídia";-1,705;17,993;-2,108;-1,433
"mudo";-4,569;2,291;0,81;0,003
"menino";9,132;-2,359;0,065;-3,733
"marido";16,184;-2,622;-0,52;-4,15
"mariana";-0,591;-0,699;2,924;0,003
"manhattan";17,706;-2,095;-1,873;-3,316
"mandar";1,044;-2,886;9,184;-4,568
"luta";8,882;-0,906;-2,58;-0,651
"km";7,043;-2,622;0,81;-4,15
"joão";-0,591;0,533;6,352;-4,15
"investimento";-5,489;-3,151;-2,816;29,308
"imaginar";1,651;0,533;-0,52;-1,795
"gênero";4,136;3,248;-2,816;-4,986
"graça";-2,111;-0,003;6,352;-0,412
"geração";-5,029;1,662;0,507;0,275
"gerar";-5,489;-1,123;-0,88;17,133
"financeiro";-5,029;-0,906;-0,695;14,83
"figura";-2,734;14,416;-0,02;-2,484
"fechado";-1,313;-2,095;0,195;4,311
"fantasia";-0,591;14,926;-2,344;-1,795
"experiência";-1,821;0,046;8,236;-1,654
"equipamento";-0,591;-2,622;-0,52;8,1
"enfrentar";14,011;-2,359;-2,108;-1,433
"empatia";-1,313;-0,328;9,974;-1,085
"economia";-5,029;-0,042;-2,58;14,83
"desenvolvimento";-2,95;-0,118;-2,816;12,264
"crédito";-3,65;-2,095;-1,873;19,491
"crescer";-4,569;5,276;0,008;0,003
"condenar";10,786;-1,123;-2,816;-0,919
"comunicado";14,011;-0,505;-2,108;-3,733
"compra";-4,109;-0,505;0,065;6,144
"característica";-5,029;1,662;-2,58;6,351
"cara";-2,527;-0,906;20,941;-2,167
"cantor";-0,218;-3,151;24,83;-4,986
"cantar";-2,734;0,588;8,968;-2,484
"bridge";20,563;-3,151;-0,88;-4,986
"bitcoins";-5,029;-2,886;-2,58;26,849
"aumentar";-0,591;-2,622;-2,344;12,558
"anunciar";1,651;-0,003;-2,344;0,003
