"";"*gr_01";"*gr_02"
"serviço";5;36
"trás";3;9
"principal";2;34
"terminar";1;9
"tudo";12;90
"familiar";0;14
"autor";0;26
"identificar";3;20
"parque";0;12
"confirmar";7;13
"ambiental";1;18
"vídeo";15;29
"etc";4;6
"equipa";0;29
"2017";4;25
"site";7;11
"romance";0;11
"manancial";0;14
"momento";11;68
"rcifrão";2;44
"nacional";2;45
"importante";1;46
"usuário";0;13
"análise";0;17
"sábado";0;11
"frança";0;17
"pernambuco";2;12
"banco";0;26
"dezembro";1;11
"lidar";0;16
"abastecimento";0;10
"alegar";5;15
"transporte";1;11
"colega";2;8
"tão";4;28
"coisa";10;78
"quarto";2;27
"rural";1;13
"retirar";1;11
"afirmar";8;64
"quadrado";0;11
"exibir";1;9
"hora";3;39
"interno";4;7
"total";1;16
"continuar";4;28
"custo";0;13
"jornalista";6;19
"passado";1;36
"neto";4;27
"teatro";1;14
"proteção";0;15
"contemporâneo";0;11
"valor";0;22
"promover";2;11
"carlos";2;14
"procurar";2;25
"logo";3;20
"televisão";0;12
"forte";3;16
"livro";0;32
"realizar";5;32
"órgão";2;10
"acusar";6;6
"grave";1;11
"responder";1;17
"reserva";1;14
"prédio";2;26
"de";757;7017
"propriedade";0;15
"jovem";9;41
"olhar";1;21
"sentido";0;22
"montanha";0;10
"com";92;846
"jogador";0;23
"observar";1;12
"assegurar";1;10
"função";1;15
"evitar";3;27
"aéreo";4;6
"aluguel";0;12
"depois";7;81
"mil";8;57
"recurso";3;43
"campo";1;33
"the";2;18
"antes";3;50
"oliveira";0;11
"comigo";1;9
"josé";1;9
"queda";1;12
"questão";4;43
"moeda";0;11
"esposo";3;10
"artigo";3;7
"ácido";0;10
"ganhar";4;29
"inclusive";0;16
"mineiro";0;18
"esquecer";3;7
"palestra";1;14
"zona";0;13
"muito";17;192
"funcionar";0;17
"espécie";4;17
"doença";12;4
"joão";2;13
"participar";2;30
"telejornal";0;13
"mudar";2;40
"participação";0;16
"italiano";5;18
"market";0;10
"ministério";0;26
"diálogo";0;10
"instituição";0;10
"pequeno";2;42
"você";19;138
"perder";5;26
"noite";4;32
"recente";1;16
"ligar";2;16
"forma";1;64
"perda";2;14
"desde";5;56
"em";348;2914
"el";0;10
"mulher";16;62
"eu";16;222
"precisar";5;64
"cara";3;12
"investimento";0;18
"qual";0;66
"objectivo";3;14
"deus";8;6
"graça";2;12
"seguir";3;47
"pedreira";0;10
"lhe";2;10
"internacional";0;14
"ressaltar";1;13
"contar";9;87
"3";7;36
"estar";59;500
"manifestar";1;15
"ambiente";2;37
"seguida";2;11
"comer";12;17
"bitcoins";0;12
"característica";0;14
"vaticano";12;2
"habitante";0;20
"conseguir";16;82
"vista";3;16
"taxa";2;17
"real";3;21
"lado";5;37
"virar";0;14
"central";0;14
"ocupar";0;12
"transformar";1;19
"sexta_feira";2;10
"previdência";0;18
"sucesso";0;15
"fiscal";1;9
"famoso";1;17
"correr";2;15
"entanto";2;19
"coordenador";0;10
"música";3;21
"governador";0;14
"fé";1;9
"a";394;3576
"convencer";1;9
"paulo";3;58
"polícia";14;82
"todo";27;208
"somente";4;15
"7";3;15
"base";1;11
"suficiente";1;9
"país";7;108
"qualidade";6;26
"hotel";5;14
"minha";5;80
"setor";3;14
"certo";3;26
"quem";8;68
"lacovara";0;11
"chão";1;11
"parecer";2;29
"pessoal";3;15
"chegar";13;76
"regra";2;16
"cantar";1;12
"reduzir";2;15
"vilarejo";0;11
"conter";3;9
"prevenção";0;10
"construção";3;14
"escolha";0;10
"trabalhador";2;10
"localizar";3;16
"apresentar";4;37
"ocorrer";7;40
"informar";13;17
"marco";0;12
"óleo";0;20
"marca";0;27
"popular";0;11
"economia";1;12
"permitir";2;30
"autoridade";3;14
"rua";5;41
"tocar";1;13
"bloco";0;37
"preocupação";0;12
"governo";5;53
"tamanho";1;9
"lembrar";2;22
"manhattan";0;12
"william";2;8
"visita";1;9
"g1";0;46
"organização";0;10
"atacar";2;11
"acidente";1;16
"claro";1;16
"violento";1;11
"coleta";0;15
"blockchain";0;37
"trocar";0;12
"ferida";2;8
"gosto";2;14
"alguém";4;11
"senhor";5;7
"modo";1;15
"globo";10;47
"causa";5;24
"jogar";4;18
"maílson";0;18
"único";0;37
"final";1;19
"mariana";0;12
"quando";18;139
"bem";5;92
"igreja";10;2
"pressão";1;9
"mês";11;50
"cultura";3;22
"necessidade";2;12
"tornar";1;33
"passo";2;8
"atuar";1;19
"tiro";4;7
"atual";0;24
"gênero";1;12
"médio";2;16
"escrever";6;30
"humano";7;23
"futebol";0;30
"luz";3;9
"frente";2;14
"aqui";3;31
"limite";2;10
"emoção";0;11
"morador";2;12
"pinheiro";0;10
"chamar";3;24
"possibilidade";3;21
"mesmo";13;137
"possível";2;59
"parte";6;76
"estado";5;109
"físico";0;11
"40";2;13
"testemunha";7;11
"aeronave";1;12
"fechar";1;9
"fato";5;32
"investigar";1;9
"lincoln";0;16
"morrer";12;39
"motivo";2;16
"preconceito";0;11
"torcido";0;14
"usar";12;40
"ação";0;45
"mudo";0;12
"artista";0;24
"questionar";0;13
"norte";5;21
"helicóptero";0;17
"começo";0;14
"etapa";0;12
"apesar";2;17
"ingrediente";0;10
"faixa";1;20
"percorrer";0;10
"presente";3;14
"exigir";1;13
"reforma";1;28
"utilização";0;15
"segurança";4;40
"prioridade";0;12
"tipo";10;49
"ferido";0;10
"sobre";14;160
"água";7;126
"100";0;24
"acesso";1;15
"cidade";17;87
"estrutura";1;10
"morar";2;26
"moral";0;10
"marido";1;12
"pacto";0;13
"melhorar";1;13
"rio";4;56
"saúde";9;25
"abaixo";4;19
"nós";0;41
"alegre";1;10
"madrugada";5;7
"gente";3;74
"delegacia";3;10
"comunidade";2;19
"mensagem";3;8
"foto";3;15
"três";4;54
"entrar";3;46
"000";4;6
"formação";1;10
"bonito";1;14
"2";5;26
"gerar";1;14
"segundo";5;112
"redação";0;14
"abrir";3;12
"geral";0;22
"regular";1;9
"alimento";7;14
"dor";1;14
"delegado";0;14
"anunciar";1;12
"sozinho";4;12
"principalmente";6;14
"suspeita";2;8
"marcar";0;10
"sair";6;51
"futuro";3;17
"mínimo";0;25
"falar";9;74
"apresentação";0;10
"concluir";1;11
"durante";32;44
"proteína";4;6
"usado";3;31
"funcionário";5;17
"encontrar";10;70
"servir";6;15
"ir";111;697
"alimentar";7;7
"livre";0;17
"estadual";0;23
"aparecer";6;16
"produzir";1;24
"programa";2;45
"unidade";0;13
"personagem";0;20
"assim";6;61
"negar";2;8
"apontar";2;33
"trabalho";8;82
"tecnologia";0;27
"erro";0;10
"baixo";0;20
"condição";3;35
"tarde";1;18
"atividade";2;20
"produto";3;38
"digital";0;10
"alerta";3;7
"publicar";16;9
"russo";3;12
"captação";0;11
"menor";7;13
"menos";7;46
"sustentável";0;11
"dia";14;128
"cozinha";0;10
"viagem";0;30
"alto";12;26
"instituto";5;10
"bom";7;81
"realmente";0;11
"enorme";2;11
"cérebro";2;10
"mal";3;17
"sofrer";3;31
"mais";34;388
"maio";1;9
"significar";3;8
"janeiro";2;20
"fazer";39;348
"chave";1;9
"org";0;12
"registrar";1;23
"atuação";0;10
"americano";10;10
"carro";11;14
"broadcast";0;13
"subterrâneo";0;12
"11";2;17
"10";4;29
"13";2;14
"12";2;18
"15";5;22
"número";5;23
"17";4;7
"16";0;12
"19";2;13
"18";3;7
"pegar";3;19
"princípio";0;10
"aumentar";1;13
"cantor";4;12
"interior";2;9
"200";2;15
"normal";2;11
"digno";0;10
"show";3;21
"preciso";0;22
"população";3;28
"já";15;171
"razão";2;17
"certeza";2;11
"proposta";1;17
"achar";4;67
"quadro";1;9
"crescimento";1;17
"arte";0;45
"família";7;120
"quatro";3;24
"psicológico";0;10
"pai";9;52
"então";6;61
"perto";2;18
"4";3;15
"viver";9;61
"imagem";9;29
"vário";8;33
"compreender";2;9
"atender";1;13
"sambalanço";0;10
"empresa";9;106
"advogado";3;21
"universidade";2;17
"nível";0;15
"papelão";0;14
"vila";1;10
"14";1;15
"clássico";0;13
"decisão";0;11
"dificuldade";1;19
"prever";2;13
"incluir";3;22
"criatividade";0;15
"dez";0;34
"morto";4;37
"morte";11;33
"distribuir";0;17
"carreira";0;19
"sistema";3;64
"discussão";0;24
"24";2;13
"20";6;40
"21";6;12
"22";1;20
"23";1;12
"respeito";0;12
"completar";2;9
"porto";3;12
"porta";3;9
"visitar";1;10
"prefeito";0;15
"analisar";0;11
"verdade";0;28
"vida";17;96
"piloto";0;27
"cada";4;52
"jogo";4;25
"dono";3;9
"para";109;1036
"conhecer";6;35
"esgoto";1;20
"essa";9;115
"esse";8;154
"permanecer";1;14
"km";1;12
"valer";0;28
"carne";6;44
"ruim";1;9
"depender";0;17
"8";2;14
"meio";2;83
"restaurante";1;18
"tender";2;18
"filho";18;83
"andar";5;20
"parar";3;18
"declarar";5;7
"busca";2;15
"entre";16;109
"verificar";2;9
"atentado";0;24
"comportamento";6;6
"mostrar";9;57
"energia";4;14
"300";1;9
"fechado";3;12
"acompanhar";4;18
"aquilo";1;18
"financeiro";0;13
"poder";34;282
"dinheiro";9;19
"significativo";1;12
"produtor";0;19
"representar";0;17
"malandro";1;9
"2008";6;4
"básico";2;12
"mecanismo";0;11
"geração";0;14
"operação";0;24
"entender";0;33
"escola";0;61
"apresentador";8;12
"década";0;15
"luiz";3;8
"30";1;26
"preservação";0;15
"presidente";3;26
"força";0;18
"chamado";5;20
"perceber";4;20
"caminho";0;22
"conferir";5;7
"ideia";1;40
"guariroba";0;29
"falta";2;14
"redução";1;11
"unido";3;23
"tso";0;12
"eua";7;10
"versão";1;10
"camus";0;23
"dan";0;14
"dar";19;117
"quê";1;10
"mato";1;11
"que";255;2306
"compra";3;12
"próximo";4;35
"transação";0;17
"discutir";1;13
"negro";2;14
"cabeça";3;17
"atitude";1;10
"mim";2;20
"milhão";5;36
"experiência";2;12
"seguro";3;17
"bunuel";0;18
"controlo";1;21
"grosso";1;12
"fator";1;11
"bruno";1;13
"agora";7;30
"utilizar";2;30
"manhã";4;10
"mundo";13;72
"produtividade";0;11
"homem";20;36
"psicopata";0;28
"novela";0;21
"sete";2;12
"resultado";2;21
"antonio";0;25
"executivo";0;10
"reunir";0;16
"resolver";3;12
"consumir";3;7
"também";25;191
"desenvolvimento";0;13
"encontro";0;11
"comida";8;10
"quanto";7;37
"aberto";1;18
"seis";0;14
"povo";3;7
"sempre";3;74
"tratar";9;20
"paris";0;10
"casal";4;26
"possuir";4;13
"decidir";7;15
"acordo";11;35
"enfrentar";0;13
"preparar";2;11
"março";2;17
"tv";3;23
"outro";18;233
"gravar";3;7
"hospital";15;9
"saber";16;74
"pouco";7;47
"me";13;81
"política";0;43
"político";4;31
"atração";0;10
"ambos";2;9
"quantidade";2;16
"enviar";2;9
"london";1;11
"origem";0;12
"histórico";0;14
"fonte";4;11
"nunca";9;56
"matar";8;27
"acontecer";9;67
"acima";4;9
"poço";0;11
"movimento";0;36
"bitcoin";0;30
"estrada";0;19
"lançar";0;15
"burger";0;10
"após";11;52
"crescer";3;14
"bridge";1;12
"uscifrão";1;28
"tributário";0;17
"companhia";5;17
"escritor";0;11
"manifestação";0;11
"acreditar";2;30
"tratamento";6;26
"alguma";8;40
"renda";0;10
"fóssil";0;13
"conceito";0;12
"esperança";1;9
"fallon";0;10
"torcer";0;19
"proprietário";0;13
"referência";0;14
"antigo";1;21
"bairro";0;34
"dado";1;28
"gestão";0;12
"expor";0;10
"ela";23;199
"ele";74;381
"cultural";0;15
"aprender";0;21
"espaço";0;20
"50";1;18
"clube";1;12
"gostar";3;20
"mão";1;22
"mãe";10;30
"município";0;24
"explicar";4;31
"algo";6;40
"determinado";0;15
"civil";0;34
"ajuda";2;13
"lago";0;14
"turista";0;12
"devido";3;11
"plataforma";0;11
"vivo";1;15
"conteúdo";0;17
"aluno";0;15
"junto";2;21
"imóvel";3;22
"quase";8;38
"guarda";2;9
"cenário";0;13
"melhor";2;61
"leh";0;10
"semana";8;23
"pensar";2;29
"audiência";0;10
"seguinte";1;18
"produção";1;22
"figura";2;12
"construir";0;18
"1";4;48
"câncer";15;1
"esperar";3;22
"suicídio";9;1
"estudo";6;15
"voltar";6;63
"passar";17;98
"maior";11;62
"vizinho";7;17
"enigma";0;11
"ana";0;12
"pro";6;22
"ano";46;310
"ideal";0;14
"frio";2;8
"prestar";0;10
"mercado";0;33
"qualquer";5;45
"ouvir";1;33
"crime";3;39
"educação";3;9
"médico";21;19
"índice";1;9
"federal";3;35
"descobrir";2;19
"prêmio";0;15
"como";32;410
"por";95;922
"correto";0;17
"60";4;10
"acabar";3;52
"pena";2;11
"noivo";0;16
"verdadeiro";1;11
"casa";15;84
"caso";13;59
"prisão";3;18
"fácil";4;11
"evento";0;24
"regime";1;14
"luta";2;12
"bilhão";1;10
"samba";0;98
"loja";3;14
"legal";1;15
"comunicado";2;12
"_";0;337
"compartilhar";3;8
"instrumento";0;12
"último";10;56
"cinema";0;34
"feliz";3;9
"defesa";0;14
"5";6;37
"grupo";9;56
"assassino";5;8
"ali";0;28
"velho";3;21
"maioria";2;23
"sociedade";1;19
"existir";8;58
"encaminhar";2;13
"outorga";0;11
"reino";2;9
"britânico";2;10
"ter";74;678
"sua";35;245
"sul";6;32
"contexto";0;11
"livros_razões";0;10
"avaliação";0;10
"diário";2;11
"texto";4;11
"programação";0;12
"provocar";0;14
"começar";9;64
"concessionário";1;20
"levar";5;75
"iniciar";1;12
"renata";0;22
"relatar";8;16
"nardoni";3;12
"festa";3;11
"dentro";7;33
"grande";12;118
"santo";6;39
"ficar";23;113
"warmbier";4;9
"pedido";0;21
"cercar";7;39
"envolver";0;18
"obra";0;30
"projeto";0;80
"relato";5;5
"king";0;10
"dano";1;11
"adorar";3;8
"assistir";6;7
"direito";1;42
"privado";1;10
"situação";3;36
"língua";2;11
"curso";1;22
"atualmente";0;12
"superar";0;12
"história";3;69
"porque";7;95
"vítima";7;44
"início";2;24
"demonstrar";2;10
"falha";2;9
"solo";0;13
"cortar";1;10
"considerar";2;33
"operar";1;15
"criar";2;51
"pm";6;5
"benefício";5;7
"cinco";5;26
"9";2;14
"atrás";0;23
"pé";3;8
"literatura";0;12
"incrível";0;10
"apenas";14;52
"propor";1;9
"técnica";2;11
"técnico";1;14
"jornalismo";0;27
"lá";4;40
"rádio";0;13
"medo";1;17
"exemplo";2;63
"câmera";1;9
"fantasia";0;12
"voo";4;25
"canal";0;15
"impossível";1;9
"massa";1;11
"tentativa";0;17
"conselho";0;17
"independente";1;9
"problema";10;53
"nenhum";5;30
"desenvolver";1;16
"palavra";1;14
"garantir";0;21
"incidente";1;9
"metrô";1;11
"informação";7;27
"capital";5;31
"recuperar";0;11
"público";2;77
"iniciativa";0;16
"metro";2;16
"rede";19;71
"comentar";0;12
"uso";0;59
"violência";1;48
"especialista";1;17
"dedicar";0;14
"estudante";1;17
"tal";5;12
"sim";4;31
"ainda";19;128
"descartar";0;10
"superior";1;15
"dever";7;72
"meu";9;76
"80";1;12
"conhecimento";3;11
"primeiro";9;96
"apoio";1;14
"york";0;28
"embora";0;14
"cair";0;27
"capaz";1;9
"carnaval";0;22
"felício";0;10
"sonho";3;17
"servidor";1;18
"distrito";1;13
"terceiro";1;17
"lugar";1;37
"centro";4;36
"bacia";0;21
"local";17;68
"partir";5;34
"itália";1;20
"trabalhar";8;47
"combater";1;9
"avô";3;16
"amigo";2;28
"bbc";1;54
"diante";0;17
"responsável";5;18
"notícia";0;13
"criação";0;15
"manter";5;27
"preso";5;28
"índio";1;14
"consumo";0;13
"cometer";5;6
"criativo";0;11
"investir";1;12
"citar";2;10
"mídia";0;12
"van";3;10
"volume";0;12
"fundo";2;18
"tema";0;11
"branco";2;24
"assunto";4;11
"oferecer";0;25
"stulbach";0;13
"homicídio";2;13
