"";"*gr_01";"*gr_02"
"10";4;7
"19";0;11
"18";0;13
"fase";3;38
"ano";4;60
"apresentado";0;11
"nota";2;20
"renan";1;13
"prestar";1;14
"continuar";1;10
"quinta_feira";1;16
"qualquer";1;19
"teori";0;21
"crime";4;24
"ex_ministro";1;21
"estar";22;70
"já";6;46
"e_mail";0;10
"razão";0;12
"contar";1;23
"um";27;151
"federal";13;89
"mônica";2;15
"proposta";3;8
"como";8;82
"câmara";3;24
"por";45;397
"ricardo";3;7
"entregar";3;17
"cunha";4;26
"pessoa";3;41
"uma";29;129
"dallagnol";6;9
"caso";7;48
"alvo";2;27
"prisão";1;48
"então";0;21
"processo";6;74
"imprensa";5;6
"4";1;19
"polícia";6;31
"tanto";3;8
"vário";1;10
"hoje";2;8
"pagamento";1;16
"_";0;46
"empresa";1;30
"janot";6;32
"último";5;12
"ex_presidente";6;85
"advogado";6;33
"batista";0;31
"investigado";1;32
"sexta_feira";0;11
"11";1;10
"juiz";12;86
"defesa";3;40
"partido";2;14
"5";1;10
"pedir";6;41
"joesley";0;52
"grupo";2;14
"apartamento";0;14
"dilma";7;25
"sociedade";1;9
"mpf";6;17
"decisão";7;33
"ter";16;137
"sua";5;31
"propina";4;36
"muito";3;16
"vir";5;15
"corte";0;15
"começar";0;11
"6";0;18
"incluir";1;9
"avanço";0;18
"levar";2;18
"procurador";7;37
"projeto";1;10
"mendes";8;14
"não";23;133
"a";148;1110
"grande";1;9
"mouro";3;17
"delação";13;80
"pena";0;13
"ficar";0;15
"pedido";1;28
"envolver";5;23
"todo";10;40
"ao";14;137
"senado";2;15
"divulgar";3;11
"dono";1;28
"nome";3;12
"contra";6;41
"brasília";2;9
"país";9;32
"parlamentar";1;14
"stf";14;125
"autorizar";2;15
"revelar";2;16
"tentar";3;10
"esse";5;17
"executivo";0;23
"réu";1;20
"defender";2;14
"quem";5;11
"porque";4;16
"início";1;11
"seu";5;30
"ser";51;333
"âmbito";5;20
"sem";4;24
"lava_jato";91;674
"pagar";0;27
"rcifrão";0;43
"senador";9;44
"dizer";16;114
"nacional";2;9
"pt";3;25
"chegar";5;14
"denúncia";1;28
"pf";7;36
"recibo";0;10
"impedir";0;15
"colaboração";0;11
"premiar";1;29
"rio";0;12
"busca";1;9
"próprio";1;14
"jbs";0;38
"entre";4;23
"apresentar";4;27
"mandar";1;12
"tomar";4;7
"impunidade";0;13
"apoio";0;10
"organização";0;10
"condenação";0;16
"essa";0;18
"envolvido";3;7
"pmdb_rj";2;12
"poder";16;36
"governo";2;26
"responsável";3;42
"dinheiro";4;48
"corrupção";10;68
"sérgio_moro";16;83
"diverso";4;9
"tentativa";1;11
"desdobramento";0;12
"relação";0;19
"manter";1;10
"psdb";2;10
"depoimento";5;38
"g1";0;14
"operação";25;254
"informação";3;17
"fachin";10;60
"público";9;43
"lei";1;23
"luiz";0;17
"ler";1;10
"presidente";4;65
"f";0;13
"julgamento";0;15
"meio";0;17
"gilmar";4;10
"2015";0;13
"2014";1;10
"nada";2;11
"dever";0;19
"dar";3;23
"mandato";2;12
"edson";7;44
"além";3;18
"tempo";0;10
"que";93;621
"marcelo";3;27
"pgr";3;19
"marqueteiro";2;10
"próximo";1;10
"final";0;10
"haver";4;55
"quando";1;22
"petrobras";5;32
"criminoso";2;12
"procurador_geral";0;19
"mês";2;25
"isso";2;23
"milhão";1;42
"ainda";3;29
"explicar";0;10
"ninguém";0;10
"petista";8;17
"principal";1;13
"atuar";1;20
"tudo";3;8
"trf4";0;10
"palocci";2;20
"agora";4;9
"frigorífico";0;10
"sérgio";2;8
"supremo";4;16
"eduardo";4;34
"república";2;50
"procuradoria";0;12
"rodrigo";6;17
"mesmo";3;21
"possível";1;14
"parte";4;17
"paulo";1;14
"estado";2;11
"michel_temer";3;55
"momento";2;15
"deltan";5;13
"fechar";0;11
"preso";2;42
"fato";2;19
"determinar";0;11
"odebrecht";5;75
"sentença";0;11
"ação";2;31
"também";9;71
"citar";4;13
"questionar";4;13
"inquérito";2;38
"investigador";3;16
"instância";1;38
"j";0;13
"investigar";4;39
"assunto";2;10
