"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"decisão";427,414;-36,754;-29,26;-1,773;-3,302;-18,933
"querer";-5,402;-24,21;265,686;-6,933;-0,044;-19,813
"juiz";1043,918;-17,467;-34,231;-23,778;-34,493;-89,654
"receber";-0,863;288,53;-10,119;-28,968;-7,777;-51,66
"dinheiro";34,92;300,739;-10,589;-31,533;-51,479;-89,928
"joesley";-52,27;932,755;-13,248;-61,657;-50,528;-91,322
"ação";55,759;-7,944;-17,605;-5,897;-14,143;35,181
"dilma";0,004;167,999;-0,103;-6,815;-4,784;-90,35
"senador";-23,391;43,254;-10,187;-25,361;152,758;-42,024
"sérgio_moro";948,549;-3,192;-40,844;-32,747;-42,326;-77,889
"brasileiro";-10,633;-15,65;19,431;121,083;-0,114;-49,858
"falar";-8,879;-0,469;172,082;-6,723;-1,111;-24,013
"república";1,122;33,489;-4,9;2,682;-0,319;-41,3
"corrupção";222,888;-1,171;-4,634;1,102;-10,855;-72,164
"saber";-20,747;2,07;205,378;-4,054;-6,697;-36,552
"ficar";-6,631;-3,739;127,964;-4,247;0,575;-19,833
"vez";0,002;-18,391;25,158;-0,003;-2,396;2,681
"paulo";0;32,114;1,558;-4,896;5,974;-56,299
"nuclear";-66,921;-115,552;-60,323;-70,643;-69,22;1789,84
"pt";-0,718;40,715;0,167;-2,612;17,413;-79,76
"só";-0,728;-16,279;146,394;0,233;-3,378;-20,233
"aécio";-32,275;159,832;3,732;-21,419;0,977;-47,753
"investigação";13,097;106,729;-21,504;0;-23,83;-35,679
"propina";-31,133;1007,079;-49,269;-67,303;-52,91;-77,889
"política";-25,645;-69,901;0,043;246,668;0,494;-5,24
"grupo";-32,343;142,408;-20,785;-3,107;-1,462;-0,993
"partido";-14,844;-1,882;-10,45;-2,154;339,518;-58,861
"relação";-2,453;1,193;-11,188;-0,471;-2,096;27,784
"câmara";-4,025;-3,016;-46,549;-52,539;747,178;-69,289
"crime";307,153;-0,065;-13,048;-4,285;-16,514;-44,984
"míssil";-62,822;-110,807;-61,071;-72,91;-64,98;1744,017
"lei";27,064;-32,938;-5,977;17,799;54,593;-51,45
"militar";-42,88;-78,636;-10,539;-12,442;-17,749;679,847
"americano";-56,492;-73,553;-32,666;-23,901;-60,95;1124,59
"unido";-53,317;-54,022;-29,844;-28,107;-40,526;950,052
"advogado";401,321;26,871;-28,145;-36,195;-34,76;-62,836
"contar";-13,756;129,191;0,276;-1,581;-11,349;-27,893
"polícia";-0,867;104,702;-1,55;-2,335;-3,741;-36,409
"prisão";733,654;-7,279;-26,162;-33,376;-19,953;-54,947
"momento";-6,426;-16,099;-0,285;44,409;4,252;-1,379
"depoimento";38,902;373,916;-39,123;-52,323;-46,582;-64,197
"porcento";-11,218;5,224;-1,679;-2,859;12,3;0,014
"passar";-5,48;-5,486;21,058;22,23;4,882;-36,914
"segurança";-7,531;-34,823;-4,223;0,17;0,889;92,453
"chegar";-5,828;-0,934;62,011;-3,555;-1,094;-1,106
"último";-1,711;-3,021;-1,333;-1,753;0,003;29,187
"fato";113,76;-1,578;-0,25;-0,021;-10,251;-23,202
"empresário";-13,282;468,804;-14,922;-21,792;-28,503;-57,265
"meio";0,823;1,123;-4,044;12,433;-5,369;-2,159
"grande";-14,8;-10,34;0,499;42,396;-1,507;1,489
"deixar";-0,815;-19,095;1,086;5,087;4,26;0,353
"jbs";-38,215;783,928;-34,838;-49,613;-31,578;-61,251
"pedido";234,734;28,853;-26,444;-32,589;-8,341;-49,767
"maior";-7,659;0,014;-1,47;18,84;-6,252;2,518
"reforma";-28,963;-57,185;-17,144;-5,406;775,269;-42,324
"ataque";-42,825;-82,047;-29,266;-37,588;-35,984;1052,041
"nacional";-13,747;-1,59;-4,619;0,415;63,564;-1,643
"direito";0,439;-49,861;-0,223;174,96;-1,362;-17,65
"vir";-2,742;-0,144;13,187;3,452;-2,152;-3,274
"pagar";-17;358,009;-6,091;-20,127;-25,106;-34,339
"nota";18,552;109,878;-20,319;-24,633;-6,511;-17,865
"casa";-20,302;-0,014;3,911;-3,211;35,449;-1,703
"mundo";-29,975;-30,483;3,146;2,978;-14,101;127,654
"precisar";-20,45;-32,475;59,596;39,901;1,006;-13,356
"defender";5,514;-19,669;-5;0,023;36,587;-0,963
"semana";-5,948;-5,189;-8,433;-7,3;22,148;31,969
"denúncia";82,157;37,602;-17,273;-21,986;-0,443;-37,371
"campanha";-8,343;185,521;-5,714;-12,701;-0,772;-35,251
"mês";81,33;-5,341;1,79;-24,961;-0,03;-3,555
"informar";-2,533;21,991;-9,44;-25,467;-8,563;44,862
"forma";0,089;-5,915;-7,516;73,015;-5,212;-1,744
"recurso";192,076;7,205;-14,66;-16,788;-6,35;-34,248
"sul";-33,305;-32,606;-30,089;-34,072;-32,371;757,705
"valor";-8,913;314,595;-13,513;-12,607;-18,521;-36,806
"rio";13,118;-5,366;0,122;-0,372;32,122;-32,871
"levar";7,176;-8,184;1,167;0,415;-3,138;0,547
"bem";-1,332;-8,144;19,734;23,383;-5,166;-5,897
"informação";5,597;117,48;-6,929;-10,857;-20,222;-19,068
"cunha";-3,445;391,746;-15,094;-40,316;-13,98;-48,648
"sírio";-37,747;-68,187;-29,923;-42,872;-39,044;1016,185
"próprio";13,333;0,08;-5,375;0,232;-0,114;-2,924
"prova";242,271;18,323;-23,841;-24,107;-32,194;-20,305
"apresentar";126,523;-0,067;-12,241;-9,93;0,799;-21,138
"projeto";-12,695;-22,065;-11,936;-2,735;391,133;-26,365
"coisa";-16,201;-28,336;422,997;-3,688;-5,239;-25,855
"crise";-23,107;-37,699;-5,029;183,1;-0,235;0,217
"pf";0,028;166,242;-2,283;-11,751;-22,382;-28,016
"preso";67,592;66,763;-7,386;-22,3;-11,371;-40,395
"china";-37,92;-55,868;-25,955;-26,12;-36,866;847,991
"pagamento";-11,312;526,614;-23,682;-37,843;-29,901;-45,965
"força";-12,568;-45,185;-3,435;0,096;-1,363;172,352
"tempo";-9,226;-17,383;11,707;54,944;-2,227;-2,443
"acontecer";-11,904;-38,333;80,512;-0,326;1,907;1,298
"continuar";-10,813;-10,407;0,042;11,294;-4,254;25,202
"medida";-0,024;-8,838;-8,086;0;31,648;0,628
"econômico";-9,221;-7,568;-1,478;46,852;0,379;-0,106
"conversa";-23,433;127,07;-1,884;-6,191;-6,091;-4,227
"relator";277,233;-18,979;-14,725;-23,96;13,246;-30,878
"kim";-42,428;-76,643;-38,901;-50,905;-43,886;1182,078
"condenar";596,93;-20,083;-26,281;-30,362;-20,966;-9,983
"autoridade";1,663;6,355;-20,303;-1,566;3,769;-0,21
"social";-21,287;-28,619;34,274;137,133;-1,443;-30,06
"situação";-19,977;-25,22;0,644;119,666;-2,8;-0,043
"conseguir";-14,6;-0,694;34,783;-0,061;-0,052;-0,227
"eleição";-10,156;-30,68;-6,198;-2,685;410,077;-34,555
"batista";-31,965;606,799;-21,106;-37,247;-29,037;-47,763
"passado";-2,034;-0,569;-0,147;-0,387;4,386;1,327
"pouco";-16,658;-21,357;50,395;19,4;-3,799;-0,007
"pmdb";-6,456;71,659;-8,059;-27,19;61,233;-43,734
"gente";-31,615;-24,562;442,624;-0,688;-2,871;-36,842
"cargo";5,223;-3,218;-3,984;2,935;28,678;-24,369
"realizar";-1,381;-6,495;-16,869;-8,858;-10,497;182,729
"manter";20,108;1,368;-5,565;-2,617;-0,88;-0,659
"líder";-20,777;-41,52;-9,485;-3,788;19,009;142,502
"eduardo";-1,023;310,873;-17,241;-24,108;-12,747;-44,626
"rodrigo";-17,317;1,242;-3,782;-18,921;216,085;-25,381
"base";-2,152;-25,9;-17,547;-5,293;4,675;120,983
"eleitoral";37,783;6,519;-8,932;-5,413;6,377;-33,754
"senado";-12,453;-25,277;-20,48;-15,736;604,598;-36,409
"arma";-29,193;-58,398;-13,433;-16,506;-30,326;664,228
"achar";-17,165;-35,971;119,156;17,614;2,152;-24,317
"voto";42,601;-19,632;-6,303;-8,406;121,507;-38,397
"marcelo";-0,635;322,345;-7,57;-28,426;-27,44;-42,842
"declarar";-9,68;8,778;-6,697;-4,368;-2,001;27,8
"começar";0,305;-14,453;17,475;2,199;-0,463;-0,833
"tomar";-0,004;-29,016;-6,54;67,699;-0,424;0,817
"divulgar";-1,353;4,957;-2,409;-5,323;-1,098;10,464
"parlamentar";-3,708;-2,947;-4,176;-16,872;280,894;-36,18
"apartamento";6,639;19,266;-1,718;-2,88;-2,025;-9,262
"ocorrer";12,007;0,228;-4,703;-0,816;-5,778;1,888
"dono";-19,273;393,459;-10,081;-24,492;-20,168;-36,18
"julgamento";427,949;-33,039;-9,368;-1,233;-8,066;-37,288
"petista";42,248;-0,433;-0,455;-0,369;4,979;-37,074
"tribunal";772,634;-21,357;-25,297;-26,198;-23,16;-40,181
"questão";-2,904;-10,856;0,28;6,846;1,565;1,016
"executivo";-9,31;195,529;-26,517;-12,337;0,489;-27,039
"colocar";-12,273;-8,955;0,75;7,703;4,935;0,925
"candidato";-20,957;-11,387;-4,606;-10,244;403,716;-31,765
"final";16,642;0,01;-3,397;-0,6;1,509;-6,534
"bom";-17,844;-26,461;91,142;19,125;-0,025;-10,389
"sistema";-5,763;-5,57;-0,458;14,715;-1,347;7,573
"filho";-0,049;4,278;91,862;-24,434;-1,044;-25,005
"responder";4,769;-0,499;0,081;-9,024;-3,169;9,624
"possível";-0,193;-5,978;-1,991;-0,424;0,835;17,376
"congresso";-18,586;-37,187;-16,042;-5,425;522,703;-21,208
"próximo";-0,602;-15,328;-1,788;-0,847;56,511;0,031
"fachin";16,406;19,192;-4,846;-3,818;-5,156;-6,454
"considerar";23,841;-8,181;-4,863;0,791;-0,995;0,552
"documento";47,801;41,094;-9,779;-12,654;-4,518;-26,368
"delator";0,56;325,837;-23,805;-30,26;-25,568;-37,731
"janot";0,038;33,137;-1,036;-0,418;-3,911;-9,911
"guerra";-27,657;-43,426;-10,718;-1,717;-24,477;437,707
"proposta";-6,918;-33,486;-7,64;-8,095;370,651;-14,168
"petrobras";0,2;290,767;-19,898;-23,692;-23,639;-35,295
"aprovar";-18,586;-13,19;-17,807;-24,223;494,309;-16,174
"problema";-14,6;-35,178;24,69;67,533;-9,353;0,132
"acabar";-3,607;-22,862;33,487;0,939;-0,959;3,013
"procurador";36,968;82,003;-11,661;-7,334;-20,67;-31,539
"mpf";94,125;69,891;-14,567;-26,032;-19,974;-30,658
"presidência";-1,161;0,148;-5,684;-1,859;80,293;-18,081
"usar";-4,512;-0,14;1,345;-0,248;-5,069;15,052
"apoio";-7;-0,099;-3,493;-0,651;10,07;5,335
"joão";6,254;77,869;-7,38;-13,385;-0,035;-33,968
"voltar";-0,391;-18,066;1,396;0,441;19,756;-0,328
"reunião";-11,932;1,992;-6,969;-3,049;0,245;27,475
"sair";-9,26;-1,766;71,986;-1,62;2,682;-13,787
"negar";66,808;16,251;-15,358;-18,53;-3,887;-5,558
"pena";495,976;-17,075;-14,854;-13,593;-11,452;-31,413
"mostrar";-7,306;-1,319;-0,288;20,69;-2,883;1,868
"principal";-0,903;-2,779;-5,378;-0,541;12,213;5,251
"mandato";10,765;-2,354;-2,699;0,347;20,195;-20,8
"investigar";1,622;72,153;-7,52;-10,363;-1,768;-13,598
"instância";643,068;-35,61;-20,025;-19,311;-10,531;-27,9
"hora";-1,817;-15,958;20,041;-1,19;-2,938;17,975
"região";64,166;-25,159;-0,559;-1,748;-13,401;12,696
"josé";6,19;58,758;-4,863;-8,603;-0,083;-31,539
"entrar";-0,032;-8,388;-0,004;1,683;0,387;2,484
"ato";61,405;-7,38;-4,236;1,851;-1,921;-5,534
"psdb";-2,931;0,093;-17,267;-15,388;251,228;-34,41
"palocci";-5,051;354,137;-20,352;-23,795;-19,781;-33,084
"ex_ministro";-2,895;309,979;-18,548;-26,618;-11,452;-33,754
"entrevista";-13,644;0,086;-0,007;0,102;24,316;-3,048
"acusação";77,897;22,67;-11,961;-10,308;-11,625;-15,31
"rússia";-26,137;-51,407;-23,146;-19,217;-27,103;679,035
"confirmar";1,569;31,524;-10,212;-7,487;-7,177;0,493
"teste";-26,308;-51,716;-25,521;-34,349;-25,042;760,051
"citar";3,564;23,977;-1,178;-3,615;-2,429;-8,138
"cidade";-0,34;-5,022;0,013;2,798;-0,975;4,789
"responsável";47,928;11,427;-11,961;-3,5;-7,314;-6,791
"ameaça";-12,508;-30,095;-15,162;-9,655;-14,967;377,935
"acusar";72,597;14,481;-11,531;-16,013;-8,005;-5,764
"trabalhar";-8,127;-12,124;27,122;20,15;-4,823;-0,37
"sociedade";-8,45;-41,033;0,034;335,118;-7,824;-32,429
"regime";-0,679;-43,186;-13,78;-12,366;-13,522;331,685
"brasília";0,282;4,501;-0,074;-8,518;7,663;-5,297
"época";-3,021;65,353;-0,435;0,109;-6,636;-21,815
"neve";-13,693;181,091;-7,216;-9,979;-3,539;-17,729
"internacional";-12,863;-14,338;-13,991;3,383;-7,589;134,89
"existir";-4,71;-3,672;3,015;20,763;0,208;-5,463
"votar";5,246;-29,319;-8,453;-14,501;260,121;-22,243
"claro";-8,724;-9,416;1,602;35,876;0,085;-1,359
"importante";-9,731;-32,284;0,45;88,375;-0,65;0,01
"g1";-0,221;0,704;17,523;0,73;-0,11;-23,203
"esperar";-3,667;-21,298;10,942;6,691;0,055;1,234
"encontrar";-16,127;9,397;31,15;-1,574;-8,296;-0,763
"decidir";74,544;-6,156;-3,543;-7,887;1,542;-3,504
"janeiro";18,443;-5,431;-3,358;-1,932;14,772;-3,627
"criminoso";110,119;17,665;-7,937;-10,349;-14,068;-25,83
"criar";-10,668;-0,585;-3,543;47,705;-0,645;-0,203
"exemplo";-7,288;-3,83;0,03;11,042;11,507;-3,648
"condenação";519,554;-26,674;-12,712;-18,073;-9,568;-24,251
"programa";-18,349;-12,617;-0,932;-5,997;-1,431;149,233
"partir";-0,14;23,345;-5,321;0,336;-7,573;-0,841
"melhor";-7,24;-25,194;2,06;69,986;-0,064;-1,486
"assunto";-9,644;4,931;-1,498;5,461;1,76;-4,03
"cercar";-2,769;21,297;-4,609;-9,057;-5,386;11,972
"tratar";0,659;15,148;-2,189;-5,101;0,035;-2,786
"premiar";-5,051;376,385;-20,352;-28,274;-21,891;-33,084
"ordem";7,319;-22,842;-5,198;12,106;-2,168;8,051
"família";-0,532;0,251;38,531;-1,642;-0,049;-16,449
"parecer";-1,954;-30,433;0,014;15,846;5,585;1,423
"número";-5,448;0,002;0,006;6,769;0,517;-1,411
"maia";-15,416;-28,058;-20,68;-22,098;667,348;-33,526
"atual";-7,594;-0,4;-4,748;0,229;40,884;-1,43
"área";-8,483;-0,453;4,505;2,298;-0,18;0,161
"ponto";-0,626;-5,213;-0,467;50,834;-0,034;-8,513
"foro";0,575;-20,788;-2,552;2,191;72,442;-12,555
"serviço";-3,545;4,755;0,041;1,089;-3,923;-0,003
"enviar";-0,416;2,061;-11,749;-9,139;-0,065;28,063
"contrato";-7,324;246,949;-8,536;-18,126;-13,238;-22,095
"vídeo";-2,977;21,477;17,454;-9,382;-1,817;-9,531
"participar";0,276;-0,208;-3,337;-4,938;17,133;0
"oas";40,054;7,822;-2,366;-5,366;-6,536;-8,181
"ler";0,805;23,697;1,645;-2,561;-7,084;-11,099
"lado";-10,324;-14,346;2,253;19,062;-1,375;6,72
"conselho";0,598;-1,893;-11,531;-10,875;0,764;39,619
"acreditar";-7,108;-26,896;-0,821;33,369;1,383;5,132
"questionar";-0,002;2,518;-6,301;-2,216;11,154;-1,155
"banco";-2,86;72,75;-5,17;-9,406;-1,293;-3,109
"tipo";-4,979;-9,764;0,221;6,426;-6,721;24,975
"declaração";14,605;-3,851;-2,106;-4,73;-1,988;11,63
"rede";-6,334;-8,69;59,603;5,031;-1,192;-6,833
"local";-3,562;-4,534;3,191;0,155;-1,21;9,586
"envolver";16,625;21,254;-7,521;-2,116;-5,858;-7,162
"vida";-6,334;-23,728;72,271;24,05;-8,26;-4,589
"supremo";16,653;-4,853;-0,919;-0,193;4,566;-3,951
"encontro";-3,442;16,021;-3,117;-3,803;-2,902;5,571
"seguir";-0,353;-2,637;-5,767;7,892;-0,51;5,933
"entender";0,004;-6,971;17,051;0,822;0,414;-5,581
"anunciar";-4,487;-10,195;-9,571;-4,826;7,36;62,37
"único";-0,003;-5,266;11,019;0,001;-3,167;1,443
"instituto";0,269;29,203;-4,981;-1,835;-4,049;-1,518
"impeachment";-3,356;0,102;-0,204;-0,086;61,921;-27,796
"atuar";-0,507;48,603;-4,236;-0,262;-4,976;-6,829
"inquérito";0,808;31,665;-1,598;-2,717;-1,893;-9,046
"civil";-0,182;-0,683;-3,134;-0,06;2,043;3,32
"chamar";-2,488;0,012;35,757;-10,001;0,103;-1,711
"carne";-12,18;195,939;-9,617;-5,035;-12,598;-15,769
"início";1,31;-0,952;-2,495;-0,139;1,019;0,789
"governador";-7,414;0,129;-8,427;-6,428;151,764;-17,772
"empreiteiro";-6,024;283,574;-12,03;-20,348;-17,28;-24,504
"cumprir";29,96;-1,328;-6,51;0,492;0,187;-6,31
"população";-9,93;-24,292;3,728;62,886;1,926;-5,968
"pgr";-0,37;160,197;-4,446;-16,833;-12,246;-18,165
"mandar";5,813;1,16;4,904;-3,323;-0,235;-10,094
"discurso";-7,843;-31,38;4,124;1,065;65,348;-2,526
"mudança";-9,343;-33,09;-2,019;19,035;48,864;-0,087
"geral";-5,311;13,822;-2,699;0,228;1,792;-4,891
"entregar";-7,132;212,477;-8,14;-17,601;-7,668;-19,404
"movimento";-10,214;-16,822;13,807;13,244;4,906;-2,295
"triplex";262,274;-15,037;-8,092;-7,723;-4,546;-10,777
"réu";248,065;1,256;-12,714;-18,731;-13,752;-22,751
"pyongyang";-25,383;-45,852;-24,675;-28,07;-26,255;702,66
"organização";30,719;0,342;-7,937;0,042;-10,601;-0,122
"mulher";-4,694;-6,364;38,679;15,777;-0,74;-15,562
"intervenção";-14,174;-23,893;0,516;6,057;93,215;-9,949
"imóvel";11,736;11,038;-1,75;-2,494;-3,95;-4,945
"rousseff";0,009;99,245;-2,627;-12,511;-1,121;-26,917
"interesse";-2,247;1,783;-6,164;1,321;-0,31;2,384
"homem";-0,725;-15,961;43,271;0,563;-0,919;-0,378
"tornar";-0,353;-4,29;0,354;16,607;-1,554;-0,278
"planalto";-5,086;-0,009;-4,735;-5,069;144,314;-22,97
"longo";-3,665;-1,743;0,08;0,851;-5,2;17,364
"história";-3,224;-6,045;13,326;46,623;-10,321;-6,928
"prestar";2,168;85,665;-4,053;-8,392;-9,052;-17,051
"oficial";-5,086;13,05;-4,735;-3,956;-5,524;17,361
"necessário";-3,553;-13,426;-2,343;15,346;7,096;0,756
"corte";148,172;-6,51;-3,791;-3,123;-1,959;-12,555
"atingir";-8,896;-4,955;-5,656;-9,139;-11,123;179,119
"senhor";-5,724;-1,026;14,114;9,148;1,427;-17,246
"objectivo";2,865;-0,253;-10,019;0,153;-1,644;7,189
"explicar";-0,561;5,836;0,603;4,445;-5,112;-7,004
"chefe";-6,284;23,501;-3,471;-3,821;-0,871;1,967
"perder";-3,428;-11,735;15,893;3,593;0,342;-0,277
"donald";-23,338;-42,159;-14,252;-25,625;-19,626;578,732
"conta";1,455;83,77;-6,031;-12,771;-0,271;-25,161
"setor";-6,803;27,77;-0,468;2,422;-3,167;-7,177
"povo";-11,944;-34,055;96,901;0,226;7,096;-5,05
"apontar";2,751;29,891;-7,512;-3,956;-0,174;-7,534
"diverso";-0,004;9,57;-5,237;-0,183;-1,066;0,008
"publicar";-1,304;-0,385;20,456;-1,346;-1,552;-0,007
"previdência";-20,96;-25,855;-15,947;-14,479;581,429;-27,137
"lavagem";498,783;-5,386;-19,551;-24,13;-18,5;-26,039
"imprensa";0,483;3,242;0,024;-0,671;-3,67;-0,036
"diretor";-5,175;66,472;-0,526;-2,786;-3,194;-8,868
"comprar";-10,214;99,217;1,499;-9,109;-10,681;-10,297
"policial";1,352;-0,15;0,022;11,078;-0,149;-13,379
"jornal";-8,673;13,863;0,028;0,443;-7,644;0,122
"constituição";-1,52;-30,351;-12,663;23,997;79,436;-6,761
"prever";37,5;-9,187;-9,677;-0,377;13,22;-4,891
"silva";-2,185;47,261;-7,216;0,014;0,099;-17,729
"renan";-10,944;-10,704;-3,791;-6,05;259,801;-17,075
"assumir";-6,503;-3,068;-2,385;20,993;12,235;-4,168
"alvo";-0,039;9,983;-10,153;-11,327;-0,095;9,913
"ajudar";-4,565;-2,357;1,949;3,593;0,342;0
"texto";2,597;-3,983;-0,639;-3,104;65,093;-18,541
"relatar";-2,352;133,911;-3,024;-15,72;-9,296;-9,636
"penal";314,041;-11,813;-9,366;-3,639;-12,212;-20,783
"favor";5,019;5,653;-3,991;-2,275;7,095;-14,926
"caixa";-9,259;148,35;-1,593;-8,879;-4,049;-22,533
"violência";-12,279;-26,256;0,362;174,009;-0,049;-18,819
"investigado";8,029;78,372;-12,004;-8,457;-6,675;-15,987
"destacar";3,813;-1,444;-3,991;11,253;-4,707;0,008
"permitir";5,048;-8,114;-4,171;1,388;11,868;-1,968
"palácio";-10,377;33,388;-12,048;-3,601;37,157;-16,666
"esquema";2,168;160,529;-13,519;-19,741;-10,758;-21,455
"pensar";-11,307;-23,492;28,269;29,145;1,043;-6,761
"morte";-3,238;-4,593;1,8;4,002;-3,443;6,586
"lançar";-17,317;-27,967;-10,822;-16,809;-0,673;302,403
"exterior";-11,704;21,362;-3,818;-6,641;-5,802;20,665
"evitar";1,544;-0,233;-3,935;-0,289;0;2,902
"possibilidade";17,929;-16,029;-5,908;-0,012;10,43;-0,02
"norte_coreano";-21,469;-38,782;-20,871;-25,758;-22,207;603,996
"chamado";-1,238;8,449;-1,062;0,126;-0,095;-1,736
"superior";328,71;-8,567;-8,534;-6,133;-15,126;-22,11
"mundial";-14,198;-23,095;-0,774;6,798;-2,806;73,329
"incluir";-2,053;-1,216;-3,75;-3,915;-0,148;43,172
"russo";-19,434;-35,106;-14,488;-12,771;-15,643;448,557
"economia";-6,972;-15,29;-0,211;20,948;0,172;5,303
"risco";-0,106;-16,184;0,01;9,17;-4,486;13,388
"mudar";-2,558;-11,994;0,603;37,232;0;-1,818
"luiz";13,532;5,706;-0,608;-5,489;0,318;-12,511
"lembrar";-0,295;0,325;3,98;0,349;-0,422;-3,665
"indicar";-1,436;21,897;-0,233;-8,369;0,071;-1,119
"comissão";-1,47;-0,525;-9,989;-9,792;173,788;-19,275
"cidadão";-5,866;-14,276;11,588;48,532;-2,618;-3,963
"autorizar";-0,021;14,803;-2,498;-4,122;-0,945;0,039
"usado";-2,01;11,645;-3,82;-0,623;-3,289;3,073
"noite";-0,779;-5,697;4,275;-5,292;6,001;2,381
"marco";-3,485;-0,34;0;0,005;29,737;-7,656
"revelar";-1,47;82,069;-8,236;-8,174;-7,497;-0,932
"período";2,242;1,883;-7,782;11,324;-0,871;-7,699
"lourar";-7,154;135,665;-4,818;-8,583;-7,4;-9,262
"união";0,048;-2,329;-4,836;0;1,365;5,652
"suposto";2,52;41,126;-5,883;-10,363;-6,603;-0,664
"mendes";139,702;-8,844;-0,681;-7,466;-0,364;-12,728
"instituição";-11,362;-13,001;-9,056;181,864;-1,21;-5,463
"frente";-4,742;-9,367;13,124;3,229;1,097;-0,401
"viver";-15,378;-18,282;37,584;44,688;-2,618;-5,132
"condição";0;-8,016;-1,19;22,789;4,611;-6,31
"tse";184,328;1,525;-3,701;-16,918;-12,106;-23,189
"jong_un";-19,942;-36,024;-19,386;-23,927;-20,627;561,043
"diálogo";-9,77;0,046;-0,153;-0,064;-4,178;26,213
"agência";-9,56;-15,659;-5,739;-2,916;-10,004;195,116
"procurar";-9,397;11,915;0,271;6,272;-2,457;-6,083
"posição";-1,643;-19,104;-2,198;12,254;6,53;2,437
"plano";-6,503;-10,852;8,071;-1,539;2,755;9,419
"mercado";-10,669;2,45;8,678;2,187;-0,017;-7,455
"garantir";-0,013;-0,272;-0,914;9,366;-0,691;-0,446
"ganhar";-5,311;-7,784;15,489;-0,005;6,187;-0,378
"capital";0,814;-0,5;-1,238;-1,325;-0,686;8,141
"junto";-0,07;25,564;-0,264;-0,246;-1,801;-9,902
"japão";-17,911;-32,354;-15,145;-16,918;-14,095;448,316
"demonstrar";3,293;-2,363;-7,788;5,977;-3,194;3,373
"acompanhar";5,862;-0,001;-0,352;-0,038;-1,21;-0,184
"total";-0,639;31,695;-3,035;-5,035;-4,929;0,116
"prático";35,694;-0,297;-3,048;1,111;-4,886;-5,132
"notícia";-5,866;-6,426;2,517;-0,005;-3,664;29,409
"imagem";-1,224;-5,125;0,563;0,063;-2,246;15,813
"gravação";5,913;110,482;-10,472;-8,159;-15,732;-19,691
"fossar";-0,011;2,438;-0,374;5,491;-5,166;-1,564
"comando";-1,947;-5,584;-2,791;-0,789;-0,017;40,812
"analisar";81,017;-15,116;-1,553;-5,884;2,212;-3,357
"votação";-13,344;-22,409;-17,247;-12,701;482,109;-20,582
"turma";190,733;-12,517;-0,527;-6,772;-3,763;-14,03
