"";"*gr_01";"*gr_02"
"ainda";3;36
"sessão";0;11
"superior";1;29
"tse";16;18
"dever";3;45
"dar";6;23
"mandato";3;27
"afastamento";0;10
"globo";4;8
"agricultura";1;15
"edson";22;78
"além";3;14
"meirelles";1;32
"tempo";3;11
"que";137;671
"meio";1;15
"marcelo";2;13
"aurélio";3;22
"rocha";5;13
"final";1;16
"haver";11;67
"quando";3;28
"serraglio";3;10
"petrobras";3;7
"criminoso";2;12
"bem";4;10
"prova";3;11
"roberto";3;19
"mil";3;8
"milhão";2;12
"norte";4;13
"documento";4;11
"herman";6;18
"tornar";3;7
"fazenda";4;38
"janot";7;21
"principal";4;9
"gilmar";13;34
"favor";3;11
"agora";1;9
"moreira";1;19
"eduardo";9;16
"2017";1;9
"república";4;42
"possibilidade";0;16
"rodrigo";10;24
"mesmo";8;36
"possível";1;22
"parte";1;11
"quarta_feira";0;11
"paulo";2;17
"íntegro";1;11
"estado";4;28
"executivo";2;19
"michel_temer";28;98
"momento";6;8
"sexto";0;10
"rcifrão";5;12
"vida";4;9
"nacional";1;19
"reunir";3;10
"preso";1;15
"fato";5;12
"cometer";0;11
"congresso";1;14
"isso";4;27
"ação";5;24
"também";15;70
"em";134;898
"lúcia";8;33
"questionar";1;14
"encontro";5;14
"quanto";4;6
"inquérito";4;32
"instância";2;24
"regra";1;13
"colega";2;9
"povo";4;7
"coisa";4;6
"investigar";5;30
"assunto";1;20
"lá";6;7
