"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"empresa";-43,497;-54,833;-0,334;45,695;398,992;-40,398;-53,205
"político";-0,305;0,073;0,945;16,501;-0,281;5,313;-43,844
"decisão";-44,608;604,31;-0,641;-10,94;-27,502;-5,567;-12,642
"odebrecht";-105,687;-30,955;-11,446;-25,925;1410,083;-45,244;-65,479
"dever";1,223;10,005;-4,28;-0,382;-32,401;29,063;-0,293
"norte";-97,868;-61,888;-63,299;-51,248;-85,193;-61,587;2891,631
"justiça";-36,502;180,089;140,41;-30,944;-1,009;-8,971;-69,114
"deputado";-71,478;0,166;73,694;-51,157;-48,809;628,742;-63,969
"delação";-100,824;-5,983;748,229;-65,477;56,36;-33,893;-65,479
"ação";-16,343;57,053;-4,515;-1,852;-0,474;-11,358;27,361
"trump";-19,287;-59,256;-68,255;-32,401;-82,352;-34,089;1892,628
"querer";161,49;-7,994;-7,14;-30,981;-8,679;6,608;-10,206
"dinheiro";-33,383;17,479;9,11;-16,564;267,222;-43,069;-58,467
"juiz";-32,536;686,111;-8,769;-61,383;18,623;-20,101;-60,205
"joesley";-28,3;-42,97;886,056;-42,17;4,363;-40,921;-56,159
"receber";-34,185;-3,676;-1,929;-9,186;428,939;-7,694;-42,943
"república";-21,563;0,672;443,326;-21,337;-7,439;-5,45;-49,422
"paulo";1,592;-1,627;-3,01;-8,767;79,493;5,612;-56,009
"corrupção";-2,097;79,82;38,255;-7,425;-0,107;-8,449;-55,262
"senador";-44,468;-0,017;334,752;-61,354;-5,611;47,013;-43,383
"dilma";-1,312;0,005;5,95;-26,312;138,565;-2,201;-54,217
"partido";-5,082;-15,574;-11,581;-16,052;-0,084;464,966;-36,976
"investigação";-37,776;-1,914;512,695;-20,497;2,184;-32,529;-38,318
"ficar";79,844;-2,702;-7,876;-1,057;-0,137;0,005;-24,14
"falar";80,232;-6,541;-0,189;-7,571;-1,685;-0,033;-11,605
"brasileiro";13,516;-32,149;-9,261;272,529;-25,788;-2,82;-37,841
"eua";-50,864;-46,324;-55,983;-11,129;-63,579;-42,16;1767,421
"saber";99,056;-12,124;-2,835;-12,589;5,95;-0,328;-28,243
"relação";-14,465;-0,253;-3,02;-0,335;7,907;-0,845;28,799
"lei";-2,853;50,87;-8,094;11,787;-18,402;25,61;-33,677
"política";32,107;-18,053;-32,443;55,251;-43,081;8;-0,033
"vez";14,027;0,001;-9,471;-0,15;-6,252;-0,515;6,357
"câmara";-75,214;-0,464;51,963;-32,532;-41,921;599,139;-45,613
"só";64,487;0,041;-2,333;0,757;-14,361;-2,987;-11,981
"grupo";-1,239;-28,098;13,918;-3,501;31,112;-0,651;-0,551
"pt";0;-0,451;-19,453;-23,376;85,598;51,82;-46,1
"sérgio_moro";-54,638;434,893;-11,372;-47,618;107,706;-26,331;-50,495
"crime";-17,564;215,221;75,129;-18,611;-8,003;-19,305;-41,196
"aécio";-2,508;-13,461;475,555;-49,168;-9,13;0;-42,509
"propina";-83,684;-31,706;-0,298;-51,962;1199,154;-42,16;-50,495
"unido";-30,648;-35,944;-51,226;-9,884;-22,503;-32,185;1180,538
"momento";12,018;-14,505;-2,096;1,421;-8,804;14,426;-0,401
"contar";2,831;-6,975;-4,989;-3,061;113,702;-7,798;-18,996
"americano";-29,555;-39,442;-52,689;-11,341;-32,773;-39,841;1337,694
"segurança";4,106;-11,326;-11,145;3,73;-37,933;0,176;75,888
"advogado";-55,415;154,271;36,693;-39,815;66,204;-25,409;-47,38
"polícia";-0,277;-10,169;362,235;-11,64;-2,755;-18,448;-43,098
"porcento";-38,317;-30,366;-32,6;518,572;-1,46;-1,44;-8,528
"depoimento";-67,496;6,243;6,773;-47,517;511,927;-38,751;-46,788
"meio";-7,963;-2,615;-0,068;19,085;17,727;-5,256;-3,306
"fato";-0,832;49,424;1,649;-0,483;-0,003;-7,706;-13,425
"prisão";-57,147;663,047;33,74;-34,76;-18,217;-26,718;-37,974
"militar";4,088;-24,101;-34,965;-24,187;-46,675;-13,157;623,642
"reforma";-33,803;-36,257;-37,442;-3,919;4,72;662,654;-33,529
"passar";29,272;-4,434;-4,083;19,612;-11,171;4,033;-29,218
"empresário";-31,325;-19,882;211,167;-13,314;93,615;-20,028;-42,705
"deixar";15,974;-0,391;-0,906;-3,696;-17,659;6,966;0,806
"chegar";29,887;-8,67;-0,065;-4,258;-0,053;-0,584;-0,092
"pedido";-54,827;208,148;41,473;-33,23;15,127;-12,9;-43,393
"grande";35,713;-15,894;-15,228;16,554;-12,404;-0,13;0,387
"nuclear";-60,837;-37,666;-44,903;-45,078;-49,945;-36,187;1894,956
"direito";78,682;2,27;-15,209;1,269;-24,304;-0,256;-12,063
"míssil";-68,446;-37,807;-45,071;-45,255;-52,543;-34,048;1951,438
"nacional";-2,03;-19,795;2,564;27,471;-15,183;27,956;-3,944
"maior";-0,951;-13,061;-10,621;162,988;-1,591;-11,936;-0,58
"último";-3,424;0,125;-0,101;0,038;-10,003;0,593;23,067
"nota";-43,799;-0,1;280,923;-17,166;13,054;-12,599;-28,62
"jbs";-62,941;-30,058;485,39;-7,328;25,744;-21,066;-40,303
"vir";13,26;-1,422;-1,07;-1,786;-0,785;0,51;-0,216
"forma";8,658;-0,051;-10,635;4,981;0,008;-4,265;-0,189
"recurso";-30,392;168,219;-29,816;0,574;34,359;-7,561;-24,503
"rio";53,3;0,391;-4,66;-8,766;-6,572;24,855;-37,079
"denúncia";-47,734;16,796;120,498;-27,175;22,696;-1,149;-33,583
"campanha";-11,474;-7,346;-16,1;-1,097;216,89;0;-17,7
"pagar";-27,187;-17,87;-0,785;0,614;353,425;-29,829;-24,416
"casa";0,89;-7,443;1,067;-3,169;-3,783;18,507;0,118
"defender";-0,413;0,28;0,416;-0,549;-19,03;43,815;-1,439
"precisar";52,64;-17,998;-14,542;21,821;-28,486;5,74;-4,372
"valor";-30,08;-17,615;-29,182;1,035;508,832;-21,581;-26,06
"mês";-4,349;65,212;-3,909;0,803;-11,69;0,209;-0,878
"levar";0,866;11,057;-0,86;-3,082;-4,325;-1,44;3,679
"apresentar";-18,822;131,812;-0,18;-10,486;2,308;0,121;-16,918
"semana";-8,995;-1,368;5,827;-1,02;-20,255;16,116;19,949
"prova";-40,869;112,778;3,505;-34,563;71,771;-23,043;-9,354
"pagamento";-56,139;-14,658;0,129;-11,713;595,958;-25,983;-35,179
"econômico";-16,408;-15,845;-25,008;225,953;-4,073;-0,031;0,178
"próprio";-1,679;29,795;-0,063;-3,322;-0,001;0,098;-3,429
"medida";-7,163;-1,403;-0,71;6,906;-8,324;27,166;0,426
"conversa";-7,163;-23,587;249,127;-16,956;-0,282;-5,043;-1,845
"bem";42,954;-2,109;-5,043;1,083;-0,064;-7,367;-5,868
"sul";-12,937;-18,599;-12,521;-6,817;-23,95;-23,199;639,307
"sírio";-46,625;-26,171;-31,199;-28,38;-36,371;-25,143;1336,029
"projeto";-15,66;-0,351;-22,317;2,434;-3,173;224,329;-14,741
"mundo";18,888;-22,323;-19,092;6,082;-24,68;-9,987;97,55
"passado";-7,765;0,04;2,971;10,407;-13,24;1,489;0,626
"informar";-31,038;-4,603;56,276;-2,593;4,421;-9,133;11,302
"autoridade";-7,158;22,399;1,101;-14,558;3,372;-0,058;-0,043
"ataque";-22,083;-20,033;-25,494;-36,066;-40;-20,818;1113,445
"crise";-0,914;-21,815;-23,393;231,249;-33,069;-0,25;2,002
"eleição";-3,354;-3,856;-23,552;-15,136;-19,95;542,184;-17,509
"tempo";36,681;-3,686;-16,156;4,809;-8,862;0,017;-0,211
"gente";267,945;-22,033;-19,498;-1,515;-14,472;-0,035;-25,191
"conseguir";29,409;-13,239;-2,308;-0,663;-0,877;-0,542;1,393
"relator";-50,121;334,038;39,488;-27,591;-16,935;-0,015;-31,828
"informação";-9,436;0;78,599;-5,11;17,935;-20,296;-12,215
"eleitoral";-18,366;32,95;-8,3;-1,779;9,879;26,52;-19,74
"cunha";-39,124;-4,324;567,069;-31,17;-1,19;-7,86;-29,505
"coisa";318,406;-9,685;-22,597;-11,449;-17,309;-3,575;-13,459
"voto";-23,986;105,158;-2,476;-11,449;-17,309;136,49;-30,811
"base";-11,042;-1,219;-1,215;-4,566;-15,12;6,161;110,542
"acontecer";42,425;-7,767;-18,056;0,089;-17,88;5,683;1,725
"preso";-24,676;32,317;247,372;-21,22;-3,202;-13,422;-31,247
"apartamento";-43,873;-20,051;-21,328;-33,607;932,351;-25,17;-29,65
"manter";-7,939;24,87;0,708;-2,576;0,04;0,005;-0,858
"líder";-1,594;-14,554;-8,124;-19,635;-35,053;35,148;192,622
"força";8,964;-12,438;-13,78;-5,315;-29,637;0,145;140,895
"marcelo";-16,882;-0,006;-6,387;-26,54;416,621;-16,749;-29,215
"continuar";4,3;-8,518;-0,044;1,141;-9,323;-2,194;18,002
"social";97,358;-19,781;-12,721;46,241;-28,126;-0,129;-24,904
"condenar";-32,351;490,68;-8,422;-27,917;-1,575;-12,706;-1,69
"situação";71,833;-11,661;-9,116;6,282;-24,738;-0,045;-0,613
"julgamento";-8,828;581,721;-7,106;-10,816;-25,374;-8,599;-28,78
"batista";-26,034;-28,821;664,535;-27,4;0,027;-23,281;-29,94
"realizar";-12,357;-2,173;-6,84;-5,05;2,351;-6,873;138,229
"começar";39,297;0,818;-9,336;-0,413;-10,647;-0,465;-0,136
"candidato";-9,083;-14,163;-24,524;-6,948;-8,009;556,761;-18,71
"cargo";-4,617;31,592;1,902;-9,801;-11,096;37,406;-10,503
"pouco";61,576;-11,901;-21,803;16,116;-21,434;-2,464;1,151
"tribunal";-51,069;829,886;-2,5;-23,083;-9,222;-18,996;-27,375
"achar";102,21;-16,967;-19,907;0,397;-19,303;14,841;-9,903
"final";-11,237;34,563;1,454;-2,255;0,33;0,025;-4,598
"pmdb";-27,034;-6,62;56,853;-19,732;4,311;81,206;-28,346
"executivo";-31,853;-5,92;28,133;-3,624;63,232;1,097;-16,684
"china";-25,764;-25,475;-21,671;-3,568;-33,034;-22,234;844,918
"senado";-26,554;6,619;1,95;-25,167;-30,64;379,376;-25,786
"eduardo";-33,874;-2,428;427,357;-28,294;1,338;-11,526;-28,925
"tomar";0,728;2,637;-4,776;21,978;-19,303;-0,736;0,113
"ocorrer";0,012;9,517;-2,801;-6,367;7,931;-6,632;0,446
"rodrigo";-34,189;-13,145;270,255;-17,488;-22,353;75,774;-27,911
"dono";-25,689;-17,232;158,608;-15,002;96,198;-20,038;-28,635
"considerar";-8,866;21,24;-8,698;14,366;-2,457;-0,314;0,176
"congresso";-16,643;-11,703;-5,507;-1,813;-26,433;512,277;-15,872
"questão";5,326;0,434;-14,019;-0,198;-1,727;2,349;0,841
"possível";-0,521;0;-0,614;-2,092;-6,152;1,782;22,13
"aprovar";-17,487;-7,748;-10,106;-5,442;-8,61;410,001;-7,231
"proposta";-24,642;0,643;-18,339;-0,513;-10,135;308,326;-8,722
"bom";73,938;-13,011;-13,843;5,026;-19,81;2,788;-4,539
"responder";-3,917;1,184;22,234;-17,771;-0,259;-2,225;8,544
"presidência";-10,029;1,501;6,119;-7,953;-0,359;54,62;-11,686
"colocar";16,242;-9,183;-0,738;-16,21;-0,888;9,606;1,744
"sistema";-0,434;-11,894;-11,368;97,158;-5,299;-0,598;0,233
"pf";-14,304;-12,629;404,066;-18,257;0,599;-21,303;-23,192
"documento";-20,081;5,439;8,739;-5,288;91,52;-9,991;-25,165
"parlamentar";-18,144;15,499;14,016;-14,884;-19,451;143,521;-27,043
"divulgar";-8,222;-7,638;177,268;-4,405;-12,377;-4,685;0,233
"problema";42,937;-13,011;-21,027;47,692;-25,658;-3,407;0,138
"arma";-9,077;-19,151;-21,431;-7,998;-25,873;-18,255;660,471
"reunião";-10,456;-7,481;-0,431;-2,394;4,146;0,575;36,051
"delator";-38,948;0,367;29,705;-18,421;182,512;-17,293;-25,598
"procurador";-14,304;30,491;35,182;-22,093;45,746;-21,303;-25,454
"apoio";-5,351;-9,656;-3,769;-0,001;1,842;11,442;10,082
"região";2,225;44,671;-14,288;2,132;-26,253;-12,848;10,033
"sair";22,65;-6,666;-6,371;3,183;-2,718;7,726;-11,574
"psdb";-23,777;-1,542;4,47;-18,624;-6,284;317,411;-24,156
"negar";-33,272;21,366;40,294;-25,009;16,537;-2,744;-2,966
"petrobras";-43,757;-2,199;-4,661;-11,829;509,522;-21,436;-25,598
"pena";-25,936;497,14;-4,662;-6,687;-8,734;-10,827;-17,857
"instância";-30,494;839,598;-5,904;-27,485;-26,063;-12,724;-20,18
"g1";13,514;-7,817;16,76;5,069;-7,084;-0,577;-22,761
"filho";51,795;-1,218;-1,818;-23,288;6,894;0,062;-18,279
"ato";2,159;38,325;0,186;-17,312;0,062;-3,455;-5,568
"fachin";-44,441;15,14;563,102;-27,485;-23,963;-22,739;-24,588
"janot";-31,366;-3,656;713,164;-18,29;-27,295;-17,729;-23,868
"mandato";-19,71;39,077;47,778;-4,291;-7,114;2,693;-19,467
"sociedade";143,836;-9,087;-19,972;18,728;-24,166;-2,746;-20,894
"internacional";-6,946;-14,426;-14,778;12,438;-9,267;-7,332;175,193
"mpf";-40,374;13,318;11,253;-24,214;190,866;-21,94;-23,724
"joão";-14,892;2,07;-7,98;-19,042;185,51;0,398;-22,86
"declarar";-2,579;-8,483;-1,538;-4,507;30,734;-0,015;5,658
"responsável";-18,937;33,976;-0,394;0,435;15,768;-4,425;-8,059
"palocci";-23,48;-4,232;-5,761;-24,005;467,125;-13,799;-21,709
"investigar";-25,445;0,048;279,843;-14,872;1,28;-17,86;-21,755
"voltar";18,781;3,458;-11,073;-4,682;-13,091;16,279;-1,46
"principal";-1,491;-4,824;-0,119;3,325;-8,588;12,354;3,641
"ex_ministro";-31,874;-0,082;9,052;-20,564;214,73;-7,769;-21,899
"condenação";-18,787;608,297;-14,472;-25,917;-10,304;-5,859;-13,168
"cidade";42,472;-3,305;-9,726;2,986;-12,908;-3,819;1,287
"acusação";-19,941;6,83;41,119;-20,395;38,824;-9,064;-9,075
"janeiro";10,27;4,574;-0,619;-4,57;-16,231;16,609;-5,697
"importante";1,264;-7,337;-9,193;72,797;-23,598;0,026;0,321
"regime";-17,803;0,269;-14,932;-6,189;-27,104;-7,441;392,574
"exemplo";-2,154;-3,482;-6,184;43,989;-3,091;5,966;-1,652
"próximo";-3,939;-0,366;-0,152;-0,394;-14,876;71,154;0,041
"acabar";47,635;-3,482;-18,462;-0,001;-3,89;-3,889;4,193
"área";-0,629;-10,984;-18,358;102,252;-0,494;-0,424;-0,482
"trabalhar";44,762;-7,677;-6,984;5,35;-6,434;-4,631;-0,061
"ponto";18,256;-0,002;-1,495;1,785;-8,611;0,013;-4,757
"votar";-13,815;21,138;-1,711;-18,2;-25,003;246,677;-13,865
"teste";-35,185;-17,836;-23,923;-20,761;-27,89;-17,061;981,387
"existir";0,733;-3,613;-5,136;35,703;-2,939;0,569;-4,117
"entrevista";0,238;-6,172;18,451;-3,559;-12,756;26,136;-2,688
"programa";-1,396;-19,351;-19,164;6,32;-12,256;-0,616;152,244
"criar";3,334;-12,191;-12,2;44,053;-1,556;-0,08;-0,336
"serviço";-3,136;-10,857;-6,821;48,09;18,111;-10,145;-0,836
"citar";-4,053;1,026;11,983;-1,328;4,703;-1,722;-4,311
"tratar";-3,045;0,111;-2,46;-9,895;30,877;2,282;-0,649
"kim";-36,999;-21,036;-25,077;-26,495;-29,235;-20,21;1096,976
"partir";-3,783;-3,613;16,103;2,002;1,878;-7,701;-0,1
"número";-0,133;-9,989;-3,404;88,337;-1,962;-1,993;-2,75
"mostrar";3,8;-8,138;-2,291;3,8;-0,106;-0,919;1,488
"melhor";32,296;-8,73;-13,863;19,944;-19,547;0,169;-0,162
"josé";-7,189;11,511;1,125;-12,659;52,043;-0,497;-21,997
"esperar";9,041;-2,043;-7,589;0,484;-8,076;2,181;2,58
"parecer";8,738;-2,572;-4,91;-1,069;-18,628;16,935;4,86
"ordem";2,275;5,975;-0,321;-2,992;-11,973;-1,011;9,103
"contrato";-27,319;-10,857;-18,197;-9,17;552,698;-17,722;-21,566
"conselho";-19,876;0,465;-2,249;-0,985;-0,853;0,347;62,051
"brasília";-0,87;-1,253;51,526;-2,895;-3,375;1,884;-7,7
"assunto";-1,227;-0,147;14,627;-2,314;0,936;0,078;-4,021
"oas";-33,55;-5,021;-22,124;-25,798;663,735;-19,678;-21,278
"encontrar";11,281;-12,976;-0,659;-0,33;10,387;-4,96;-0,254
"claro";21,364;-2,493;-8,379;2,336;-8,762;2,6;-0,94
"época";0,839;-1,565;14,544;-0,462;7,468;-7,033;-13,182
"usar";10,311;-7,554;-0,806;-3,291;0,005;-3,451;11,529
"família";0,973;-3,348;-2,208;0,022;46,613;-1,409;-19,605
"entrar";4,126;-0,189;-5,289;-0,146;-3,709;0,566;4,761
"participar";0,063;-0,003;-0,198;-13,533;-0,288;18,246;0,378
"premiar";-36,481;-5,226;228,344;-21,622;42,179;-15,631;-21,566
"confirmar";-12,123;13,57;0,703;-14,985;26,377;-8,115;0,923
"atual";-3,136;-5,226;-1,425;0,829;-0,449;36,437;-0,174
"ameaça";-11,706;-4,616;-10,157;-12,903;-16,982;-7,885;433,137
"inquérito";-23,556;-2,781;457,899;-15,023;-5,144;-15,741;-19,413
"atuar";-7,475;-4,417;26,114;2,848;7,962;-6,269;-6,129
"questionar";-9,617;-2,113;17,169;-3,191;2,148;6,571;-1,777
"maia";-24,306;-9,345;-5,34;-17,481;-26,546;725,12;-19,843
"hora";44,917;-3,737;-0,547;-1,423;-23,624;-6,861;13,744
"decidir";-9,933;64,036;2,16;-8,03;-4,028;1,391;-2,115
"petista";-1,772;34,515;-14,345;-6,21;15,532;7,034;-19,843
"lado";24,603;-11,15;-3,409;0,135;-12,563;-0,002;7,585
"governador";-13,833;-2,348;-3,511;-0,751;-0,107;173,424;-11,959
"guerra";-1,524;-17,286;-13,001;-7,889;-22,528;-10,719;435,336
"cumprir";-16,122;28,755;45,594;1,376;-18,731;-0,476;-10,64
"envolver";-11,087;3,318;7,432;-2,608;22,219;-2,857;-6,016
"criminoso";-22,51;13,905;205,613;-6,341;-6,839;-10,471;-17,746
"mudança";0,958;-6,977;-13,308;12,564;-20,767;44,238;0,002
"intervenção";5,812;-11,375;-14,514;-0,189;-17,767;150,772;-5,696
"imóvel";-26,873;-18,136;-9,829;-9,283;527,17;-17,423;-18,84
"civil";-0,074;-0,185;0,789;0,416;-3,565;0,268;0,524
"acreditar";15,696;-5,148;-12,541;-6,21;-7,956;15,888;9,33
"supremo";-15,75;136,486;56,707;-16,803;-23,433;-0,949;-14,934
"mulher";99,231;-5,409;-14,832;0,552;-1,27;-2,76;-14,23
"instituto";-13,646;-5,739;-8,45;-1,81;224,249;-9,607;-5,018
"encontro";-3,451;-6,072;3,054;-0,901;1,064;-3,277;20,182
"cercar";-3,161;-1,403;-0,54;21,073;1,268;-7,405;0,335
"banco";-19,078;-9,349;-8,958;110,743;15,238;-3,38;-5,468
"tipo";6,675;-2,04;-6,283;3,745;-9,009;-5,627;19,752
"rússia";-24,669;-18,136;-19,336;-7,837;-25,204;-17,423;757,87
"início";0;3,609;0,131;0,145;-7,058;0,029;0,02
"declaração";-14,539;21,686;0,048;-5,949;0,271;-1,683;9,862
"movimento";95,365;-6,84;-12,987;-1,563;-17,908;8,786;-5,809
"foro";-15,161;116,657;8,965;-6,848;-21,524;8,787;-15,608
"anunciar";-8,955;-9,22;-7,722;3,584;-10,639;5,879;77,687
"acusar";-28,661;51,674;1,906;-17,481;42,326;-8,702;-3,479
"impeachment";0,026;-0,015;7,878;-1,489;-10,691;37,362;-16,178
"geral";-5,065;-1,892;68,548;-1,35;-3,118;0,422;-4,104
"único";5,765;0,031;-5,367;0,013;-1,055;-1,237;2,039
"neve";-18,142;-11,639;476,753;-22,495;-3,421;-9,239;-18,554
"interesse";-4,907;-1,819;-0,031;1,168;5,294;-0,455;1,352
"seguir";0,461;-4,423;-0,129;8,369;-9,654;-0,381;6,577
"réu";-32,856;240,39;-1,039;-23,711;29,727;-13,804;-19,557
"planalto";-4,591;-6,296;37,358;-8,702;-17,62;126,769;-19,7
"entender";41,744;0,151;-4,289;-10,541;-7,916;2,712;-1,202
"triplex";-33,534;19,902;-21,291;-22,495;347,111;-14,951;-18,554
"organização";-6,892;0,047;77,728;1,24;-15,596;-10,611;0,005
"ler";-6,077;0,05;144,579;-9,735;-0,012;-6,748;-14,934
"prestar";-11,453;-0,024;-0,297;-6,243;165,075;-10,991;-12,283
"enviar";-8,001;-3,455;47,623;-6,647;-0,001;-0,844;2,989
"vida";64,057;-6,052;-4,681;10,756;-19,116;-5,534;-2,155
"senhor";15,134;-4,133;-2,988;0,036;0,314;2,393;-10,637
"população";0,838;-13,16;-16,37;168,179;-21,905;0,135;-5,582
"empreiteiro";-28,914;-6,862;-1,177;-12,384;398,535;-15,082;-18,697
"corte";-23,057;265,826;8,02;-2,63;-16,882;-8,109;-16,89
"local";19,483;-9,929;-7,673;3,252;-0,444;-1,053;0,179
"explicar";1,585;-0,883;0;3,18;5,258;-6,081;-7,178
"setor";-5,31;-10,06;-2,988;68,809;12,905;-6,253;-7,292
"pyongyang";-34,051;-18,136;-21,62;-22,842;-25,204;-17,423;959,886
"tornar";4,569;0,023;-1,045;5,216;-5,301;-2,676;0
"previdência";-26,092;-16,483;-15,239;-6,158;-14,316;682,589;-17,123
"necessário";0,482;-9,477;-5,041;9,806;-6,184;11,799;0,378
"violência";88,315;-7,334;-11,667;16,228;-20,996;-0,668;-13,478
"longo";1,984;-6,282;-3,842;0,813;-2,188;-3,38;27,769
"história";72,769;-0,234;-4,563;0;-6,851;-5,426;-6,451
"diretor";-2,392;-5,824;36,302;0,086;2,68;-2,111;-7,796
"lavagem";-30,273;278,656;0,708;-21,974;4,597;-14,556;-18,124
"carne";-28,109;-14,971;59,273;95,951;-1,985;-14,383;-9,415
"assumir";-2,872;-0,91;2,725;0,013;-0,076;14,154;-4,796
"texto";-6,786;3,495;0,108;-1,404;-4,119;69,717;-12,826
"entregar";-22,402;-10,716;125,244;-6,57;25,58;-5,426;-11,321
"constituição";-1,291;0,399;-1,828;5,313;-16,834;49,26;-6,451
"policial";10,791;0,051;10,453;0,004;-1,991;-6,515;-13,415
"objectivo";-3,141;1,507;-0,074;-0,541;0,021;-3,018;12,653
"apontar";-9,982;1,415;5,319;1,048;4,354;-0,833;-5,13
"silva";-8,152;-0,233;0,085;-5,351;89,678;-0,123;-16,266
"permitir";-0,175;14,05;-8,383;3,375;-9,523;2,808;-0,095
"penal";-15,291;262,027;-9,377;-4,686;2,468;-11,342;-16,837
"conta";-14,238;-0,177;-6,798;-0,92;160,398;-1,3;-17,266
"chefe";-3,124;-6,534;37,585;-2,493;-0,395;-2,497;4,653
"mandar";0,03;0,603;109,393;-12,219;-6,257;-4,997;-10,774
"discurso";6,91;-0,91;-13,244;-0,857;-18,36;40,229;1,322
"rousseff";-9,959;0,099;6,94;-5,617;52,859;-0,498;-16,551
"palácio";-7,253;-9,799;87,573;-11,73;-1,296;29,34;-14,329
"morte";8,701;-2,296;-5,208;44,792;-10,533;-7,124;-0,49
"caixa";-3,254;-7,459;-0,477;-2,847;133,185;-2,085;-15,838
"alvo";-20,898;-2,964;91,191;-11,893;0,122;-0,541;1,608
"pgr";-16,897;-1,322;290,641;-20,24;0,363;-13,242;-16,694
"possibilidade";-2,987;30,692;-1,872;-3,284;-13,408;13,814;0,246
"luiz";-19,898;13,115;12,953;-11,242;21,6;0,323;-16,123
"investigado";-22,297;12,755;95,74;-11,404;6,406;-10,827;-16,266
"ajudar";4,452;-4,03;-3,867;0,567;-0,444;1,68;0,02
"comissão";-19,649;-1,003;-0,526;-0,417;-0,989;170,611;-13,761
"rede";66,575;-2,847;-2,574;-5,399;-9,853;0,318;-1,431
"prever";-14,587;37,414;-5,996;23,121;-8,375;3,842;-6,916
"período";-0,148;0,246;-2,295;17,985;1,267;-2,085;-7,969
"marco";-0,57;49,646;0;-4,191;-8,213;6,709;-10,093
"lembrar";12,63;0,362;-3,754;0;-0,014;-1,66;-2,315
"evitar";-3,844;0,408;0,273;-0,05;-3,498;0,622;7,67
"condição";-1,771;0,041;-2,295;34,312;-6,35;4,541;-6,42
"atingir";-3,254;-7,459;-5,473;-0,116;-3,997;-4,16;142,184
"união";-8,71;-1,525;-9,858;61,116;-6,199;0,461;3,412
"renan";-13,323;1,322;7,777;-15,365;-12,947;163,573;-14,554
"superior";-23,277;416,268;-4,025;-3,592;-7,411;-12,193;-13,336
"chamado";0,72;0,284;12,149;-0,712;-0,158;-2,005;-6,297
"risco";-0,766;-1,243;-1,836;80,069;-20,233;-9,8;4,107
"garantir";-0,003;0,326;-1,379;21,434;-4,826;-0,619;-1,053
"economia";-2,562;-12,359;-15,092;164,018;-15,725;-0,995;1,298
"compra";-20,528;-6,963;-1,227;-5,673;287,469;-14,119;-11,012
"centro";28,304;-5,027;-4,173;-3,567;-9,121;3,201;2,24
"posição";4,882;0,121;-6,283;-1,02;-8,577;1,957;6,604
"perder";21,408;-0,382;-0,331;-1,75;-8,992;1,147;-0,539
"indicar";-5,769;-1,381;4,846;1,299;1,602;-0,023;-0,492
"imprensa";-2,696;-3,037;96,147;-3,36;-2,57;-6,473;-0,14
"frente";12,936;-4,442;-1,591;2,688;-5,207;1,041;-1,463
