___________________;34;0;0;5;2;5;0
diretamente;7;3;13;10;10;1;4
500;2;3;9;4;15;0;7
2009;5;1;6;7;24;3;3
sete;4;7;8;7;8;4;8
28;10;3;8;5;1;9;8
si;9;7;0;13;5;5;5
perto;12;1;3;3;2;2;22
recentemente;14;2;2;9;1;6;10
lhe;10;4;7;10;8;3;3
300;3;1;2;12;17;0;5
2012;2;2;4;2;23;6;4
especialmente;13;5;2;6;3;3;9
absolutamente;10;4;3;9;10;4;2
2011;1;4;1;5;22;2;4
oito;5;3;3;11;7;8;3
27;9;1;2;11;6;3;5
2006;1;1;2;5;19;5;8
bastante;18;2;2;10;1;4;1
80;5;0;0;11;6;1;13
22;3;5;10;5;6;8;1
2008;7;9;4;8;8;1;3
através;7;1;3;2;19;1;4
31;11;4;3;2;9;6;1
xi;1;0;0;6;0;0;28
atrás;18;2;1;13;2;0;1
s;8;0;9;2;10;4;1
totalmente;4;0;2;8;2;0;18
sequer;5;7;9;2;8;3;1
aquilo;13;3;4;6;2;3;0
60;6;1;4;13;1;4;2
provavelmente;8;2;0;4;5;6;9
0;1;3;0;17;4;4;1
extremamente;14;1;2;8;0;4;2
cuja;2;2;2;5;13;4;3
novamente;10;5;1;0;5;3;6
longe;15;1;1;6;0;2;3
isto;6;3;3;6;2;2;5
exatamente;8;1;1;6;3;6;4
quê;14;2;1;3;2;5;1
nove;2;9;4;5;1;1;4
b;6;3;1;4;5;6;1
aliás;9;5;3;4;3;4;0
70;6;1;1;12;3;2;2
trás;17;0;0;4;0;1;5
supostamente;3;2;6;3;8;0;3
cujo;5;2;4;5;3;4;4
35;2;2;3;4;7;3;2
sobretudo;8;3;0;6;3;2;2
politicamente;10;2;2;5;3;3;1
imediatamente;4;3;1;2;0;4;11
200;3;1;1;9;7;1;1
te;14;1;4;3;2;1;0
comigo;11;1;2;4;4;3;0
29;3;2;5;4;0;4;6
2005;2;4;2;4;8;4;1
150;2;1;2;7;9;1;0
pessoalmente;3;2;1;0;14;0;4
infelizmente;4;0;4;8;3;2;2
completamente;12;0;1;3;0;2;6
90;8;1;0;9;1;2;3
2007;4;3;0;6;7;0;2
zero;6;3;2;5;2;1;1
posteriormente;2;5;3;0;9;0;4
perante;4;10;1;2;5;0;1
cedo;8;0;4;1;0;5;4
exclusivamente;0;5;3;2;10;2;0
2002;2;2;2;1;9;4;1
inicialmente;0;6;4;2;5;2;1
praticamente;7;0;1;5;1;3;2
oficialmente;4;0;8;2;1;3;2
efetivamente;4;4;0;0;9;1;2
publicamente;3;2;4;1;0;6;2
justamente;8;1;2;5;0;1;2
cima;8;0;0;4;2;4;1
amanhã;6;3;1;2;0;3;2
afinal;5;1;2;3;4;4;0
38;4;1;3;5;2;1;3
1990;3;2;0;4;6;0;3
simplesmente;5;1;2;4;1;3;2
necessariamente;7;3;0;2;3;1;2
in;4;2;1;6;0;0;5
certamente;7;2;1;1;2;3;2
2000;5;0;0;6;1;2;4
igualmente;6;4;1;3;1;0;2
32;4;2;3;5;2;0;0
h;3;0;2;0;4;0;7
finalmente;5;1;0;2;1;4;2
eventualmente;3;4;0;4;2;1;2
cá;10;0;1;3;0;0;1
51;2;0;3;0;8;1;0
enfim;8;0;0;4;1;2;0
ei;5;0;0;1;0;0;7
d;1;3;0;2;8;0;0
aproximadamente;1;1;1;2;8;1;1
83;1;0;12;1;0;0;1
45;4;1;0;1;3;1;3
41;2;1;0;3;1;4;0
2001;1;6;0;1;1;1;5
obviamente;3;1;0;3;0;4;3
claramente;0;0;1;6;0;3;4
anteriormente;2;4;0;0;4;0;4
800;1;0;0;4;7;0;2
33;2;1;4;4;1;0;2
000;1;0;1;1;4;0;6
w;1;0;0;1;0;0;11
p;4;1;1;0;0;2;0
independentemente;2;1;6;2;0;0;1
evidentemente;4;1;0;0;3;4;0
diariamente;3;0;2;2;1;3;0
acercar;1;1;3;0;5;2;0
400;0;0;2;3;2;1;1
temporariamente;0;1;3;7;0;0;1
rapidamente;3;0;2;1;0;3;3
profundamente;4;1;4;2;0;0;1
mediante;0;1;3;0;8;0;0
especificamente;1;3;0;0;5;0;2
cem;4;0;2;2;0;3;1
adiante;3;1;0;2;1;3;1
600;3;0;0;3;3;1;2
59;1;0;0;1;0;0;9
1970;3;0;1;4;0;1;3
devidamente;0;2;3;1;4;0;0
basicamente;3;0;2;0;3;1;2
87;3;2;2;1;3;0;0
73;3;0;0;3;5;0;0
700;1;0;0;1;3;0;4
52;5;0;1;2;2;1;0
48;2;2;2;3;2;0;0
37;3;1;1;2;2;1;1
1980;2;0;1;6;1;1;0
107;0;0;9;2;0;0;0
09;0;1;0;1;9;0;0
v;2;2;0;1;3;2;0
tampouco;2;2;2;2;2;0;0
quão;3;0;0;3;0;0;3
normalmente;3;0;1;1;2;1;1
indevidamente;1;2;3;1;3;0;0
i;1;2;2;1;4;0;0
facilmente;3;0;1;2;0;1;3
expressamente;0;4;2;2;2;0;0
definitivamente;1;2;0;1;0;1;5
consigo;7;0;0;1;0;0;1
77;0;0;5;2;2;1;0
76;2;2;3;1;2;0;0
66;5;0;0;1;2;2;0
47;3;1;1;3;2;0;0
2003;0;1;2;2;3;0;1
170;0;0;2;4;2;1;1
120;0;2;1;4;0;0;0
r;2;0;0;0;0;1;6
possivelmente;2;1;0;1;2;0;2
m;3;0;1;0;5;0;0
formalmente;1;2;1;1;3;1;0
excelência;3;3;0;1;2;0;0
espontaneamente;3;1;2;0;2;1;0
ah;3;0;1;3;0;2;0
64;1;4;0;3;1;0;0
56;1;0;0;4;1;1;2
46;2;0;1;2;2;0;1
36;3;2;1;0;1;1;0
34;2;2;1;3;0;0;0
308;0;0;0;0;0;9;0
2020;1;1;0;2;1;2;2
2004;1;2;0;3;3;0;0
03;0;3;2;0;4;0;0
00;0;1;0;1;5;0;0
senão;2;0;1;0;2;3;0
respectivamente;2;1;1;1;1;0;1
relativamente;4;1;0;1;2;0;0
naturalmente;2;1;0;4;1;0;0
individualmente;0;1;0;3;1;1;0
aparentemente;2;2;0;1;1;0;2
abertamente;3;0;1;0;0;1;3
__;3;0;0;0;0;2;2
75;1;1;0;4;1;1;0
65;1;0;1;3;1;2;0
61;0;0;0;3;3;0;1
1964;6;0;0;0;0;2;0
1960;5;0;0;1;0;1;1
05;1;0;4;0;3;0;0
04;0;6;0;1;1;0;0
trilhão;2;0;0;4;0;0;0
salvo;1;2;0;2;0;0;2
rigorosamente;0;0;2;3;2;0;0
propriamente;2;1;2;0;1;0;0
previamente;1;0;2;1;0;1;2
preventivamente;0;1;5;0;0;0;1
internamente;1;0;1;1;2;1;1
57;1;1;0;3;0;1;0
55;0;1;2;2;0;2;0
54;1;0;0;2;1;3;0
418;0;0;0;0;7;0;0
39;1;0;1;2;0;1;2
250;1;0;0;1;1;0;3
1994;0;0;0;2;0;2;3
1988;4;1;0;1;0;1;0
02;0;3;0;0;1;1;0
01;0;0;0;1;5;1;0
veementemente;1;1;2;0;1;0;1
sinceramente;2;0;0;0;0;4;0
reiteradamente;0;4;0;0;0;1;1
raramente;2;1;0;0;0;0;3
radicalmente;1;0;0;1;0;2;2
primeiramente;1;0;3;1;1;0;0
plenamente;0;1;1;1;0;1;1
lhes;0;1;2;1;1;0;1
legalmente;1;1;1;0;3;0;0
ideologicamente;1;0;0;0;5;0;0
exceto;1;0;0;3;0;2;0
dificilmente;1;2;0;2;0;0;1
diferentemente;2;0;0;0;3;0;1
criminalmente;1;3;2;0;0;0;0
ante;0;1;0;3;1;0;1
amplamente;0;0;3;1;1;0;1
altamente;1;0;0;3;0;0;2
ai;4;0;0;1;1;0;0
ademais;1;2;1;1;1;0;0
850;0;4;1;0;1;0;0
82;0;0;0;3;2;0;0
79;2;0;0;1;2;0;1
78;1;0;0;2;3;0;0
7000;0;4;1;0;1;0;0
67;0;0;0;4;1;0;1
62;3;0;0;1;0;2;0
58;1;0;0;3;1;1;0
470;0;1;0;1;4;0;0
42;0;1;0;2;3;0;0
1984;0;0;1;0;4;0;1
180;0;2;0;2;1;0;1
160;0;1;0;1;1;0;1
141;0;0;0;0;6;0;0
x;4;0;0;1;0;0;0
trinta;0;2;0;0;2;1;0
sic;3;0;0;0;0;2;0
regularmente;0;0;1;0;3;0;1
perfeitamente;2;1;0;0;0;0;2
particularmente;0;0;0;3;0;0;2
n;0;0;1;0;1;2;0
minimamente;3;2;0;0;0;0;0
livremente;2;1;0;0;0;1;0
juridicamente;0;1;1;1;1;1;0
inteiramente;1;0;2;1;0;1;0
historicamente;3;0;0;0;0;1;0
constantemente;1;0;0;2;1;1;0
95;1;0;0;3;0;0;0
89;0;2;0;0;1;1;1
74;0;0;3;1;0;0;1
63;0;0;1;1;3;0;0
550;1;0;0;1;1;0;2
49;1;0;0;1;0;3;0
44;0;1;1;1;1;1;0
336;0;0;0;1;0;2;0
2019;2;0;0;1;0;2;0
1996;1;1;0;2;0;0;1
1995;1;0;0;1;0;2;1
190;0;0;0;4;1;0;0
162;3;1;0;0;0;1;0
105;0;1;0;1;0;0;1
ó;3;0;0;0;1;0;0
vossa;2;1;0;0;1;0;0
verdadeiramente;1;0;0;2;0;0;0
teu;3;0;0;0;1;0;0
teoricamente;3;0;0;0;0;1;0
suficientemente;1;2;0;0;0;0;1
repetidamente;1;0;0;0;0;0;3
quarenta;1;0;1;2;0;0;0
penalmente;0;4;0;0;0;0;0
parcialmente;1;2;0;0;0;0;0
originalmente;2;1;0;0;0;1;0
liminarmente;1;3;0;0;0;0;0
l;2;0;0;0;1;1;0
juntamente;0;0;2;0;0;0;2
integralmente;0;1;2;0;0;0;0
indiretamente;0;1;0;1;2;0;0
geralmente;3;0;0;1;0;0;0
frequentemente;1;1;0;0;1;0;1
fortemente;1;0;0;1;0;1;1
décimo;0;0;1;1;0;1;0
duramente;0;1;0;0;0;0;3
desligado;2;0;1;1;0;0;0
deliberadamente;1;0;1;0;0;0;2
debaixo;0;0;0;3;0;0;1
corretamente;1;2;0;1;0;0;0
continuamente;0;1;0;1;0;0;2
consequentemente;0;1;1;1;0;1;0
anualmente;1;0;0;1;0;1;1
adequadamente;1;1;0;1;0;1;0
acaso;1;2;0;1;0;0;0
97;0;0;0;4;0;0;0
93;0;0;2;2;0;0;0
900;1;0;0;1;2;0;0
86;1;1;0;0;1;0;1
85;1;0;0;0;0;1;2
81;0;0;0;0;0;3;0
72;1;1;1;0;0;0;1
702;0;0;0;0;4;0;0
68;2;1;0;1;0;0;0
53;1;0;0;1;1;0;0
513;0;0;0;0;0;4;0
480;0;1;1;0;2;0;0
450;0;0;0;0;3;0;1
43;0;0;0;2;1;1;0
280;1;1;2;0;0;0;0
2022;0;0;0;2;0;2;0
1998;0;0;0;0;0;2;2
1997;0;0;2;1;0;0;1
1981;1;1;0;1;0;1;0
1979;2;1;1;0;0;0;0
1953;1;0;1;0;0;0;2
1945;2;0;0;1;0;0;1
1848;2;0;0;0;0;0;1
130;1;0;0;0;2;0;1
128;0;0;0;0;2;0;1
112;1;0;0;1;1;1;0
110;1;0;0;1;2;0;0
104;0;0;0;1;3;0;0
voluntariamente;1;0;1;1;0;0;0
unilateralmente;0;0;0;1;0;0;2
ultimamente;1;1;0;0;0;1;0
u;1;1;0;0;0;0;1
tua;1;0;1;0;0;1;0
textualmente;0;0;0;0;3;0;0
tecnicamente;1;1;0;1;0;0;0
sétimo;0;1;0;0;0;2;0
substancialmente;0;0;1;0;0;1;1
socialmente;2;0;0;0;0;1;0
semanalmente;0;0;0;0;2;0;1
secretamente;1;0;0;0;0;0;2
remotamente;0;0;0;0;3;0;0
porquê;3;0;0;0;0;0;0
popularmente;1;1;0;0;0;1;0
permanentemente;0;1;0;1;0;1;0
originariamente;0;0;0;0;3;0;0
oportunamente;0;0;1;0;2;0;0
notadamente;1;0;1;0;1;0;0
mutuamente;3;0;0;0;0;0;0
moralmente;0;0;0;2;1;0;0
literalmente;1;1;0;0;0;0;1
lamentavelmente;0;0;0;2;1;0;0
k;1;0;0;0;1;0;1
interinamente;1;0;1;0;0;1;0
injustamente;1;0;0;0;1;0;1
ilicitamente;0;1;0;1;1;0;0
hein;0;1;0;0;0;2;0
fundamentalmente;1;0;0;0;0;1;1
francamente;0;0;0;0;0;0;3
fielmente;1;1;1;0;0;0;0
exemplarmente;0;2;1;0;0;0;0
excessivamente;1;0;2;0;0;0;0
estritamente;1;1;1;0;0;0;0
essencialmente;0;0;0;2;0;1;0
decretado;0;0;0;0;2;1;0
contigo;1;1;0;1;0;0;0
constitucionalmente;1;1;0;0;0;1;0
consideravelmente;1;0;0;1;0;1;0
comprovadamente;0;0;1;1;1;0;0
che;3;0;0;0;0;0;0
cento;0;0;0;1;1;1;0
cegamente;0;1;0;0;0;0;2
ativamente;0;1;0;0;1;1;0
aquém;1;0;0;2;0;0;0
abruptamente;0;0;0;0;0;0;3
98;0;0;0;3;0;0;0
750;0;0;0;0;3;0;0
747;0;1;0;0;2;0;0
719;1;0;1;0;1;0;0
690;2;1;0;0;0;0;0
69;1;1;0;1;0;0;0
557;0;0;0;2;1;0;0
380;0;0;1;0;1;1;0
367;0;3;0;0;0;0;0
350;0;2;0;1;0;0;0
320;0;0;2;1;0;0;0
260;0;1;0;0;0;1;1
252;0;0;0;1;2;0;0
230;0;0;1;0;1;0;1
2023;0;0;0;0;1;0;2
1991;0;0;0;1;0;0;2
1989;1;0;0;0;0;2;0
1975;2;0;0;1;0;0;0
1967;3;0;0;0;0;0;0
164;0;0;0;0;3;0;0
123;0;1;0;1;1;0;0
102;1;1;0;0;1;0;0
07;0;1;1;0;1;0;0
