"";"";"";"";"lançamento";""
"124";"importante";"-0.57023035919597";"1.16526785293547";"0.845287914528331";"468"
"125";"história";"-0.0971589560867302";"1.11189373982033";"0.845270411952668";"469"
"126";"olhar";"-0.136691778215745";"1.32055438461863";"0.845238532261282";"470"
"127";"situação";"-0.429208885969214";"1.24284214670792";"0.844685325851929";"471"
"128";"mãe";"-0.0752475190105848";"1.54671713341108";"0.844270889863906";"472"
"129";"próximo";"-0.161826091446262";"0.762366844243218";"0.844260888392099";"473"
"130";"desemprego";"-0.354870437494195";"2.16246615317611";"0.844085862635467";"474"
"131";"juro";"-0.174141136090788";"1.6332570448283";"0.843496400890813";"475"
"132";"hídrico";"-0.407051681089898";"2.11446493679353";"0.843103843122369";"478"
"133";"menor";"-0.312446960653451";"0.95395828333606";"0.842968823252967";"480"
"134";"indústria";"-0.463971193167187";"0.956876286596642";"0.842775669828685";"482"
"135";"avaliar";"-0.138675479296228";"1.19124718251452";"0.842668779098742";"483"
"136";"marun";"0.493721444159464";"1.42085262027418";"0.842336855253131";"485"
"137";"planejamento";"0.0714647753158701";"1.26340857292471";"0.842211211763549";"486"
"138";"renda";"-0.0549411077912121";"1.04638160348449";"0.842211211763549";"487"
"139";"rede";"-0.254764491242408";"1.16754662059957";"0.84139859217919";"488"
"140";"gestão";"-0.203377326851404";"1.25074408080221";"0.840924147360322";"489"
"141";"aeroporto";"-0.0102625984484706";"1.26104079267062";"0.840412197022176";"490"
"142";"pobre";"-0.515369646941451";"1.98061336208993";"0.8399952606662";"492"
"143";"fidel";"-0.376766503514458";"2.20629128152757";"0.839592701425949";"495"
"144";"ódio";"-0.448216351105665";"1.89524833751994";"0.839592701425949";"496"
"145";"governança";"-0.0304521472283054";"1.1493434197301";"0.839567072654442";"497"
"146";"comparação";"-0.406843192887493";"2.11509708463217";"0.839443929532812";"498"
"147";"pouco";"-0.63216661668054";"1.13231402906661";"0.838273757331335";"501"
"148";"humano";"-0.675838994285183";"1.53178587886897";"0.837429258055589";"506"
"149";"habitante";"-0.400006430689696";"1.8169621974665";"0.837393002720287";"507"
"150";"privado";"0.22554770279719";"0.725444356268137";"0.837278610886488";"508"
"151";"cultura";"-0.305900294472089";"2.15169403000988";"0.837115461877629";"509"
"152";"central";"-0.172831503256931";"1.44902989572404";"0.836631640678941";"510"
"153";"conservação";"-0.259618533359407";"1.72747267513997";"0.835789641771147";"511"
"154";"deus";"-0.475089746681899";"1.63346168261499";"0.834558835646837";"515"
"155";"andar";"0.084582056408955";"1.3109054680414";"0.834056886780498";"516"
"156";"imigrante";"-0.282209807888767";"2.02102832651121";"0.832754820169559";"519"
"157";"revolução";"-0.524797868744396";"1.98664661604523";"0.832754820169559";"520"
"158";"precisar";"-0.341811628174058";"1.39987140444192";"0.832687935326846";"521"
"159";"jogar";"-0.354832501850326";"1.79057976832806";"0.832453525831358";"522"
"160";"botar";"-0.166047538366013";"1.84779339966847";"0.832281625534667";"523"
"161";"porta";"-0.304476736980079";"1.59056222337729";"0.832196613024303";"524"
"162";"prédio";"0.15185278150998";"0.891459583456447";"0.831859688442788";"526"
"163";"perceber";"-0.378753268060674";"1.69100544124563";"0.831208342591325";"527"
"164";"professor";"-0.601011003825638";"1.36393249477621";"0.830573249131548";"528"
"165";"surgir";"-0.434454343236344";"1.23998518023266";"0.830493862449076";"529"
"166";"natural";"-0.322724920510036";"1.72533420226501";"0.830228823446178";"530"
"167";"problema";"-0.653056805642137";"1.33466315523049";"0.829594980170377";"532"
"168";"ciência";"-0.19947398695879";"1.17223914736278";"0.82909865713193";"534"
"169";"acidente";"-0.0892429914544173";"1.18158103022021";"0.82878798641391";"535"
"170";"mudar";"-0.423226560491328";"1.04017639578056";"0.82853857471071";"536"
"171";"intolerância";"-0.25901140249529";"2.01909155814331";"0.828467314224082";"537"
"172";"illuminati";"-0.607425533005414";"1.89606931879994";"0.828467314224082";"538"
"173";"impunidade";"-0.306063307512308";"1.84766308549971";"0.827969115909671";"539"
"174";"trabalhar";"-0.390384815056062";"0.912049430335475";"0.827763460645629";"541"
"175";"corpo";"0.0861819436634424";"1.21426321409733";"0.826580161512404";"545"
"176";"acontecer";"-0.543896146675806";"1.02603503368771";"0.826302620669746";"547"
"177";"tirar";"-0.28737246776148";"1.40186732209033";"0.82623698601101";"548"
"178";"marginal";"-0.244826601134064";"1.95285162893988";"0.826014453263293";"549"
