"";"*gr_01";"*gr_02"
"se";21;121
"turma";2;8
"forma";1;15
"mais";14;55
"passar";3;11
"questão";3;7
"vizinho";0;10
"desde";1;12
"em";89;984
"eu";3;40
"fazer";18;90
"brasil";6;19
"voto";1;11
"qual";0;17
"doação";0;12
"10";3;15
"12";0;15
"ocasião";1;11
"ano";8;63
"apresentado";0;12
"nota";2;40
"disputar";1;10
"prestar";1;26
"crime";2;31
"ex_ministro";1;24
"já";4;46
"referir";1;9
"época";3;11
"contar";4;17
"um";39;206
"federal";7;71
"3";1;12
"estar";23;85
"câmara";8;35
"como";12;91
"por";30;340
"pmdb_rj";0;11
"cunha";2;35
"família";1;17
"marisa";2;21
"denunciar";0;12
"sérgio_moro";24;87
"casa";3;19
"caso";3;54
"prisão";7;48
"golpe";2;8
"tentativa";0;12
"então";0;16
"processo";4;73
"guarujá";0;26
"imprensa";3;14
"rousseff";3;43
"4";1;14
"bernardo";1;15
"imagem";4;6
"até";7;32
"hoje";7;14
"chefe";2;8
"_";0;42
"empresa";3;30
"ex_presidente";96;725
"agora";4;15
"advogado";9;62
"batista";1;10
"ao";20;190
"líder";0;12
"juiz";12;67
"defesa";13;84
"partido";4;27
"5";2;15
"relação";0;20
"pedir";6;42
"pesquisa";1;9
"grupo";0;15
"apartamento";3;59
"dilma";9;85
"mpf";3;36
"república";3;34
"decisão";1;38
"ter";35;190
"sua";11;46
"sul";0;11
"propina";2;36
"alvo";1;14
"acontecer";3;10
"corte";2;11
"trf_4";4;18
"silva";1;28
"6";1;20
"levar";4;9
"não";32;221
"a";124;1094
"dentro";1;9
"grande";1;10
"delação";3;29
"24";0;11
"pena";2;13
"ficar";0;27
"pedido";8;35
"cercar";4;8
"dia";3;40
"envolver";0;17
"trf";3;18
"todo";10;42
"caravana";0;11
"senado";1;11
"verdade";1;13
"divulgar";3;13
"dono";4;27
"nome";3;29
"contra";2;60
"brasília";3;14
"para";38;247
"stf";3;49
"duque";0;13
"tentar";7;6
"país";5;17
"essa";2;16
"esse";4;12
"réu";1;33
"quem";2;9
"porque";4;12
"meio";1;24
"seu";12;41
"ser";62;404
"demonstrar";0;12
"sem";6;16
"lava_jato";7;85
"pagar";1;12
"eleitoral";0;20
"eleição";3;19
"considerar";1;12
"filho";1;17
"senador";3;13
"dizer";15;158
"nacional";0;12
"pessoa";4;22
"pt";6;57
"léo";4;15
"denúncia";1;29
"pf";9;11
"recibo";0;13
"premiar";1;9
"declarar";3;16
"campanha";0;11
"próprio";1;18
"apenas";0;16
"recorrer";1;15
"apresentar";0;28
"mandar";1;9
"ocorrer";1;9
"habeas";1;10
"mostrar";3;9
"apoio";1;10
"suposto";2;13
"condenação";1;40
"jornal";4;10
"voltar";2;8
"poder";10;52
"quinta_feira";1;11
"governo";8;43
"região";2;19
"cio";0;13
"dinheiro";4;38
"corrupção";6;41
"odebrecht";0;67
"letícia";2;13
"diverso";2;10
"pagamento";0;21
"e";66;589
"manter";0;17
"nenhum";0;15
"depoimento";13;78
"operação";0;49
"informação";5;11
"polícia";5;16
"defender";3;11
"fachin";1;10
"público";4;44
"lei";2;17
"luiz";2;19
"ler";1;11
"destinar";0;10
"presidente";3;52
"chamado";0;13
"julgamento";2;33
"assessoria";0;16
"martins";0;19
"isso";2;23
"ainda";2;41
"litoral";0;10
"superior";0;14
"dever";3;20
"dar";10;24
"lá";7;3
"tempo";3;11
"que";108;790
"compra";0;21
"além";0;18
"marcelo";0;20
"pgr";1;10
"próximo";4;10
"final";1;15
"haver";11;78
"quando";0;32
"petrobras";1;31
"bem";1;20
"mil";3;12
"milhão";1;36
"ministério";2;32
"documento";5;18
"marcar";2;12
"último";5;14
"petista";15;36
"tudo";4;9
"local";1;9
"impeachment";1;14
"trf4";0;10
"palocci";1;26
"favor";1;9
"confirmar";2;14
"cristiano";0;20
"terça_feira";0;12
"triplex";4;58
"sítio";0;17
"amigo";2;11
"eduardo";2;38
"pinheiro";1;24
"2014";2;15
"2016";3;11
"chamar";6;6
"mesmo";3;27
"possível";1;9
"parte";5;25
"quarta_feira";2;16
"presidência";0;18
"paulo";1;41
"íntegro";0;13
"executivo";1;9
"michel_temer";7;32
"momento";3;8
"rcifrão";3;47
"testemunha";0;10
"preso";4;21
"fato";1;17
"fernando";0;19
"análise";2;8
"zanin";0;21
"assinar";1;11
"sentença";4;30
"ação";4;32
"também";12;87
"henrique";3;13
"citar";2;13
"questionar";1;14
"encontro";2;16
"instância";1;22
"ina";0;13
"coisa";2;10
"conhecimento";0;13
"oas";3;45
"investigar";0;10
"sempre";3;10
"4a";2;16
