"";"*gr_01";"*gr_02"
"avaliar";0;12
"investimento";0;10
"qual";1;21
"futuro";1;12
"ano";14;71
"3";1;10
"crime";3;11
"estar";33;146
"já";9;38
"médico";3;11
"época";2;8
"contar";6;16
"dinheiro";1;17
"federal";5;32
"vender";1;10
"achar";4;21
"defesa";3;10
"como";9;93
"gente";4;11
"crescimento";0;11
"pessoa";10;38
"áfrica";0;10
"caso";3;19
"prisão";3;10
"junto";4;7
"existir";3;19
"estatal";3;7
"produto";1;12
"processo";1;33
"por";27;243
"viver";2;14
"até";5;21
"hoje";4;26
"_";0;94
"central";1;23
"empresa";7;36
"bbc";0;45
"ocde";0;12
"público";8;39
"ex_presidente";6;20
"rússia";1;10
"agora";5;24
"advogado";1;17
"mundo";8;25
"previdência";1;11
"juiz";6;17
"partido";4;19
"5";4;11
"pedir";4;23
"joesley";3;7
"cidadão";3;8
"grupo";4;27
"dilma";8;19
"sociedade";1;12
"república";4;16
"menor";1;10
"decisão";1;15
"mundial";4;9
"ter";48;229
"sua";9;55
"sul";0;20
"propina";0;14
"diário";10;0
"senado";4;8
"notícia";1;10
"social";2;22
"vir";3;15
"reunião";2;10
"levar";1;9
"projeto";3;8
"morte";0;13
"voltar";5;17
"sistema";1;14
"a";164;1049
"grande";1;24
"delação";7;11
"bilhão";3;18
"ficar";5;28
"polícia";4;17
"cada";2;12
"pedido";0;11
"sobretaxa";0;10
"nossa";2;13
"todo";8;63
"nosso";3;10
"verdade";4;7
"divulgar";4;11
"conseguir";2;12
"dono";4;11
"nome";4;13
"contra";2;33
"para";55;287
"resultado";1;11
"indústria";0;10
"stf";4;14
"direito";2;18
"situação";1;14
"tentar";1;11
"país";17;129
"essa";3;37
"esse";8;44
"nobre";0;11
"setor";0;14
"carne";1;29
"história";3;17
"defender";1;16
"michel_temer";20;78
"quem";4;23
"porque";6;30
"meio";1;13
"seu";7;40
"ser";78;509
"sem";4;29
"lava_jato";8;26
"ninguém";7;4
"pagar";5;21
"eleitoral";3;12
"parecer";2;12
"eleição";3;23
"considerar";2;9
"filho";3;9
"senador";6;9
"dizer";26;99
"pt";2;17
"criar";1;10
"chegar";3;20
"denúncia";1;15
"declarar";2;8
"nós";1;24
"campanha";0;13
"próprio";1;15
"fato";2;13
"apenas";4;12
"jbs";4;10
"entre";5;40
"trabalhador";2;19
"tanto";4;6
"claro";2;10
"apresentar";2;13
"ocorrer";3;8
"ajudar";0;11
"informar";1;12
"tomar";0;10
"marco";1;14
"aço";0;14
"américa";1;9
"popular";0;22
"aquele";2;9
"mostrar";3;20
"apoio";2;8
"medo";2;8
"autoridade";2;10
"prova";1;12
"ao";20;98
"poder";16;67
"governo";8;65
"um";39;231
"corrupção";7;35
"odebrecht";0;32
"pagamento";0;12
"representar";3;8
"problema";1;17
"relação";3;20
"manter";0;17
"nenhum";0;16
"g1";0;12
"operação";5;20
"organização";1;14
"informação";2;11
"lei";1;13
"rede";2;8
"presidente";14;96
"violência";1;22
"8";0;14
"qualquer";1;15
"julgamento";4;12
"importar";0;12
"de";332;2103
"isso";6;58
"unido";3;27
"ainda";2;47
"econômico";2;37
"2015";2;12
"2017";2;9
"2016";0;10
"2013";0;10
"nada";4;11
"dever";6;22
"dar";10;31
"senhor";2;13
"possível";2;9
"causa";0;10
"tempo";3;16
"que";120;709
"além";2;15
"único";1;13
"próximo";3;7
"haver";6;71
"quando";9;21
"petrobras";2;10
"bem";2;12
"roberto";4;7
"mil";10;14
"milhão";1;20
"documento";0;10
"lugar";4;6
"serviço";3;7
"estudo";1;12
"explicar";0;10
"outro";8;58
"tornar";2;8
"último";6;13
"principal";0;19
"trabalho";1;18
"atuar";0;10
"tudo";3;15
"privilegiado";5;5
"atual";4;6
"frente";3;26
"cristiane";0;12
"trabalhar";4;12
"vídeo";3;7
"aqui";3;15
"eua";5;17
"então";0;12
"mesmo";9;34
"parte";5;22
"diante";2;8
"presidência";2;13
"paulo";5;27
"dentro";2;9
"maior";7;44
"estado";4;45
"momento";2;23
"rcifrão";8;24
"vida";1;11
"nacional";2;24
"reunir";0;10
"importante";2;10
"durante";8;11
"crise";9;27
"congresso";0;10
"assinar";0;13
"usar";5;5
"ação";0;16
"também";11;49
"em";148;1011
"banco";3;23
"questionar";3;7
"exportação";0;11
"democracia";2;13
"povo";5;12
"tão";3;9
"coisa";4;11
"índio";1;10
"assunto";1;14
"sempre";0;16
"homicídio";0;13
