"";"banalfreq";"X.gr_01";"X.gr_02"
"qual";21;-1,2113;1,2113
"ano";27;-0,4809;0,4809
"nota";26;0,3896;-0,3896
"conversa";20;0,6357;-0,6357
"renan";19;-0,2414;0,2414
"2016";12;-0,2598;0,2598
"qualquer";20;0,3365;-0,3365
"teori";24;0,77;-0,77
"crime";30;-0,5829;0,5829
"ex_ministro";10;0,4457;-0,4457
"já";37;-0,511;0,511
"um";109;0,8982;-0,8982
"federal";44;-0,2766;0,2766
"proposta";18;-0,4869;0,4869
"como";55;-0,7698;0,7698
"por";318;-0,6053;0,6053
"ricardo";10;0,9286;-0,9286
"entregar";15;0,5472;-0,5472
"pessoa";15;-0,865;0,865
"denunciar";15;-0,3693;0,3693
"caso";59;-0,4107;0,4107
"alvo";15;-0,3693;0,3693
"prisão";54;-0,3133;0,3133
"tarde";11;0,8305;-0,8305
"então";11;-0,6342;0,6342
"processo";40;-0,3627;0,3627
"4";11;-0,6342;0,6342
"até";20;0,3365;-0,3365
"_";34;-1,962;1,962
"discutir";10;-0,1927;0,1927
"janot";43;-0,697;0,697
"julgar";25;1,0908;-1,0908
"último";10;0,4457;-0,4457
"ex_presidente";38;-0,8784;0,8784
"advogado";22;0,2784;-0,2784
"batista";17;-0,1908;0,1908
"investigado";12;0,3465;-0,3465
"ao";155;-0,3591;0,3591
"juiz";27;0,3595;-0,3595
"defesa";35;0,5788;-0,5788
"pedir";64;-0,3467;0,3467
"dilma";24;1,1639;-1,1639
"inquérito";44;-0,7297;0,7297
"barroso";19;1,1114;-1,1114
"decisão";110;-1,2244;1,2244
"ter";116;-0,6818;0,6818
"sua";35;-0,2546;0,2546
"propina";17;0,8187;-0,8187
"homologar";15;0,2421;-0,2421
"vir";16;0,4954;-0,4954
"corte";44;-0,7297;0,7297
"trf_4";15;-0,865;0,865
"começar";10;-0,5766;0,5766
"levar";17;-0,9804;0,9804
"procurador";11;-0,2256;0,2256
"rodrigo";31;0,4684;-0,4684
"voltar";10;-0,1927;0,1927
"mendes";34;1,2773;-1,2773
"não";133;0,6722;-0,6722
"a";938;-0,8204;0,8204
"entendimento";15;-0,865;0,865
"delação";69;-0,6386;0,6386
"presidência";11;-0,6342;0,6342
"pena";23;-1,3267;1,3267
"afastar";12;-0,2598;0,2598
"ficar";10;0,9286;-0,9286
"polícia";18;0,4076;-0,4076
"pedido";29;-1,6732;1,6732
"fossar";10;0,4457;-0,4457
"envolver";10;0,4457;-0,4457
"todo";37;0,5102;-0,5102
"somente";10;-0,5766;0,5766
"analisar";10;-0,5766;0,5766
"senado";39;0,6899;-0,6899
"base";11;-0,6342;0,6342
"divulgar";17;0,8187;-0,8187
"dono";14;-0,3318;0,3318
"nome";18;0,4076;-0,4076
"contra";59;-0,6164;0,6164
"brasília";18;-0,4869;0,4869
"para";259;1,3754;-1,3754
"parlamentar";21;-0,6108;0,6108
"stf";709;-0,4679;0,4679
"stj";29;0,8447;-0,8447
"direito";13;-0,2953;0,2953
"autorizar";21;-0,2961;0,2961
"essa";16;0,4954;-0,4954
"esse";19;-0,2414;0,2414
"réu";18;0,7517;-0,7517
"abrir";10;0,4457;-0,4457
"porque";17;0,4491;-0,4491
"início";10;-0,1927;0,1927
"seu";32;-0,3717;0,3717
"ser";291;1,0157;-1,0157
"sem";17;-0,9804;0,9804
"lava_jato";111;0,3913;-0,3913
"considerar";14;0,6053;-0,6053
"senador";52;0,3256;-0,3256
"dizer";75;0,486;-0,486
"pt";13;0,3069;-0,3069
"denúncia";27;-0,8729;0,8729
"regra";14;-0,3318;0,3318
"prerrogativa";10;-0,1927;0,1927
"premiar";13;-0,7496;0,7496
"próprio";25;-0,4162;0,4162
"jbs";27;0,6215;-0,6215
"entre";26;-0,8281;0,8281
"recorrer";10;-0,5766;0,5766
"apresentar";29;-0,9635;0,9635
"mandar";14;1,0667;-1,0667
"informar";12;0,3465;-0,3465
"tomar";12;0,3465;-0,3465
"marco";19;-0,2414;0,2414
"habeas";15;-0,865;0,865
"permitir";12;-0,6919;0,6919
"autoridade";18;0,7517;-0,7517
"presidente";114;-0,2585;0,2585
"organização";11;-0,6342;0,6342
"condenação";30;-0,5829;0,5829
"acompanhar";11;0,3924;-0,3924
"ministério";19;-0,5276;0,5276
"poder";77;1,5901;-1,5901
"votar";18;1,1991;-1,1991
"quinta_feira";13;-0,7496;0,7496
"governo";19;-0,2414;0,2414
"dinheiro";13;0,3069;-0,3069
"corrupção";31;-0,3458;0,3458
"premiado";11;-0,6342;0,6342
"relação";10;-0,1927;0,1927
"manter";18;0,7517;-0,7517
"depoimento";13;0,3069;-0,3069
"operação";48;-1,284;1,284
"constituição";11;-0,6342;0,6342
"informação";17;0,4491;-0,4491
"defender";17;0,4491;-0,4491
"fachin";97;1,2837;-1,2837
"público";28;0,3317;-0,3317
"lei";17;-0,1908;0,1908
"luiz";23;-0,3545;0,3545
"ler";14;-0,8073;0,8073
"toffoli";10;-0,1927;0,1927
"josé";14;0,6053;-0,6053
"julgamento";35;-0,764;0,764
"ainda";44;-0,46;0,46
"superior";25;-0,7837;0,7837
"dever";29;-0,9635;0,9635
"dar";12;-0,2598;0,2598
"mandato";34;-1,962;1,962
"edson";67;0,9141;-0,9141
"além";13;-0,2953;0,2953
"que";525;0,7846;-0,7846
"meio";10;-0,5766;0,5766
"calheiros";13;0,3069;-0,3069
"pgr";23;0,4968;-0,4968
"aurélio";17;-0,1908;0,1908
"próximo";12;0,7454;-0,7454
"rocha";18;0,7517;-0,7517
"haver";42;-0,4102;0,4102
"quando";21;-1,2113;1,2113
"petrobras";10;-0,1927;0,1927
"criminoso";14;-0,3318;0,3318
"roberto";11;0,8305;-0,8305
"procurador_geral";21;-1,2113;1,2113
"documento";14;-0,3318;0,3318
"tornar";10;0,4457;-0,4457
"petista";12;1,2857;-1,2857
"principal";10;-0,1927;0,1927
"impeachment";10;0,4457;-0,4457
"confirmar";12;0,3465;-0,3465
"supremo";30;0,2823;-0,2823
"eduardo";17;1,2952;-1,2952
"república";55;-1,5854;1,5854
"procuradoria";10;-0,1927;0,1927
"possibilidade";14;-0,8073;0,8073
"mesmo";26;-0,4482;0,4482
"possível";11;-0,6342;0,6342
"quarta_feira";10;-0,5766;0,5766
"paulo";11;0,3924;-0,3924
"íntegro";11;-0,2256;0,2256
"responsável";15;0,5472;-0,5472
"estado";13;-0,2953;0,2953
"executivo";13;-0,7496;0,7496
"michel_temer";83;1,6017;-1,6017
"momento";14;0,6053;-0,6053
"execução";10;-0,5766;0,5766
"preso";24;-0,7398;0,7398
"fato";15;0,5472;-0,5472
"cometer";13;-0,7496;0,7496
"odebrecht";18;-0,2156;0,2156
"isso";18;-1,0381;1,0381
"ação";17;-0,4469;0,4469
"também";62;1,111;-1,111
"lúcia";35;1,2125;-1,2125
"investigar";41;-0,3861;0,3861
"câmara";28;0,3317;-0,3317
