"";"classe 1";"classe 2";"classe 3";"classe 4"
"política";0;0,002;0,199;0,009
"continuar";0,019;0,008;0,005;0,018
"semana";0,015;0,714;0,255;0,045
"rússia";0;0,001;0,014;0
"rede";0;0,546;0,021;0,002
"jornalista";0,002;0,027;0,105;0,005
"divulgar";0,058;0,756;0,506;0,228
"coisa";0;0,456;0,044;0,011
"acusar";0,087;0,006;0,016;0,005
"parlamentar";0,004;0,032;0,09;0
"depoimento";0;0,441;0;0
"rodrigo";0,646;0,153;0,076;0,001
"neve";0,016;0,952;0;0
"grande";0,235;0,299;0,008;0,007
"câmara";0;0,061;0,039;0
"acontecer";0,261;0,356;0,024;0,102
"eduardo";0,157;0;0,571;0
"unido";0;0,024;0,001;0
"república";0,004;0,609;0,999;0
"pagar";0,065;0;0,147;0,002
"globo";0,97;0,029;0,095;0,001
"condenar";0,002;0,015;0;0,003
"social";0;0,099;0,071;0,008
"porcento";0,022;0,904;0,021;0,561
"homem";0,774;0,576;0;0,005
"casa";0,443;0,126;0,783;0,044
"situação";0,824;0,149;0,443;0,077
"pmdb";0,746;0;0,311;0,001
"nome";0,29;0,008;0,044;0,002
"filho";0,989;0;0,083;0,041
"cidadão";0,493;0,187;0,145;0,5
"bem";0,016;0,017;0,62;0,994
"alegar";0,001;0,952;0,006;0,167
"mendes";0,441;0,69;0,005;0,042
"fato";0,189;0,409;0,001;0,026
"empresário";0,557;0;0,328;0,001
"acabar";0,207;0,184;0,129;0,233
"vir";0,327;0,824;0,073;0,014
"sírio";0;0,003;0,021;0
"senado";0;0,548;0,119;0,008
"referir";0,475;0,236;0,24;0,463
"relação";0,073;0,31;0,039;0,004
"precisar";0;0,127;0,671;0,031
"oficial";0,856;0,264;0,204;0,018
"mês";0,008;0,001;0,004;0,01
"atacar";0,035;0,039;0,97;0
"pedido";0;0,578;0;0,003
"mostrar";0,365;0,184;0,129;0,113
"fachin";0;0,407;0;0,001
"entrar";0,783;0,013;0,186;0,152
"corrupto";0,583;0;0,129;0,002
"confirmar";0;0,066;0,002;0,859
"batista";0,021;0;0,004;0,002
"mundial";0,027;0,003;0,005;0
"momento";0,526;0,061;0,173;0,859
"enviar";0,006;0,014;0,679;0
"cargo";0,008;0,887;0,548;0,001
"segurança";0,331;0,045;0,073;0,017
"jornal";0,446;0,69;0,222;0,905
"donald";0;0,002;0,004;0
"diverso";0,035;0,153;0,624;0,152
"ameaça";0;0,045;0,024;0
"tomar";0,902;0,005;0,485;0,068
"relator";0,053;0,159;0;0,018
"próprio";0,035;0,153;0,677;0,531
"processo";0,091;0,069;0;0,001
"pgr";0,013;0,021;0;0,001
"paulo";0;0,235;0,345;0,001
"jon_un";0;0,002;0,004;0
"criminoso";0,38;0;0,809;0
"colocar";0;0,004;0,008;0,39
"mpf";0,017;0;0,005;0,001
"josé";0,409;0,752;0,002;0,001
"janot";0,955;0,028;0,446;0,008
"defender";0,646;0,013;0,026;0,858
"decidir";0,97;0,091;0;0,024
"realizar";0,206;0,014;0,382;0
"questão";0,081;0,452;0,076;0,303
"projeto";0;0,941;0,137;0,01
"investigação";0,029;0;0,485;0,005
"foro";0,563;0,351;0;0,051
"fonte";0,035;0,904;0,076;0,531
"deixar";0,372;0,959;0,031;0,327
"crise";0;0,03;0,013;0,196
"cercar";0,002;0,004;0,182;0,049
"perder";0,604;0,884;0,261;0,768
"nacional";0,532;0,113;0,019;0,947
"ler";0,014;0,014;0,333;0,192
"decisão";0,157;0,019;0;0,017
"época";0,114;0;0,288;0,007
"voltar";0,008;0,136;0,083;0,977
"valor";0,002;0;0,028;0,001
"real";0,01;0;0,031;0,891
"ocorrer";0,091;0,966;0,752;0,124
"mandar";0,292;0,956;0,403;0,051
"gilmar";0,771;0,414;0,01;0,063
"dono";0,222;0;0,752;0,003
"discurso";0;0,005;0,009;0,005
"sistema";0,001;0,584;0,404;0
"local";0,682;0,007;0,68;0,094
"levar";0,604;0,151;0,752;0,299
"joão";0,644;0,041;0;0,003
"japão";0;0,007;0,011;0
"destruir";0,433;0,08;0,568;0,003
"carne";0,023;0;0,013;0,002
"brasília";0,045;0,201;0,059;0,007
"bom";0;0,106;0,015;0,035
"atingir";0;0,201;0,288;0
"tse";0,837;0,275;0,928;0,189
"relatar";0,086;0,003;0,255;0,855
"petrobras";0,007;0;0,609;0,002
"partido";0,029;0,229;0,323;0,009
"meio";0,7;0,54;0,12;0,216
"lei";0,068;0,606;0,691;0,034
"jong_un";0;0,005;0,009;0
"exército";0,128;0,013;0,07;0
"achar";0;0,055;0,502;0,062
"vida";0,076;0,092;0,13;0,082
"revelar";0,003;0,069;0,686;0,049
"prometer";0,002;0,809;0,323;0
"manter";0,001;0,524;0;0,288
"líder";0,424;0,122;0,061;0
"imprensa";0,332;0,064;0,029;0,196
"ditador";0;0,026;0,041;0
"direito";0,512;0,375;0,006;0,02
"destacar";0,875;0,03;0,311;0,353
"conseguir";0,05;0,404;0,155;0,098
"comprar";0,377;0;0,061;0,003
"citar";0,644;0,051;0,404;0,117
"sofrer";0,035;0,055;0,897;0,67
"friboi";0,337;0;0,022;0,005
"curitiba";0,218;0,379;0,01;0,005
"claro";0,05;0,26;0,053;0,542
"vinson";0;0,011;0,017;0
"maia";0;0,136;0,18;0,015
"lançar";0,017;0,047;0,019;0
"entrevista";0,17;0,81;0,137;0,686
"entregar";0,005;0;0,015;0,015
"encontrar";0,486;0,694;0,024;0,383
"delator";0,002;0;0,282;0,006
"carl";0;0,011;0,017;0
"agir";0,062;0,797;0,255;0,423
"usado";0,337;0,379;0,341;0,309
"rousseff";0,472;0,404;0,102;0,003
"responder";0,05;0,26;0,053;0,542
"possuir";0,086;0,186;0,282;0,032
"navio";0,001;0,023;0,119;0
"lançamento";0;0,011;0,017;0
"incluir";0,03;0,021;0,015;0,015
"imagem";0,934;0,015;0,502;0,003
"demonstrar";0,472;0,106;0,916;0,542
"capital";0,507;0,14;0,199;0,001
"bomba";0,143;0,548;0,033;0
"ameaçar";0,128;0,14;0,45;0
"teste";0;0,011;0,017;0
"químico";0,111;0,074;0,028;0
"prova";0,009;0,18;0;0,006
"esperar";0,934;0,161;0,68;0,309
"edson";0;0,962;0;0,003
"documento";0,001;0,518;0;0,13
"começar";0,056;0,335;0,199;0,947
"balístico";0;0,013;0,019;0
"uss";0,001;0,02;0,028;0
"soltar";0,247;0,879;0,228;0,028
"resolver";0,599;0,606;0,119;0,137
"privilegiado";0,124;0,89;0;0,078
"principal";0,722;0,72;0,502;0,592
"premiar";0;0;0,341;0,005
"porta_aviões";0,001;0,023;0,033;0
"península";0;0,015;0,022;0
"favor";0,227;0,02;0,207;0,018
"esquema";0;0;0,822;0,004
"costa";0,485;0,694;0,29;0,851
"conferir";0;0,074;0,104;0,09
"campanha";0,001;0;0,856;0,034
"abrir";0,204;0,797;0;0,006
"valer";0,411;0,419;0,103;0,196
"turma";0,485;0,074;0;0,007
"sr";0,218;0,006;0,022;0,062
"seguir";0,827;0,074;0,019;0,851
"ricardo";0,012;0,138;0;0,007
"procurador";0,2;0,011;0,157;0,012
"possível";0,111;0,348;0,622;0,186
"nota";0,94;0,43;0,103;0,423
"noite";0,134;0,376;0,933;0,451
"matéria";0,095;0,084;0,08;0,062
"investigar";0,022;0,003;0,037;0,041
"funcionário";0,319;0,028;0,033;0,332
"estatal";0,111;0,348;0,028;0,005
"entender";0,332;0,18;0,559;0,074
"denúncia";0,934;0,001;0,502;0,019
"declaração";0,599;0,283;0,033;0,137
"cadeia";0,204;0,016;0,029;0,006
"atual";0,022;0,606;0,033;0,275
"aparecer";0,176;0,103;0,119;0,108
"trabalhar";0;0,074;0,028;0,232
"site";0,006;0,43;0,601;0,006
"revista";0,062;0,016;0,025;0,023
"renan";0;0,185;0,238;0,023
"problema";0,176;0,247;0,033;0,137
"prever";0,041;0,1;0,037;0,258
"notícia";0,599;0,247;0,328;0,012
"mídia";0,395;0,284;0,137;0,001
"mão";0,076;0,327;0,421;0,742
"irmão";0,004;0;0,446;0,008
"família";0,68;0,606;0,18;0,034
"exterior";0,204;0,797;0,091;0,002
"empreiteiro";0,07;0;0,373;0,01
"conhecido";0;0,186;0,091;0,196
"conflito";0,003;0,02;0,104;0
"cair";0,012;0,1;0,372;0,649
"bolsonaro";0,002;0,353;0,049;0,015
"base";0,053;0,086;0,033;0
"banco";0,143;0;0,119;0,108
"acreditar";0,395;0,618;0,372;0,029
"único";0,296;0,746;0,476;0,139
"sp";0,599;0,283;0,012;0,008
"salário";0,134;0,125;0,476;0,015
"russo";0,001;0,027;0,037;0
"ressaltar";0,053;0,103;0,691;0,332
"população";0,001;0,117;0,043;0,742
"norte_americano";0,04;0,074;0,028;0
"lourar";0,001;0,006;0;0,008
"lado";0,599;0,548;0,328;0,045
"executivo";0,053;0;0,328;0,034
"ex_ministro";0,296;0,006;0,241;0,015
"ex_deputado";0,003;0;0,076;0,007
"chefe";0,91;0,073;0,765;0,13
"aéreo";0,029;0,031;0,043;0
"assunto";0,006;0,694;0,043;0,383
"apresentar";0,092;0,327;0;0,157
"acusação";0,81;0,879;0,004;0,007
"servir";0,119;0,284;0,765;0,649
"produto";0,157;0;0,207;0,018
"partir";0,979;0,746;0,241;0,189
"palocci";0,002;0;0,072;0,015
"palavra";0,024;0,042;0,974;0,529
"pai";0,581;0,57;0,772;0,383
"objectivo";0,227;0,432;0,539;0,957
"norte_coreano";0,001;0,023;0,033;0
"melhor";0,377;0,247;0,055;0,108
"impeachment";0,005;0,278;0,056;0,018
"ganhar";0,012;0,618;0,767;0,01
"existir";0,023;0,327;0,421;0,383
"exercício";0,07;0,027;0,372;0
"conta";0,029;0;0,846;0,012
"chinês";0,002;0,031;0,043;0
"capacidade";0,296;0,376;0,049;0
"autoridade";0,226;0,092;0,124;0,13
"apoio";0;0,027;0,137;0,649
"anunciar";0,319;0,247;0,856;0,045
"aliado";0,07;0,618;0,037;0
"votar";0;0,299;0,098;0,042
"tribunal";0,065;0,569;0;0,051
"supremo";0,039;0,376;0;0,451
"sair";0,134;0,779;0,476;0,451
"regime";0,014;0,042;0,974;0
"pyongyang";0,002;0,031;0,043;0
"pronto";0,01;0,036;0,476;0
"prefeito";0;0,694;0,043;0,012
"pensar";0,023;0,031;0,304;0,157
"ordem";0,053;0,042;0,184;0,005
"negar";0,233;0,694;0;0,012
"medida";0,84;0,117;0,846;0,065
"marcelo";0,12;0;0,933;0,015
"mandato";0,001;0,217;0,688;0,028
"grave";0,183;0,941;0,137;0,942
"fogo";0,157;0,432;0,056;0
"fazenda";0,468;0;0,064;0,092
"estratégia";0,183;0,618;0,767;0,097
"encontro";0,024;0,432;0,496;0,018
"eleitoral";0,771;0,449;0,344;0,063
"dório";0;0,036;0,18;0,015
"criar";0,2;0,845;0,157;0,742
"coreano";0,001;0,027;0,037;0
"conversa";0,07;0,971;0;0,275
"congresso";0,024;0,749;0,098;0,477
"combate";0,296;0,136;0,18;0
"citado";0,486;0;0,421;0,05
"cidade";0,91;0,618;0,373;0,649
"alto";0,014;0,088;0,974;0,273
"alerta";0,039;0,136;0,18;0
"abril";0,092;0,327;0,421;0,001
"tirar";0;0,159;0,207;0,018
"território";0,002;0,136;0,049;0
"sugerir";0,296;0,779;0,241;0,716
"rocha";0,092;0,05;0,004;0,012
"roberto";0,721;0,544;0,135;0,023
"provável";0,486;0,031;0,846;0,003
"plano";0,369;0,185;0,609;0,49
"pena";0,63;0,779;0,015;0,015
"parecer";0,002;0,036;0,049;0,716
"manhã";0,12;0,036;0,18;0
"longo";0,374;0,159;0,974;0,025
"honesto";0,012;0,136;0,241;0,015
"história";0,979;0,376;0,586;0,716
"gente";0,005;0,871;0,539;0,018
"folha";0,157;0,159;0;0,018
"envolver";0,07;0,011;0,609;0,923
"econômico";0,227;0,871;0,974;0,228
"correr";0,091;0,057;0,772;0,72
"cometer";0,874;0,003;0,539;0,018
"comentar";0,091;0,057;0,688;0,797
"cara";0;0,159;0,056;0,075
"autorizar";0,007;0,05;0,677;0,449
"apontar";0,468;0,011;0,875;0,092
"apoiar";0,012;0,136;0,18;0,845
"alertar";0,007;0,327;0,846;0
"ajudar";0,592;0,376;0,586;0,357
"ajuda";0,019;0,971;0,609;0,002
"agência";0,007;0,117;0,157;0
"votação";0;0,092;0,423;0,051
"sentença";0,441;0,079;0;0,042
"responsável";0,053;0,278;0,496;0,602
"representar";0,15;0,185;0,609;0,923
"questionar";0,494;0,042;0,496;0,602
"programa";0,581;0,57;0,074;0,007
"poderoso";0,12;0,746;0,049;0,002
"participar";0,494;0,159;0,184;0,529
"pagamento";0,014;0;0,539;0,018
"mensagem";0,157;0,432;0,496;0,094
"mala";0,005;0,006;0,002;0,028
"julgar";0,018;0,109;0;0,063
"henrique";0,001;0,299;0,365;0,042
"general";0,569;0,217;0,074;0,036
"fossar";0,854;0,544;0,409;0,275
"especialista";0,039;0,036;0,18;0
"eleição";0,024;0,153;0,074;0,028
"diário";0,005;0,922;0,274;0,028
"avião";0,053;0,159;0,539;0
"assistir";0;0,042;0,056;0,018
"amigo";0,005;0,432;0,974;0,018
"viver";0,106;0,109;0,132;0,295
"vender";0,569;0,001;0,074;0,028
"tv";0,111;0,152;0,178;0,439
"tratar";0,721;0,496;0,409;0,618
"tornar";0,168;0,254;0,776;0,835
"proposta";0,051;0,187;0,114;0,051
"pegar";0,227;0,088;0,539;0,018
"número";0,468;0,211;0,609;0,923
"news";0,019;0,185;0,238;0
"necessário";0,468;0,496;0,238;0,013
"mudar";0,296;0,299;0,556;0,477
"minuto";0,002;0,185;0,064;0,618
"maneira";0,005;0,432;0,056;0,529
"listar";0,344;0;0,085;0,034
"kcna";0,003;0,042;0,056;0
"instituto";0,344;0,654;0;0,034
"ilícito";0,094;0;0,274;0,028
"funaro";0,003;0;0,056;0,018
"final";0,091;0,57;0,688;0,331
"encerrar";0,227;0,042;0,207;0,094
"diálogo";0,07;0,971;0,03;0,923
"disparar";0,344;0,808;0,085;0,019
"denunciar";0,019;0;0,609;0,092
"considerar";0,854;0,496;0,135;0,618
"conhecer";0,259;0,57;0,772;0,331
"comandar";0,205;0,001;0,064;0,923
"atenção";0,091;0,57;0,274;0,72
"água";0,026;0,57;0,074;0
"vivo";0,169;0,011;0,556;0,169
"significar";0,296;0,299;0,365;0,537
"seguinte";0;0,185;0,238;0,092
"reunião";0,168;0,254;0,316;0,667
"reino";0,004;0,049;0,064;0
"putin";0,004;0,049;0,064;0
"professor";0,004;0,299;0,098;0,477
"presente";0,259;0,57;0,274;0,797
"pec";0;0,18;0,208;0,12
"ordenar";0,019;0,049;0,238;0
"mantega";0,226;0;0,983;0,051
"lugar";0,051;0,489;0,153;0,817
"km";0,035;0,067;0,085;0
"início";0,126;0,254;0,776;0,003
"investigado";0,005;0,001;0,018;0,028
"invadir";0,099;0,079;0,098;0,2
"gravação";0,344;0;0,776;0,034
"futuro";0;0,254;0,085;0,034
"financeiro";0,035;0;0,316;0,138
"embaixador";0,126;0,067;0,085;0
"direto";0,048;0,185;0,238;0,923
"contrato";0,007;0;0,665;0,034
"comando";0,266;0,057;0,274;0
"classe";0,579;0,128;0,769;0,593
"chamado";0,715;0,808;0,085;0,088
"causa";0,266;0,057;0;0,72
"capaz";0,468;0,049;0,064;0
"cabeça";0,035;0,654;0;0,397
"alvo";0,07;0,496;0,875;0,013
"agricultura";0,09;0;0,132;0,063
"admitir";0,344;0,808;0,316;0,088
"acompanhar";0,09;0,449;0,344;0,748
"tropa";0,026;0,057;0,074;0
"triplex";0,094;0,922;0;0,028
"suposto";0,441;0,69;0,365;0,2
"superior";0,494;0,856;0,124;0,051
"serra";0,581;0,922;0,002;0,028
"recurso";0,007;0,003;0,01;0,034
"parar";0,441;0,69;0,365;0,2
"organização";0,035;0,003;0,25;0,138
"oas";0,035;0;0,25;0,034
"negociar";0,266;0;0,074;0,112
"médico";0;0,067;0,085;0,138
"mouro";0,048;0,079;0;0,042
"morrer";0,829;0,808;0,25;0,138
"mercado";0,563;0;0,114;0,051
"medo";0,715;0,067;0,01;0,835
"mar";0,005;0,217;0,074;0
"julgamento";0,197;0,577;0,031;0,309
"jinping";0,007;0,067;0,085;0
"instância";0,025;0,128;0;0,078
"indicar";0,401;0,001;0,153;0,318
"gostar";0,001;0,489;0,153;0,078
"global";0,344;0,808;0,085;0,019
"fronteira";0,048;0,079;0,098;0
"foto";0,887;0,128;0,153;0,005
"flagrar";0,094;0,036;0,772;0,72
"fiscal";0,035;0;0,085;0,034
"evitar";0,581;0,922;0,094;0,331
"equipa";0,993;0,57;0,772;0,797
"economia";0,011;0,067;0,316;0,835
"detalhe";0,266;0;0,688;0,028
"cúpula";0,581;0,153;0,772;0,331
"civil";0,026;0,445;0,326;0,383
"caminho";0,569;0,445;0,074;0,797
"avisar";0,126;0,254;0,01;0,667
"aprovar";0,837;0,275;0,287;0,774
"antagonista";0,05;0,254;0,25;0,034
"américa";0,026;0,217;0,074;0
"áudio";0,958;0,038;0,983;0,051
"voto";0,21;0,333;0,57;0,078
"sociedade";0,008;0,128;0,769;0,078
"seul";0,01;0,079;0,098;0
"santana";0,01;0,749;0;0,042
"réu";0,09;0,109;0;0,063
"rápido";0,004;0,299;0,098;0,477
"roubar";0,004;0,749;0,365;0,042
"risco";0,869;0,299;0,874;0,2
"resumir";0,563;0,351;0,002;0,208
"resposta";0,715;0,067;0,085;0
"respeito";0,023;0,109;0,898;0,257
"reforma";0,008;0,489;0,57;0,078
"recado";0,023;0,414;0,132;0,685
"proteger";0,344;0,254;0,316;0,003
"preparar";0,013;0,856;0,114;0
"policial";0;0,414;0,132;0,063
"plenário";0,007;0,311;0,341;0,24
"nação";0,441;0,299;0,098;0,001
"moral";0,169;0,749;0;0,042
"lutar";0,829;0,067;0,665;0,286
"jogar";0,001;0,299;0,365;0,042
"intenção";0,296;0,69;0,874;0,169
"instituição";0,051;0,128;0,248;0,078
"imposto";0,188;0,187;0,423;0,051
"importante";0,099;0,299;0,098;0,537
"geral";0,051;0,856;0,983;0,051
"fotógrafo";0,238;0,688;0;0,12
"forma";0,168;0,067;0,25;0,397
"falso";0,048;0,299;0;0,963
"especial";0,296;0,749;0,098;0,537
"dólar";0,013;0;0,423;0,898
"doação";0,771;0,002;0,132;0,063
"distância";0,007;0,067;0,085;0
"deus";0,001;0,092;0,423;0,208
"democracia";0,579;0,128;0,004;0,078
"dado";0,66;0,749;0,037;0,042
"conter";0,66;0,264;0,098;0,963
"conjunto";0,007;0,654;0,085;0
"comunista";0,048;0,69;0,098;0,001
"certo";0,344;0,654;0,665;0,286
"candidato";0,66;0,001;0,098;0,042
"caixa";0,01;0;0,182;0,042
"boca";0,05;0,654;0,665;0,034
"bastar";0,296;0,299;0,874;0,963
"aumentar";0,126;0,254;0,085;0
"ato";0,711;0,414;0,01;0,257
"apartamento";0,563;0,038;0,448;0,051
"venezuela";0;0,092;0,114;0,051
"the";0,124;0,489;0,153;0
"thaad";0,025;0,128;0,153;0
"teori";0,09;0,109;0;0,063
"temer";0,66;0,299;0,365;0,2
"super";0,065;0,351;0,983;0,004
"silva";0,051;0,89;0,57;0,078
"serviço";0,188;0,856;0,423;0,572
"rua";0,051;0,128;0,248;0,078
"provocar";0,441;0,079;0,874;0,009
"preventivo";0,018;0,109;0,344;0,001
"presidência";0,099;0,264;0,365;0,042
"presidencial";0,771;0,449;0,49;0,685
"pobre";0,001;0,079;0,365;0,169
"perigoso";0,401;0,333;0,57;0,593
"patrimônio";0,051;0,092;0,124;0,051
"passivo";0,065;0,856;0;0,051
"passado";0,869;0,001;0,365;0,042
"paraná";0,047;0,688;0,777;0,12
"nunes";0,003;0,257;0,287;0,189
"motivo";0,048;0,69;0,005;0,477
"min";0,014;0,821;0,243;0,15
"matar";0,01;0,079;0,365;0
"marinho";0,065;0,092;0,114;0
"lavagem";0,01;0,749;0;0,042
"junto";0,051;0,569;0,423;0,051
"jovem";0,023;0,109;0,898;0,257
"ideia";0,001;0,079;0,098;0,477
"golpe";0,003;0,414;0,132;0,257
"frota";0,018;0,109;0,132;0
"fechado";0,124;0,89;0,004;0,318
"explodir";0,013;0,092;0,114;0
"explicar";0,226;0,856;0,02;0,572
"escrever";0,301;0,449;0,01;0,063
"dirceu";0,771;0,976;0,078;0,063
"desviar";0,226;0;0,423;0,208
"crítica";0,023;0,109;0,898;0,257
"corte";0,837;0,257;0,016;0,189
"constituição";0,461;0,214;0,243;0,17
"cofre";0,563;0,038;0,448;0,051
"cláudio";0,301;0,002;0,898;0,063
"causar";0,169;0,69;0,874;0,2
"carvalho";0,34;0,449;0,898;0,063
"cabral";0,563;0;0,114;0,051
"bombardeiro";0,018;0,109;0,132;0
"bombardear";0,013;0,092;0,114;0
"açougueiro";0,441;0,011;0,556;0,042
"atitude";0,296;0,079;0,037;0,169
"armado";0,301;0,109;0,49;0,001
"analisar";0,66;0,299;0,037;0,169
"aguardar";0,66;0,079;0,874;0,2
"agente";0,09;0,02;0,898;0,685
"vítima";0,494;0,092;0,002;0,051
"tensão";0,013;0,092;0,114;0
"sítio";0,711;0,449;0,078;0,063
"substituir";0,394;0,579;0,665;0,97
"stj";0,171;0,745;0,001;0,096
"soldado";0,013;0,092;0,114;0
"setor";0,008;0,489;0,57;0,078
"senhor";0,106;0,109;0,078;0,063
"rio";0,01;0,856;0,423;0,051
"renunciar";0,001;0,128;0,57;0,078
"relatório";0,171;0,579;0,665;0,016
"prestar";0,771;0,414;0,01;0,063
"preocupado";0,106;0,109;0,132;0,295
"prejudicar";0,106;0,109;0,49;0,748
"praticar";0,226;0,005;0,448;0,051
"pp";0,09;0;0,132;0,063
"poupar";0,051;0,89;0,153;0,318
"possibilidade";0,34;0,414;0,898;0,685
"portal";0,051;0,351;0,114;0,898
"popular";0,023;0,109;0,132;0,748
"planejar";0,065;0,092;0,423;0
"pesquisa";0,002;0,152;0,178;0,395
"palácio";0;0,414;0,132;0,063
"pacífico";0,013;0,092;0,114;0
"opinião";0,051;0,128;0,57;0,817
"mônica";0,025;0,128;0;0,078
"médio";0,111;0,152;0,178;0,439
"movimento";0,711;0,414;0,132;0,012
"manifestar";0,003;0,109;0,132;0,685
"magistrado";0,049;0,688;0;0,12
"luta";0,023;0,109;0,49;0,685
"limite";0,958;0,351;0,983;0,411
"judiciário";0,124;0,009;0,248;0,078
"janeiro";0,494;0,187;0,983;0,051
"internautas";0;0,092;0,114;0,208
"internacional";0,563;0,351;0,114;0,004
"influência";0,301;0,122;0,49;0,748
"fundo";0,771;0,122;0,132;0,685
"frente";0,771;0,414;0,49;0,295
"forte";0,301;0,976;0,898;0,295
"figura";0,563;0,005;0,983;0,051
"exemplo";0,21;0,489;0,769;0,318
"esposo";0,008;0,128;0,57;0,318
"emprego";0;0,092;0,423;0,051
"emitir";0,124;0,128;0,769;0,005
"dívida";0,09;0;0,132;0,063
"doleiro";0,018;0;0,132;0,063
"diretor";0,025;0;0,153;0,318
"desembarcar";0,001;0,128;0,153;0,318
"descartar";0,579;0,489;0,153;0,194
"delatar";0,013;0,038;0,002;0,051
"criança";0,261;0,577;0,41;0,309
"centena";0,494;0,569;0,114;0,898
"caro";0;0,092;0,114;0,051
"calheiros";0;0,152;0,178;0,096
"branco";0,34;0,414;0,132;0,295
"bandido";0,111;0,745;0,665;0,096
"alemanha";0,023;0,109;0,132;0,748
"zona";0,697;0,59;0,777;0,856
"washington";0,018;0,109;0,132;0
"via";0,401;0,333;0,57;0,593
"verdadeiro";0,697;0,688;0,488;0,856
"trocar";0,53;0,003;0,665;0,096
"torno";0,171;0,745;0,665;0,113
"testar";0,035;0,152;0,665;0
"submarino";0,025;0,489;0,153;0
"simples";0,688;0,59;0,777;0,492
"setembro";0,53;0,228;0,665;0,97
"santo";0,887;0,89;0,044;0,078
"rádio";0,401;0,072;0,57;0,817
"reportagem";0,171;0;0,178;0,395
"recente";0,711;0,976;0,132;0,076
"psdb";0,911;0,745;0,163;0,096
"procurar";0,579;0,489;0,044;0,078
"previdência";0;0,18;0,208;0,12
"porto";0,106;0,109;0,132;0,295
"pinheiro";0,049;0,688;0;0,12
"patrício";0,34;0,976;0,344;0,063
"particular";0,025;0,128;0;0,593
"papel";0,301;0,109;0,01;0,748
"olhar";0;0,128;0,153;0,078
"ocupar";0,006;0,688;0,208;0,12
"neto";0,096;0,983;0;0,189
"mínimo";0,771;0,122;0,132;0,685
"manifestação";0,007;0,311;0,341;0,24
"manifestante";0;0,128;0,153;0,078
"madrugada";0,697;0,18;0;0,12
"linha";0,697;0,688;0,208;0,055
"lembrar";0,111;0,43;0,243;0,15
