"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"empresa";-50,521;662,287;-24,376;-17,905;-36,58;-58,347
"deputado";-2,906;-0,001;-47,141;-47,452;684,588;-91,74
"trump";-83,164;-156,185;-17,556;-36,204;-59,201;1513,537
"delação";-5,503;918,011;-71,516;-56,751;-49,632;-93,324
"dever";2,321;-41,687;10,682;-0,014;19,039;-1,701
"justiça";263,536;4,954;-2,693;-20,586;-8,795;-76,7
"eua";-76,486;-124,31;-39,601;-58,805;-78,724;1740,444
"odebrecht";-29,404;1100,796;-70,853;-60,401;-55,238;-89,851
"decisão";427;-36,759;-1,081;-31,236;-3,138;-18,944
"querer";-5,477;-24,393;-8,191;245,405;0,011;-19,954
"juiz";1043,328;-17,464;-16,603;-43,865;-34,03;-89,62
"receber";-0,867;288,13;-25,299;-11,849;-8,376;-51,658
"dinheiro";35,223;302,142;-38,327;-9,755;-46,786;-89,656
"joesley";-51,904;939,678;-58,278;-17,526;-49,632;-90,814
"ação";55,669;-7,96;-6,811;-14,495;-14,997;35,107
"dilma";0,007;168,952;-5,935;-0,485;-4,494;-90,082
"senador";-23,58;42,512;-19,589;-13,686;153,301;-42,279
"sérgio_moro";947,511;-3,206;-27,506;-46,452;-41,902;-77,888
"brasileiro";-10,301;-15,09;123,327;18,34;-0,16;-49,241
"falar";-9,317;-0,642;-8,996;182,126;-1,539;-24,742
"república";1,1;33,267;1,864;-2,71;-0,504;-41,362
"corrupção";225,193;-1,061;0,882;-4,787;-10,376;-71,724
"saber";-21,193;1,795;-3,284;191,002;-6,769;-37,174
"ficar";-6,849;-3,981;-7;139,202;0,354;-20,211
"vez";0,001;-18,405;-2,698;41,254;-2,257;2,668
"paulo";0,006;33,429;-7,068;0,801;8,571;-55,679
"nuclear";-66,73;-115,175;-65,54;-66,691;-68,499;1794,874
"pt";-0,688;41,103;-2,116;-0,154;22,191;-79,518
"só";-0,698;-16,108;0,268;129,607;-2,625;-20,082
"aécio";-32,174;160,578;-19,023;2,471;0,727;-47,613
"investigação";13,475;108,469;0,004;-23,192;-23,265;-35,319
"propina";-30,988;1010,236;-62,664;-54,901;-52,28;-77,659
"política";-25,658;-69,898;234,73;0,813;0,567;-5,252
"grupo";-32,211;143,181;-3,395;-20,215;-1,32;-0,957
"partido";-14,603;-1,744;-2,11;-13,909;357,972;-58,422
"relação";-2,215;1,474;-0,89;-12,023;-1,748;29,133
"câmara";-3,883;-2,843;-50,254;-49,508;751,152;-68,846
"crime";312,342;-0,028;-6,299;-12,081;-15,851;-44,381
"míssil";-62,643;-110,452;-68,033;-67,116;-64,304;1748,899
"lei";26,963;-32,985;15,466;-4,647;57,904;-51,484
"militar";-43,603;-79,919;-11,719;-7,189;-19,475;664,513
"americano";-56,315;-73,234;-23,067;-34,457;-60,275;1128,027
"unido";-53,325;-54,031;-23,175;-33,28;-42,076;948,883
"advogado";402,749;27,144;-34,714;-30,481;-34,276;-62,652
"contar";-14,056;126,464;-4,91;2,8;-11,381;-28,332
"polícia";-1,178;96,996;-0,338;-1,928;-4,183;-37,623
"prisão";740,061;-7,021;-30,078;-31,807;-19,409;-54,556
"momento";-6,353;-15,942;45,959;-0,367;4,556;-1,337
"depoimento";38,753;372,876;-51,045;-39,628;-46,236;-64,234
"porcento";-11,335;5,003;-3,154;-1,822;14,274;0,007
"passar";-6,11;-6,385;24,894;25,315;3,614;-38,255
"segurança";-7,69;-35,193;1,239;-3,342;0,047;91,079
"chegar";-5,565;-0,779;-2,637;48,514;-0,885;-0,964
"último";-1,558;-2,746;-4,231;-0,593;0,029;30,265
"fato";115,229;-1,45;-0,031;-0,487;-9,799;-22,874
"empresário";-13,055;473,572;-20,23;-18,261;-27,88;-56,861
"meio";0,853;1,17;25,519;-11,264;-5,973;-2,111
"grande";-14,704;-10,217;43,233;0,228;-0,994;1,537
"deixar";-0,83;-19,164;3,389;2,177;4,423;0,34
"jbs";-38,087;786,405;-46,012;-39,178;-31,114;-61,072
"pedido";230,157;27,581;-26,458;-28,436;-8,451;-50,293
"maior";-7,598;0,019;11,744;-0,06;-6,037;2,572
"reforma";-29,025;-57,28;-3,363;-18,886;769,009;-42,4
"ataque";-42,516;-81,457;-35,836;-33,428;-35,313;1060,474
"nacional";-14,118;-1,826;2,886;-5,821;56,26;-1,842
"direito";0,19;-52,347;195,079;-0,02;-1,762;-19,166
"vir";-2,622;-0,105;2,133;12,609;-1,462;-3,124
"pagar";-16,76;362,267;-20,753;-7,166;-24,56;-33,99
"nota";18,699;110,421;-22,486;-23,011;-6,309;-17,773
"casa";-20,525;-0,03;-4,205;5,202;35,42;-1,81
"mundo";-29,53;-29,77;2,839;2,644;-14,883;130,696
"precisar";-20,346;-32,286;59,786;38,802;0,791;-13,249
"defender";5,301;-19,998;0,717;-6,403;34,368;-1,044
"semana";-5,781;-4,965;-8,552;-7,333;21,382;32,716
"denúncia";80,671;36,543;-21,949;-15,276;-0,453;-37,693
"campanha";-8,505;183,071;-14,52;-4,701;-0,478;-35,532
"mês";76,69;-6,174;-23,524;3,093;-0,081;-4,135
"informar";-2,493;22,205;-21,201;-14,74;-7,213;45,159
"forma";0,043;-6,429;80,117;-6,384;-5,392;-1,998
"recurso";186,443;6,421;-16,703;-9,808;-7,596;-34,984
"sul";-33,201;-32,435;-31,284;-33,62;-31,977;759,99
"valor";-9,101;310,202;-10,957;-13,588;-18,515;-37,116
"rio";10,897;-6,685;-0,019;0,919;28,582;-34,532
"levar";7,637;-7,738;0,024;1,414;-2,803;0,678
"bem";-1,19;-7,7;25,354;13,575;-3,949;-5,579
"informação";5,509;116,653;-8,073;-9,208;-20,065;-19,161
"cunha";-3,398;393,149;-37,443;-18,051;-13,671;-48,506
"sírio";-37,641;-67,974;-37,636;-35,663;-38,639;1019,08
"próprio";13,467;0,091;0,482;-5,625;-0,223;-2,872
"prova";241,274;18,124;-21,757;-25,427;-31,977;-20,385
"apresentar";128,353;-0,041;-10,452;-13,192;0,963;-20,832
"projeto";-12,761;-22,178;-2,384;-11,904;393,158;-26,457
"coisa";-16,41;-28,701;-0,522;370,404;-8,102;-26,135
"crise";-22,854;-37,24;166,193;-2;-0,165;0,267
"pf";0,032;166,895;-12,005;-2,517;-22,15;-27,935
"preso";67,94;67,162;-22,014;-8,229;-11,117;-40,278
"china";-37,813;-55,665;-21,757;-31,465;-36,463;850,492
"pagamento";-11,239;528,333;-35,132;-26,872;-29,533;-45,831
"força";-12,35;-44,699;-0,001;-1,689;-2,19;174,708
"tempo";-8,905;-16,789;24,422;32,157;-1,939;-2,227
"acontecer";-11,964;-38,441;-2,95;96,678;1,99;1,262
"continuar";-10,874;-10,495;10,272;0,205;-4,159;24,979
"medida";-0,021;-8,748;-0,239;-5,541;32,445;0,653
"econômico";-8,627;-6,766;39,9;-0,785;0,343;-0,031
"conversa";-23,348;127,683;-5,749;-1,889;-6,934;-4,172
"relator";278,157;-18,875;-22,161;-16,83;13,667;-30,788
"kim";-42,309;-76,404;-45,195;-45,33;-43,43;1185,417
"condenar";598,795;-19,939;-27,636;-29,74;-20,611;-9,896
"autoridade";1,616;6,222;-3,126;-12,958;3,084;-0,227
"social";-21,04;-28,193;103,437;44,731;-0,252;-29,732
"situação";-19,729;-24,806;130,612;0,103;-2,561;-0,026
"conseguir";-14,52;-0,664;0,248;23,366;-0,031;-0,212
"eleição";-10,211;-30,783;-1,739;-5,625;397,292;-34,636
"batista";-31,519;617,634;-38,408;-24,077;-28,302;-47,172
"passado";-1,924;-0,485;-0,261;-0,088;2,988;1,459
"pouco";-16,268;-20,71;9,904;62,727;-3,439;0
"pmdb";-6,398;72,088;-26,768;-9,071;62,507;-43,606
"gente";-31,008;-23,625;-0,634;404,546;-3,152;-36,059
"cargo";5,12;-3,293;0,329;-0,46;28,908;-24,481
"realizar";-1,483;-6,766;-7,602;-16,256;-10,541;179,606
"manter";19,894;1,312;-3,775;-3,746;-0,844;-0,688
"líder";-20,525;-41,043;-3,158;-11,887;19,971;144,547
"eduardo";-0,997;312,033;-19,962;-20,126;-13,922;-44,495
"rodrigo";-17,095;1,405;-17,268;-6,088;221,862;-25,089
"base";-2,264;-26,287;-4,994;-15,791;4,645;118,989
"eleitoral";37,499;6,4;-2,745;-12,831;6,517;-33,847
"senado";-12,385;-25,143;-13,852;-23,189;611,472;-36,297
"arma";-29,101;-58,21;-17,573;-14,521;-27,794;666,241
"achar";-16,927;-35,514;20,313;102,642;2,429;-23,999
"voto";42,852;-19,511;-6,925;-8,206;123,486;-38,285
"marcelo";-0,658;320,503;-24,22;-9,889;-27,273;-42,94
"declarar";-9,348;9,469;-4,521;-7,392;-2,311;29,009
"começar";0,252;-14,812;3,944;12,38;-0,229;-0,928
"tomar";0;-28,308;61,192;-4,958;-0,297;0,99
"divulgar";-1,259;5,283;-7,514;-1,904;-0,953;10,903
"parlamentar";-3,568;-2,767;-20,273;-2,239;272,442;-35,854
"apartamento";6,685;19,372;-2,471;-2,197;-1,972;-9,236
"ocorrer";11,833;0,204;-2,833;-1,097;-6,799;1,823
"dono";-19,365;390,752;-20,641;-12,369;-20,058;-36,296
"julgamento";429,304;-32,897;-1,037;-11,494;-6,673;-37,179
"petista";41,876;-0,463;-0,867;-0,083;5,073;-37,181
"tribunal";769,377;-21,48;-20,304;-30,719;-23,003;-40,28
"questão";-2,864;-10,755;0,666;5,302;1,708;1,049
"executivo";-9,249;196,33;-10,62;-29,336;0,563;-26,936
"colocar";-12,642;-9,449;14,978;0,085;3,857;0,754
"candidato";-21,369;-11,923;-11,573;-3,178;407,137;-32,306
"final";17,139;0,025;-0,422;-3,851;1,198;-6,328
"bom";-17,772;-26,329;15,589;93,527;-0,013;-10,315
"sistema";-5,716;-5,502;14,44;-0,384;-1,251;7,663
"filho";-0,089;3,789;-20,917;82,523;-1,127;-25,54
"responder";5,004;-0,421;-9,978;0,011;-2,932;10,018
"possível";-0,208;-6,073;-0,327;-1,972;0,87;17,141
"congresso";-18,508;-37,03;-3,369;-20,508;528,849;-21,108
"próximo";-0,497;-14,737;-2,022;-1,484;59,339;0,07
"fachin";16,481;19,286;-3,467;-5,326;-5,103;-6,436
"considerar";24,503;-7,901;1,045;-7,489;-0,472;0,637
"documento";46,469;39,639;-7,276;-13,676;-4,596;-26,717
"delator";0,581;326,985;-28,046;-26,534;-25,265;-37,621
"janot";0,07;34,988;-1,574;-0,546;-3,687;-9,667
"guerra";-27,569;-43,258;-3,222;-7,863;-24,151;439,143
"proposta";-6,867;-33,351;-7,921;-8,192;375,17;-14,09
"petrobras";0,212;291,806;-23,781;-20,348;-23,356;-35,192
"aprovar";-18,67;-13,307;-22,197;-18,843;496,184;-16,273
"problema";-14,842;-35,627;45,198;44,136;-9,407;0,093
"acabar";-3,469;-22,465;4,806;18,988;-1,249;3,21
"procurador";37,182;82,421;-6,088;-13,676;-20,418;-31,448
"mpf";94,532;70,264;-24,213;-16,655;-19,729;-30,569
"presidência";-1,138;0,161;-1,175;-7,35;81,703;-17,999
"usar";-4,686;-0,195;-0,064;1,135;-5,123;14,456
"apoio";-7,455;-0,213;-0,172;-2,865;9,419;4,653
"joão";6,125;77,019;-15,166;-5,7;-0,031;-34,09
"voltar";-0,459;-18,494;1,284;1,873;15,484;-0,401
"reunião";-12,029;1,897;-2,3;-7,489;0,255;27,069
"sair";-9,629;-2,051;-0,178;54,698;3,248;-14,281
"negar";67,129;16,404;-16,806;-17,53;-3,741;-5,506
"pena";501,89;-16,712;-13,244;-17,06;-11,065;-31,091
"mostrar";-7,383;-1,375;26,434;-0,935;-2,839;1,798
"principal";-1,003;-3,006;-1,493;-3,024;13,667;4,895
"mandato";10,852;-2,317;1,953;-4,84;18,254;-20,735
"investigar";1,518;70,625;-9,562;-7,162;-1,791;-13,761
"instância";644,92;-35,477;-17,532;-22,373;-10,316;-27,809
"hora";-1,79;-15,862;-1,12;19,581;-3,692;18,118
"região";61,472;-25,918;-3,456;0,05;-13,671;11,719
"josé";6,261;59,095;-7,276;-5,265;-0,232;-31,448
"entrar";-0,055;-8,726;1,746;0,029;0,356;2,261
"ato";58,096;-7,997;4,14;-4,571;-2,12;-5,984
"psdb";-2,988;0,077;-17,297;-14,296;251,93;-34,531
"palocci";-5,123;351,36;-22,088;-20,785;-19,693;-33,208
"ex_ministro";-2,95;307,745;-22,636;-21,233;-11,364;-33,871
"entrevista";-13,582;0,096;-0,228;0,759;22,7;-3,006
"acusação";78,256;22,857;-7,567;-15,804;-11,406;-15,233
"rússia";-26,059;-51,247;-19,099;-23,651;-26,802;681,022
"confirmar";1,699;32,487;-8,57;-10,434;-6,858;0,573
"teste";-26,399;-51,863;-32,307;-26,171;-24,917;755,884
"citar";3,32;22,985;-2,887;-1,101;-2,487;-8,405
"cidade";-0,59;-6,013;0,694;3,541;-1,304;3,633
"responsável";48,185;11,553;-5,262;-9,278;-7,127;-6,734
"ameaça";-12,444;-29,959;-8,134;-17,573;-14,707;379,181
"acusar";72,929;14,619;-14,467;-13,415;-7,824;-5,714
"trabalhar";-8,08;-12,041;13,35;34,902;-4,676;-0,356
"sociedade";-8,668;-41,499;355,764;0,02;-7,891;-32,77
"regime";-0,709;-43,346;-12,412;-14,462;-11,83;329,411
"brasília";0,4;5,171;-8,834;-0,247;6,928;-4,93
"época";-3,085;64,517;0,359;-0,683;-6,592;-21,945
"neve";-13,655;181,705;-9,027;-8,378;-3,441;-17,678
"internacional";-12,648;-13,995;2,399;-10,905;-8,584;137,247
"existir";-4,791;-3,778;19,459;3,984;0,214;-5,563
"votar";5,31;-29,198;-16,445;-8,828;271,26;-22,159
"claro";-8,532;-9,123;15,06;12,298;0,022;-1,253
"importante";-9,092;-30,961;53,992;4,439;-0,151;0,076
"g1";-0,282;0,558;-2,957;47,913;-0,134;-23,566
"esperar";-3,526;-20,911;1,515;17,495;0,297;1,361
"encontrar";-16,233;9,149;-1,593;29,627;-8,255;-0,807
"decidir";74,876;-6,094;-6,724;-3,738;1,062;-3,465
"janeiro";15,213;-6,814;-0,396;-1,571;12,225;-4,596
"criminoso";110,565;17,819;-10,543;-8,134;-13,856;-25,75
"criar";-10,618;-0,564;43,566;-2,039;-0,585;-0,193
"exemplo";-6,832;-3,315;2,73;1,298;14,802;-3,232
"condenação";516,545;-26,829;-16,396;-13,464;-9,49;-24,37
"programa";-18,623;-13,017;-8,861;-0,177;-0,953;145,757
"partir";-0,132;23,527;0,774;-5,562;-8,824;-0,819
"melhor";-7,455;-25,645;51,44;10,154;-0,256;-1,623
"assunto";-9,445;5,265;3,95;-0,6;1,35;-3,855
"cercar";-2,848;20,766;-6,665;-4,705;-6,751;11,649
"tratar";0,62;14,839;-6,225;-1,337;0,038;-2,857
"premiar";-5,007;377,621;-26,309;-22,734;-21,626;-32,988
"ordem";7,649;-22,451;19,251;-9,29;-2,747;8,437
"família";-0,639;0,153;-4,141;49,446;-0,075;-16,829
"parecer";-2,003;-30,597;18,811;-0,011;5,651;1,361
"número";-5,689;-0,003;5,047;0,256;0,907;-1,585
"maia";-15,351;-27,933;-22,276;-23,095;686,658;-33,429
"atual";-7,409;-0,328;0,359;-6,126;42,494;-1,32
"área";-8,598;-0,507;6,643;3,826;-1,65;0,132
"ponto";-0,609;-5,153;57,551;-1,652;0,011;-8,454
"foro";0,676;-20,422;1,25;-1,207;69,557;-12,298
"serviço";-3,399;5,11;2,708;-0,425;-3,683;0
"enviar";-0,403;2,106;-9,383;-10,058;-0,224;28,244
"contrato";-7,286;247,766;-14,654;-11,799;-13,065;-22,031
"vídeo";-2,845;22,263;-10,877;15,651;-1,636;-9,293
"participar";0,245;-0,242;-2,31;-5,805;17,111;0
"oas";40,208;7,88;-4,908;-2,853;-6,469;-8,158
"ler";0,825;23,873;-5,703;3,706;-6,925;-11,04
"lado";-10,27;-14,251;14,754;4;-1,283;6,801
"conselho";0,679;-1,74;-12,525;-9,919;0,505;40,665
"acreditar";-7,059;-26,775;33,241;-0,671;1,502;5,203
"questionar";-0,006;2,398;-2,297;-5,429;11,184;-1,21
"banco";-2,956;71,123;-8,671;-4,875;-1,318;-3,226
"tipo";-5,065;-9,92;6,634;0,306;-6,697;24,531
"declaração";15,114;-3,641;-2,768;-5,036;-1,801;12,115
"rede";-6,426;-8,84;1,675;64,562;-0,334;-6,945
"local";-3,534;-4,488;-0,607;6,597;-0,6;9,67
"envolver";16,746;21,424;-3,769;-6,364;-4,554;-7,109
"vida";-6,561;-24,207;29,434;59,544;-6,975;-4,83
"supremo";16,748;-4,816;-0,362;-0,223;3,283;-3,924
"encontro";-3,631;15,116;-1,646;-2,616;-5,053;5,157
"seguir";-0,342;-2,596;8,313;-5,805;-0,459;6,001
"entender";-0,001;-7,496;1,781;15,471;0,334;-5,974
"anunciar";-4,572;-10,357;-6,282;-6,806;7,367;61,499
"único";0;-5,023;0,732;4,485;-2,943;1,595
"instituto";0,277;29,366;-1,393;-5,888;-3,958;-1,499
"impeachment";-3,113;0,189;-0,186;-0,239;61,167;-27,277
"atuar";-0,494;48,866;-0,296;-4,175;-4,847;-6,784
"inquérito";0,961;33,568;-2,175;-1,921;-3,075;-8,804
"civil";-0,282;-0,927;-0,44;-0,587;1,768;2,798
"chamar";-2,554;0,006;-12,005;37,157;0,106;-1,776
"carne";-12,146;196,572;-4,331;-10,751;-12,468;-15,724
"início";1,044;-1,228;0;-2,013;0,841;0,568
"governador";-7,089;0,227;-9,056;-8,206;158,296;-17,28
"empreiteiro";-5,985;284,504;-18,901;-13,712;-17,081;-24,433
"cumprir";30,124;-1,301;0,476;-7,805;0,575;-6,266
"população";-10,37;-25,109;57,034;7,836;1,647;-6,438
"pgr";-0,36;160,762;-15,738;-5,473;-12,101;-18,112
"mandar";5,868;1,188;-2,663;3,375;-0,205;-10,048
"discurso";-8,075;-31,862;0,631;6,029;64,438;-2,708
"mudança";-9,295;-32,976;18,084;-1,541;49,806;-0,08
"geral";-5,007;15,085;0;-2,434;2,186;-4,538
"entregar";-7,089;213,242;-20,415;-6,806;-7,501;-19,333
"movimento";-10,176;-16,75;20,697;8,915;3,809;-2,269
"triplex";263,01;-14,99;-7,107;-8,894;-4,469;-10,746
"réu";248,862;1,289;-17,39;-14,321;-13,573;-22,686
"pyongyang";-25,312;-45,71;-26,118;-27,119;-25,983;704,664
"organização";31,666;0,431;0,05;-9,131;-10,278;-0,086
"mulher";-4,532;-6,097;-0,073;104,107;-0,622;-15,291
"intervenção";-14,788;-24,986;6,618;2,238;83,529;-10,656
"imóvel";11,791;11,098;-2,237;-2,062;-3,91;-4,931
"rousseff";0,033;103,324;-12,513;-4,524;-0,912;-26,401
"interesse";-2,22;1,824;2,902;-9,097;-0,27;2,426
"homem";-0,907;-16,73;0,76;44,345;-1,072;-0,539
"tornar";-0,342;-4,24;17,459;0,565;-2,189;-0,266
"planalto";-5,051;-0,007;-6,665;-3,595;146,292;-22,904
"longo";-3,743;-1,825;0,862;0,402;-6,42;17,01
"história";-3,41;-6,384;37,32;21,256;-10,457;-7,213
"prestar";2,202;86,058;-3,645;-7,994;-10,584;-16,987
"oficial";-5,182;12,666;-3,275;-6,11;-4,303;16,953
"necessário";-3,631;-13,599;13,887;-0,728;5,794;0,7
"corte";152,047;-6,224;-2,43;-6,051;-1,78;-12,298
"atingir";-8,997;-5,08;-8,074;-5,947;-11,092;177,228
"senhor";-5,828;-1,103;0,077;36,34;3,077;-17,401
"objectivo";3,216;-0,154;2,303;-15,114;-3,841;7,854
"explicar";-0,494;6,235;2,708;1,037;-4,847;-6,784
"chefe";-6,246;23,669;-3,035;-4,571;-0,808;2,003
"perder";-3,515;-11,922;10,426;8,472;0,089;-0,312
"donald";-23,273;-42,029;-23,832;-16,306;-19,385;580,417
"conta";1,591;85,833;-8,085;-10,403;-0,508;-24,87
"setor";-6,769;27,945;2,35;-0,448;-3,068;-7,135
"povo";-11,894;-33,944;1,03;79,234;7,367;-5,005
"apontar";2,79;30,086;-4,18;-7,373;-0,145;-7,486
"diverso";-0,009;9,237;-0,606;-2,998;-1,072;0,003
"publicar";-1,45;-0,507;-2,459;22,723;-0,998;-0,027
"previdência";-20,901;-25,749;-16,863;-13,879;587,702;-27,058
"lavagem";500,229;-5,328;-22,561;-21,488;-18,289;-25,964
"imprensa";0,496;3,29;0,09;-1,153;-3,569;-0,033
"diretor";-5,278;65,217;-2,239;-0,605;-3,205;-9,01
"comprar";-10,176;99,622;-11,873;2,191;-10,536;-10,25
"policial";0,874;-0,405;21,509;0,001;-0,813;-14,207
"jornal";-8,479;14,51;0,982;-0,172;-7,338;0,165
"constituição";-1,497;-30,246;36,609;-16,454;71,525;-6,711
"prever";37,691;-9,124;-0,434;-9,297;13,585;-4,851
"silva";-1,953;50,405;-0,614;-6,36;0,584;-17,243
"renan";-10,909;-10,646;-5,259;-4,727;262,774;-17,026
"assumir";-6,321;-2,861;16,785;-1,329;13,035;-3,979
"alvo";-0,054;9,604;-12,427;-7,976;-0,1;9,582
"ajudar";-4,79;-2,613;3,297;3,072;0,288;-0,007
"texto";2,634;-3,936;-2,379;-1,238;66,191;-18,477
"relatar";-2,327;134,433;-14,468;-5,249;-7,503;-9,585
"penal";310,311;-12,007;-3,03;-9,131;-12,219;-20,941
"favor";4,62;5,11;-1,863;-3,115;6,77;-15,291
"caixa";-9,217;148,916;-9,383;-1,638;-3,928;-22,467
"violência";-12,74;-27,086;148,805;4,885;-0,1;-19,417
"investigado";8,092;78,699;-9,487;-10,929;-6,561;-15,941
"destacar";4,06;-1,301;12,021;-4,968;-4,451;0,022
"permitir";4,472;-8,728;8,313;-5,805;6,411;-2,264
"palácio";-10,503;32,543;-4,141;-9,566;36,898;-16,829
"esquema";2,202;161,137;-18,334;-15,208;-10,584;-21,387
"pensar";-11,259;-23,394;25,277;30,981;1,134;-6,711
"morte";-3,52;-5,071;0,64;9,134;-3,687;5,665
"lançar";-17,599;-28,466;-17,83;-7,9;-0,727;295,392
"exterior";-11,658;21,522;-8,452;-2,854;-5,661;20,807
"evitar";1,687;-0,175;-0,263;-4,975;0,009;3,13
"possibilidade";18,048;-15,949;-0,155;-5,82;12,658;-0,017
"norte_coreano";-21,409;-38,662;-24,083;-22,938;-21,977;605,716
"chamado";-1,221;8,535;-0,326;0,033;-0,332;-1,712
"superior";329,725;-8,5;-5,136;-10,073;-14,933;-22,04
"mundial";-14,159;-23,018;10,229;-2,125;-2,714;73,638
"incluir";-1,838;-0,98;-3,95;-5,859;-0,072;45,562
"russo";-19,38;-34,997;-11,459;-16,276;-15,444;449,883
"economia";-6,944;-15,232;17,752;-0,001;0,2;5,355
"risco";-0,133;-16,421;12,679;0,011;-6,088;12,893
"mudar";-2,532;-11,922;45,827;0,02;0;-1,791
"luiz";14,255;6,22;-4,7;-1,762;0,428;-12,259
"lembrar";-0,377;0,214;-0,015;10,692;-0,988;-3,929
"indicar";-1,418;22,044;-9,205;-0,209;0,091;-1,1
"comissão";-1,45;-0,507;-8,702;-9,63;168,552;-19,214
"cidadão";-5,833;-14,206;63,103;5,717;-2,523;-3,929
"autorizar";-0,036;14,12;-3,704;-2,124;-0,986;0,021
"usado";-2,088;11,227;-0,376;-3,747;-3,31;2,911
"noite";-0,765;-5,65;-4,514;2,892;6,211;2,416
"marco";-3,462;-0,328;-0,561;0,599;30,281;-7,621
"revelar";-1,535;80,647;-5,898;-9,797;-7,503;-0,993
"período";2,271;1,917;13,384;-8,877;-0,819;-7,661
"lourar";-7,134;136,088;-8,025;-5,463;-7,323;-9,236
"união";0,006;-2,828;0,155;-4,644;1,877;4,703
"suposto";2,553;41,347;-9,383;-7,001;-6,478;-0,649
"mendes";140,152;-8,799;-5,034;-2,002;-0,333;-12,691
"instituição";-11,157;-12,661;176,88;-6,858;-1,064;-5,258
"frente";-4,573;-9,051;3,224;10,839;1,296;-0,33
"viver";-15,671;-18,79;69,558;21,134;-2,746;-5,423
"condição";-0,003;-8,188;22,929;-0,086;2,461;-6,438
"tse";184,96;1,561;-11,651;-7,527;-11,93;-23,122
"jong_un";-19,887;-35,913;-22,371;-21,307;-20,414;562,642
"diálogo";-9,889;0,029;-0,003;-0,206;-4,191;25,623
"agência";-9,524;-15,591;-3,318;-5,322;-9,866;195,755
"procurar";-9,524;11,462;5,866;0,602;-2,484;-6,224
"posição";-1,621;-19,02;14,706;-3,115;6,77;2,476
"plano";-6,47;-10,791;-1,78;7,539;2,89;9,499
"mercado";-10,138;3,333;0,742;7,901;0,003;-6,821
"garantir";0;-0,158;4;-0,057;-0,518;-0,32
"ganhar";-5,142;-7,496;-0,114;14,644;6,697;-0,314
"capital";0,709;-0,592;-2,101;-0,022;-1,595;7,662
"junto";-0,091;24,763;-0,424;0,018;-2,816;-10,066
"japão";-17,861;-32,254;-15,586;-16,832;-13,913;449,622
"demonstrar";3,334;-2,327;6,091;-7,488;-3,089;3,42
"acompanhar";5,599;-0,008;-0,137;-0,051;-1,243;-0,223
"total";-0,561;33,051;-2,956;-6,708;-4,68;0,166
"prático";36,783;-0,229;1,882;-5,126;-4,63;-4,93
"notícia";-5,69;-6,154;-0,134;2,449;-3,433;30,435
"imagem";-1,205;-5,076;0,615;-0,028;-1,388;15,928
"gravação";5,97;110,924;-7,196;-11,848;-15,569;-19,635
"fossar";-0,003;2,692;8,917;-3,044;-3,681;-1,439
"comando";-2,037;-5,771;-1,142;-1,605;-0,022;39,747
"analisar";84,63;-14,484;-6,038;-2,112;1,782;-3,049
"votação";-13,297;-22,319;-11,473;-18,955;487,329;-20,517
"turma";187,066;-12,754;-6,223;-0,443;-3,817;-14,207
