"";"";"";"";"pyongyang";""
"69";"festa";"-0.235259248911476";"1.47888978128372";"0.837743401136314";"414"
"70";"família";"0.497761500653827";"0.597394592241628";"0.837625085657284";"415"
"71";"remédio";"0.00064552537432405";"1.79956160345529";"0.837518220063321";"416"
"72";"carreira";"0.118832258378955";"1.66013984130397";"0.83707091122002";"417"
"73";"perceber";"-0.140801381845841";"1.28757150607265";"0.836738101227393";"421"
"74";"pegar";"0.541439265704098";"0.457012904420854";"0.836699171618164";"422"
"75";"ciência";"-0.12080783029706";"1.40042395323435";"0.835282439172486";"427"
"76";"patrício";"0.298956655775376";"1.16752514532122";"0.835099241011407";"428"
"77";"momento";"-0.124626498545946";"0.770035869787408";"0.83496336904194";"429"
"78";"mudar";"-0.157352316339553";"1.04211710615905";"0.834862610053346";"430"
"79";"ambiente";"-0.19963930188064";"1.77651980464108";"0.834019898512382";"432"
"80";"impunidade";"0.00263405057887561";"1.82182723229375";"0.834019898512382";"433"
"81";"homem";"-0.201196852768961";"0.964348387350305";"0.833731361408683";"434"
"82";"vergonha";"0.0988626911555462";"1.49492534526763";"0.833680981914386";"435"
"83";"fator";"0.0678184930695062";"1.64632118039956";"0.833680218588715";"436"
"84";"atendimento";"0.154580273013056";"1.55807983909517";"0.833477937285857";"437"
"85";"morar";"0.346688650609929";"1.0195471504231";"0.833382521576961";"438"
"86";"cirurgia";"0.0956154223378428";"1.92609352801527";"0.833351225224444";"439"
"87";"hamburgo";"-0.67089649992432";"1.39670807156945";"0.832452790909485";"443"
"88";"prevalecer";"-0.201599429040144";"1.72161563388386";"0.832452790909485";"444"
"89";"bastar";"0.116052317382352";"1.02321149542094";"0.832073418050917";"446"
"90";"corporação";"-0.0471653164505266";"1.63465189501057";"0.831910066357288";"447"
"91";"coragem";"-0.0578949383852374";"1.78829757092343";"0.831910066357288";"448"
"92";"debate";"0.119298397325182";"1.76975664005134";"0.831568859782279";"449"
"93";"dificuldade";"-0.0956987867208378";"1.57446134184397";"0.831285665958277";"452"
"94";"resultado";"-0.0886980372869869";"1.30349769586785";"0.831191013575053";"453"
"95";"professor";"-0.359295476869534";"1.15074072572057";"0.830890263260615";"454"
"96";"assistir";"0.495083695130359";"0.748689790724126";"0.830666608838964";"456"
"97";"errado";"0.0148176030544663";"1.26933844156569";"0.830610886064969";"457"
"98";"exame";"0.258424501803436";"1.36452706786624";"0.830372728455567";"458"
"99";"natural";"-0.00294369274839129";"1.37314381029103";"0.829757487964609";"460"
"100";"livre";"-0.130982781857084";"0.928273922891527";"0.829275829466106";"462"
"101";"pac";"0.184491670914118";"1.29595957301483";"0.82922621329748";"463"
"102";"fila";"0.279245753047995";"0.99676481063634";"0.82921323676107";"464"
"103";"cracolândia";"0.101072060824059";"1.9406363241041";"0.82921323676107";"465"
"104";"instrumento";"0.231059978250012";"1.26917469785884";"0.829169727197814";"467"
"105";"profundo";"-0.617924043121316";"1.41722873851483";"0.829169727197814";"468"
"106";"realidade";"-0.339427709861419";"0.989459982415732";"0.828768217894782";"469"
"107";"costumar";"-0.49882806857864";"1.27575435827355";"0.828588073036388";"470"
