"";"*gr_01";"*gr_02"
"início";2;9
"vice_presidente";2;12
"edson";5;18
"contrário";0;11
"meirelles";3;12
"tempo";6;8
"que";166;1037
"meio";3;23
"calheiros";2;14
"cair";6;4
"pgr";8;25
"além";0;17
"próximo";6;16
"porque";1;25
"rocha";6;48
"final";3;14
"haver";7;78
"quando";8;35
"fórum";0;14
"petrobras";1;10
"vieira";2;10
"mil";3;20
"milhão";11;17
"documento";1;11
"lugar";5;7
"centro";0;11
"alguma";1;17
"outro";5;51
"principal";2;17
"atuar";1;11
"aval";1;12
"tudo";5;8
"atual";1;19
"impeachment";4;35
"noruega";6;7
"favor";6;14
"frente";0;18
"aqui";2;8
"conseguir";6;18
"manhã";2;13
"sérgio";2;9
"maia";6;28
"moreira";2;21
"eduardo";15;52
"ao";29;211
"2016";4;6
"república";12;95
"chamar";7;19
"procuradoria";0;12
"homem";8;9
"possibilidade";1;12
"mesmo";11;37
"parte";5;24
"presidência";1;39
"paulo";1;24
"estado";2;25
"executivo";1;24
"momento";2;33
"sexto";0;11
"rcifrão";8;27
"vida";2;9
"nacional";2;24
"reunir";2;15
"preso";6;18
"resolver";5;11
"crise";4;32
"cometer";2;8
"congresso";1;44
"assinar";2;8
"reeleição";0;13
"wesley";1;9
"usar";7;8
"ação";5;35
"também";15;85
"henrique";7;12
"em";178;1374
"lúcio";3;9
"obter";0;12
"questionar";0;24
"encontro";6;33
"denúncia";6;73
"decreto";1;12
"listar";0;14
"troca";2;10
"inquérito";2;28
"funaro";5;27
"frigorífico";1;10
"sempre";2;8
"negociar";5;7
"povo";3;14
"coisa";3;10
"investigar";2;30
"assunto";4;19
"câmara";9;72
