"";"*gr_01";"*gr_02"
"negócio";2;12
"tribunal";1;11
"você";2;26
"só";2;17
"míssil";6;15
"tirar";4;8
"perder";1;17
"noite";0;11
"colocar";2;14
"1";2;11
"planalto";0;30
"pmdb";3;42
"nota";1;13
"justiça";5;10
"mal";0;10
"se";22;180
"voltar";5;24
"forma";0;17
"mais";16;104
"maia";1;22
"passar";3;24
"janeiro";0;19
"maior";4;27
"desde";2;31
"citar";3;12
"mulher";0;10
"eu";6;47
"fazer";24;130
"porcento";4;27
"palocci";2;11
"brasil";10;65
"ministro";13;69
"época";2;11
"não";48;323
"comissão";0;12
"voto";3;12
"2";2;13
"avaliar";1;13
"qual";0;34
"doação";0;11
"10";0;18
"número";0;14
"aumentar";0;12
"futuro";0;14
"ano";6;68
"apoiar";1;17
"renan";2;18
"mercado";0;14
"crime";3;13
"ex_ministro";4;19
"proposta";1;23
"delação";3;19
"já";6;67
"contar";1;16
"dinheiro";5;17
"federal";13;99
"população";0;18
"estar";24;178
"posição";1;15
"vender";1;12
"manifestar";3;9
"como";11;143
"gente";0;12
"mundial";6;7
"por";41;340
"acabar";0;14
"cunha";1;12
"pessoa";5;34
"família";0;13
"escalão";4;11
"partido";3;54
"casa";3;29
"caso";6;29
"alvo";0;11
"trabalho";1;17
"junto";2;19
"então";0;28
"bancada";0;13
"processo";2;22
"rousseff";2;27
"lado";2;12
"solução";0;10
"tanto";0;13
"dito";3;8
"líder";2;35
"vário";3;13
"hoje";5;21
"chefe";2;17
"_";0;94
"central";1;10
"empresa";5;40
"aí";2;10
"público";3;73
"último";6;24
"rússia";3;16
"agora";3;32
"interesse";0;12
"mundo";7;10
"sexta_feira";0;11
"previdência";3;33
"juiz";1;13
"defesa";5;19
"todo";9;57
"5";3;11
"relação";6;38
"pedir";5;28
"cidadão";3;7
"fiscal";0;14
"dilma";16;68
"sim";0;11
"república";4;17
"decisão";0;37
"ter";27;260
"protestar";3;7
"sua";8;73
"governador";2;21
"acusar";2;9
"propina";3;18
"conta";2;15
"senado";4;23
"evitar";2;18
"base";1;40
"notícia";1;10
"social";2;23
"vir";0;24
"reunião";1;18
"embaixador";2;8
"levar";3;16
"projeto";4;25
"ponto";0;14
"rodrigo";1;14
"plano";0;10
"parte";5;28
"a";133;1551
"dentro";2;12
"grande";6;26
"centrão";0;13
"bilhão";3;13
"ficar";7;34
"polícia";4;11
"pedido";0;15
"cercar";5;12
"fossar";3;10
"nosso";4;15
"ao";25;219
"prefeito";0;12
"analisar";2;8
"obra";1;9
"secretaria";1;21
"aprovar";1;26
"divulgar";4;15
"grupo";1;37
"responsável";3;16
"nome";3;13
"contra";9;66
"para";49;452
"país";13;73
"parlamentar";2;25
"obama";0;12
"stf";2;21
"fevereiro";0;11
"brasília";0;10
"revelar";4;8
"situação";3;22
"tentar";3;25
"ameaça";1;9
"esse";3;51
"anunciar";1;17
"lançar";1;9
"setor";0;16
"carne";2;15
"órgão";4;10
"michel_temer";35;178
"quem";3;28
"meio";2;26
"assumir";2;19
"ocupar";3;9
"ser";67;590
"demonstrar";2;8
"sem";0;41
"lava_jato";3;30
"pagar";3;13
"eleitoral";0;17
"parecer";0;14
"eleição";0;21
"considerar";0;14
"filho";3;8
"senador";6;40
"dizer";33;189
"pt";7;48
"criar";1;24
"chegar";5;16
"denúncia";3;18
"pf";4;7
"regra";0;13
"coreia";1;38
"campanha";1;23
"próprio";2;11
"bom";2;17
"fato";1;18
"apenas";2;12
"jbs";1;10
"entre";3;53
"de";366;3381
"claro";0;12
"apresentar";0;19
"mandar";0;10
"ajudar";0;13
"informar";3;31
"estratégia";0;12
"tomar";5;15
"marco";1;16
"semana";7;28
"economia";3;16
"aquele";3;8
"mostrar";3;20
"apoio";2;33
"enviar";3;15
"comandar";3;8
"essa";6;47
"poder";21;102
"votar";1;21
"governo";127;1020
"região";0;19
"um";51;317
"corrupção";3;22
"imposto";3;10
"lembrar";1;10
"conselho";1;15
"pagamento";0;15
"problema";0;12
"manter";4;15
"ataque";7;43
"nenhum";1;22
"criticar";0;10
"psdb";0;39
"g1";0;20
"palácio";1;20
"assad";3;15
"votação";2;16
"operação";5;29
"entender";2;10
"informação";2;11
"ex_presidente";8;44
"defender";0;36
"lei";4;25
"iniciativa";1;10
"oficial";6;10
"agência";1;13
"partir";2;16
"rede";2;8
"presidente";20;188
"jungmann";2;8
"força";1;16
"acrescentar";0;10
"8";2;11
"qualquer";1;27
"desenvolvimento";1;13
"nós";0;18
"isso";3;41
"unido";2;35
"agenda";0;14
"joesley";4;18
"donald";3;13
"eua";10;34
"econômico";1;37
"2018";1;12
"2015";1;12
"2014";0;14
"2016";4;11
"2013";2;11
"nada";2;17
"dever";4;37
"dar";6;37
"importante";1;19
"contrário";0;12
"primeiro";3;32
"aéreo";1;14
"tempo";4;13
"que";122;977
"direito";1;18
"marcelo";0;10
"seu";12;108
"além";2;28
"único";1;9
"próximo";0;16
"final";4;13
"discutir";0;11
"haver";11;80
"jong_un";3;11
"quando";4;46
"ainda";8;58
"bem";2;15
"mil";6;18
"milhão";4;29
"ministério";1;49
"documento";2;12
"fidel";1;9
"serviço";1;13
"tornar";0;10
"petista";9;10
"principal";2;23
"tudo";7;12
"atual";2;22
"local";1;14
"impeachment";3;18
"corrupto";13;0
"nuclear";7;17
"trabalhar";0;16
"aqui";0;12
"conseguir";3;29
"manhã";0;13
"equipa";3;12
"negociação";0;11
"eduardo";1;10
"norte_coreano";2;10
"chamar";8;12
"possibilidade";2;9
"falar";5;24
"mesmo";5;46
"possível";1;10
"gasto";0;13
"diante";2;14
"presidência";0;12
"paulo";1;35
"estado";5;114
"resultado";1;9
"antonio";0;10
"executivo";0;22
"momento";1;31
"rcifrão";11;37
"nacional";2;39
"reunir";1;10
"meu";4;7
"preso";3;7
"teste";2;12
"durante";10;42
"integrante";1;9
"crise";2;18
"cometer";1;10
"congresso";1;45
"assinar";0;10
"marun";0;14
"usar";6;12
"ação";6;38
"também";12;75
"henrique";3;16
"em";128;1268
"washington";2;12
"membro";2;11
"banco";1;21
"presidencial";0;12
"decreto";0;11
"quanto";0;17
"norte";3;29
"negociar";2;9
"povo";1;15
"tão";0;10
"branco";0;10
"investigar";0;10
"assunto";1;14
"câmara";6;47
