"";"classe 1";"classe 2";"classe 3";"classe 4"
"entender";0,002;-3,463;-0,285;5,728
"utilizar";-6,161;39,064;-8,928;-1,38
"tratamento";-7,415;35,477;-0,575;-8,294
"qualidade";-5,162;24,215;-0,054;-7,575
"permitir";0,003;2,828;-0,011;-2,764
"participar";24,298;-0,877;-7,481;-0,572
"manter";0,281;1,086;0,007;-2,637
"livro";4,735;-4,346;-1,649;2,106
"investigação";-3,421;-9,153;-8,204;57,989
"continuar";-0,659;-2,288;3,949;0,088
"acreditar";-1,379;1,502;-1,01;0,651
"série";-2,49;0,109;0,001;1,111
"semana";-0,264;-5,376;20,339;-2,764
"população";-0,916;28,669;-6,394;-4,371
"perder";2,511;-5,109;0,471;0,04
"pensar";1,053;-2,718;1,053;-0,069
"parecer";-1,594;-0,017;3,351;-0,307
"neto";-1,379;-5,541;-2,614;25,77
"diretor";0,366;-2,759;7,529;-2,504
"difícil";8,281;-0,184;0,103;-6,117
"viagem";0,076;-1,574;4,997;-1,428
"obra";0,076;-0,02;-0,002;-0,003
"lei";-0,992;11,614;-2,397;-1,088
"informar";-6,661;-10,771;-4,94;62,356
"humano";-4,665;-2,961;17,948;-0,269
"futebol";12,382;-1,18;-1,057;-1,07
"evitar";-2,147;1,75;2,576;-2,666
"colocar";0,638;0,058;0,93;-3,716
"casal";-2,355;-7,73;1,013;10,378
"bitcoin";-6,661;56,248;-4,94;-9,775
"avenida";28,488;-6,741;-3,619;-0,066
"amigo";-0,002;-10,366;3,639;2,03
"voo";-3,421;-9,153;-2,041;38,238
"uscifrão";-1,217;6,652;-0,094;-1,786
"tratar";-4,913;2,828;6,046;-4,726
"terrorista";-6,411;-10,366;-1,552;46,444
"risco";-6,912;-0,143;11,229;-0,344
"reforma";-5,661;52,447;-8,204;-5,784
"quarto";-2,49;-2,961;2,583;2,491
"presidente";-2,036;-0,942;-1,814;13,108
"jogo";2,434;-2,759;3,537;-2,504
"guariroba";-4,616;65,526;-10,017;-10,143
"equipa";3,557;-0,395;-0,274;-0,286
"dado";-5,91;42,327;-2,313;-8,673
"comer";-0,625;-9,153;38,794;-5,784
"certo";1,835;-0,501;1,536;-3,001
"causa";0,918;-7,73;3,639;0,006
"época";0,307;-1,964;-1,534;4,701
"verdade";7,092;-1,649;0,42;-3,001
"valer";2,206;2,377;-0,827;-4,029
"psicopata";-0,37;-5,941;28,918;-5,391
"prédio";-0,006;-1,964;-1,534;7,502
"número";-3,921;0,075;1,106;0,208
"morar";-1,943;-9,557;7,273;2,984
"isabella";-5,411;-8,75;-7,842;62,599
"internet";0,85;-0,328;6,659;-7,94
"dinheiro";0,463;-2,96;13,207;-6,139
"conhecido";1,775;-2,961;0,308;0
"tecnologia";-2,952;34,776;-3,007;-7,575
"sentir";-1,17;-7,945;36,579;-4,726
"procurar";13,859;-1,964;-0,444;-1,58
"piloto";-5,91;-6,94;-8,565;60,864
"marca";-0,973;-0,02;1,198;-0,003
"jornalismo";0,366;-0,671;3,537;-2,504
"chamar";6,029;-1,964;-0,009;-0,471
"cair";2,206;-0,32;-3,959;1,498
"vender";5,943;-1,644;1,021;-3,583
"unido";-0,003;-2,03;-1,522;7,492
"tv";-1,706;-2,759;0,024;7,405
"pagar";-2,952;3,968;0,072;-0,572
"norte";-3,186;-1,102;-3,32;20,231
"ministério";-3,921;13,134;-3,281;-0,013
"início";2,206;-0,32;-2,102;0,47
"getúlio";-0,964;-2,353;-1,965;14,827
"entrevista";12,708;-3,088;0,689;-5,028
"droga";-2,196;-3,551;-1,045;18,327
"branco";-0,408;-1,303;0,251;1,545
"banco";-2,952;34,776;-3,007;-7,575
"autor";-1,706;-2,759;-0,503;12,831
"publicar";-0,068;-4,377;5,76;0
"produzir";-3,674;4,729;3,351;-5,391
"oferecer";-1,594;7,569;-2,946;0,001
"mínimo";-6,161;-1,862;44,321;-9,04
"mudança";-0,821;13,313;-0,827;-4,029
"ler";1,412;-3,84;-1,534;4,701
"jornalista";-1,217;-1,968;7,591;-0,102
"incluir";-0,508;0,693;-0,009;-0,013
"imóvel";-3,421;9,252;-0,902;-0,246
"francês";2,987;-2,718;-2,287;2,677
"esperar";8,51;-4,377;0;-0,246
"econômico";-2,261;33,128;-3,959;-6,481
"cultura";2,682;-0,333;1,021;-3,583
"chamado";-0,264;0,464;-2,699;1,973
"carro";-0,821;-4,604;0,505;5,295
"birri";4,249;-1,18;0,083;-1,07
"antonio";0,028;-4,989;-6,76;22,32
"andar";-0,013;-0,005;0,615;-0,373
"volta";-0,247;-0,318;-0,155;2,008
"vizinho";1,775;-2,961;-1,045;2,491
"velho";-4,665;-7,543;33,805;-1,088
"trazer";0,175;0,429;2,049;-6,117
"show";43,171;-7,543;-2,397;-2,458
"relatar";-1,742;-2,642;2,082;1,994
"registrar";-2,72;-0,67;-1,277;11,899
"real";-1,813;3,798;-0,009;-0,471
"possibilidade";-0,821;6,735;-6,401;0,47
"perceber";1,412;-3,84;2,638;-0,471
"operação";-3,427;23,086;-4,966;-1,046
"música";77,562;-8,347;-4,994;-7,575
"município";-5,661;59,425;-8,204;-8,306
"londres";-4,665;-7,543;-4,302;46,535
"lembrar";7,186;-4,604;0,029;-0,153
"hídrico";-5,661;59,425;-8,204;-8,306
"hospital";-5,162;-8,347;-7,481;59,717
"evento";-0,031;-2,363;1,799;0,155
"discussão";2,987;0,684;-4,609;-0,069
"córrego";-5,661;59,425;-8,204;-8,306
"atual";-0,063;2,842;-0,007;-2,006
"atentado";-4,665;-7,543;-4,302;46,535
"artista";19,591;-2,759;-0,503;-2,504
"advogado";-5,162;-5,765;-3,007;38,82
"resultado";3,319;0,693;-5,683;-0,013
"responsável";-5,162;2,262;-0,054;0,549
"produção";-0,013;6,875;-0,354;-3,944
"organizar";-1,217;-0,166;0,509;0,489
"mão";-0,095;-0,32;0,505;0,022
"minuto";9,817;-2,718;-2,287;0,137
"medida";-2,261;17,434;-2,102;-2,157
"junto";4,035;-1,649;1,536;-3,001
"italiano";-0,508;6,287;-3,281;-0,013
"identificar";-5,162;0,278;0,591;0,549
"gostar";12,708;-5,541;0,689;-2,665
"estadual";-3,921;17,492;-5,683;-0,013
"divulgar";-4,417;-0,001;0,505;1,498
"curso";0,028;5,675;-1,045;-2,458
"camus";1,337;-1,968;0,509;-0,102
"bater";2,206;-7,142;0,029;1,498
"valor";-0,992;3,494;2,583;-6,845
"sentido";1,465;-0,061;-0,55;-0,01
"revelar";1,053;-2,718;0,153;0,137
"renata";-1,217;-1,968;14,258;-1,786
"preciso";5,943;2,365;-3,539;-3,583
"pegar";9,543;-6,34;0,229;-0,471
"olhar";3,768;-4,744;6,555;-4,305
"jogar";3,319;-0,081;-3,281;0,208
"janeiro";3,768;-0,792;-1,965;0,312
"geral";1,996;1,632;-3,895;-0,373
"funcionário";-3,427;-3,088;-1,01;19,95
"fossar";2,715;-0,942;-6,041;3,836
"estudar";5,12;-4,221;6,466;-6,117
"estação";-4,665;24,467;-6,76;-0,269
"decidir";-2,72;-1,739;15,977;-1,326
"controlo";-1,813;9,398;-0,444;-1,58
"companhia";-3,921;0,075;0,229;1,054
"cliente";-3,427;-3,088;4,217;2,008
"carnaval";74,971;-7,142;-6,401;-6,481
"capacidade";0,23;5,428;-1,965;-2,006
"caminho";0,042;3,349;-0,068;-3,223
"atividade";-4,417;4,278;0,505;-0,865
"aparecer";6,232;-4,989;-4,302;4,421
"antigo";15,737;-0,977;-0,763;-2,863
"acompanhar";-1,813;-0,081;-3,281;10,955
"servir";-3,427;0,001;4,217;-0,17
"prisão";-4,665;-4,989;-2,397;33,328
"pedido";-2,036;-0,942;-0,626;9,404
"parar";7,092;-3,463;1,536;-3,001
"ocupação";-4,913;-5,376;8,831;1,973
"novela";52,457;-5,941;-2,946;-5,391
"nascer";7,092;-0,501;0,003;-3,001
"itália";-1,706;0,001;1,035;0,019
"guerra";0,366;-0,671;1,035;-0,521
"garantir";-2,49;8,381;0,001;-2,458
"faixa";7,85;-1,574;-0,002;-1,428
"estudo";-2,036;-0,184;13,352;-3,684
"espécie";-0,013;-0,005;4,68;-3,944
"esgoto";-4,913;44,647;-4,647;-7,21
"descobrir";1,835;-5,941;9,078;-3,001
"concessionário";-2,49;42,056;-6,76;-6,845
"comunidade";9,817;-0,169;-0,059;-4,666
"bacia";-4,417;46,365;-6,401;-6,481
"ator";32,145;-4,604;-6,401;-0,153
"aprender";17,993;-0,318;-1,01;-5,028
"alimento";-0,768;-4,346;24,219;-3,944
"óleo";-4,169;43,763;-6,041;-6,117
"transformar";2,987;0,043;0,153;-4,666
"the";0,001;-1,968;3,008;-0,102
"tender";5,943;0,016;-1,342;-1,374
"sonho";2,987;-5,142;2,759;-0,801
"sociedade";0,307;0,075;2,638;-5,754
"seguro";-0,006;-1,964;1,106;0,208
"pesquisa";-1,951;-0,977;10,017;-0,786
"personagem";35,896;-4,346;-3,895;-1,686
"oficial";-3,921;-0,081;-0,444;7,502
"necessário";-2,261;2,377;-0,136;0,022
"menor";-4,169;3,023;2,049;-1,864
"irmão";-4,169;-6,741;-0,626;27,905
"habitante";-4,169;36,887;-3,619;-6,117
"futuro";-3,18;-1,061;17,635;-2,333
"fundo";-1,951;13,973;-2,828;-0,786
"final";4,735;-1,995;-3,895;2,106
"espaço";-0,253;0,345;0,55;-0,786
"dificuldade";0,23;-0,061;1,537;-2,006
"confirmar";-3,921;-0,711;-0,009;7,502
"comprar";-2,688;-1,995;17,908;-1,686
"cabeça";-1,594;-1,649;0,003;5,728
"baixo";-0,063;1,085;1,537;-4,305
"atuar";7,092;-1,649;-2,946;0,391
"apresentador";0,364;-1,18;2,579;-1,07
"americano";-1,168;-2,718;2,759;1,007
"alegar";-4,913;-0,67;-2,699;19,998
"agente";-0,964;-4,744;-4,252;26,701
"universidade";-1,951;-0,977;5,557;-0,007
"taxa";-1,168;20,613;-2,287;-4,666
"tarde";-0,582;-1,644;-1,342;9,938
"servidor";-3,427;29,174;-4,966;-2,665
"seguinte";0,422;-0,547;2,172;-1,686
"restaurante";-1,951;-3,155;-0,004;9,86
"razão";-2,688;-0,005;12,548;-3,944
"ratton";-0,973;10,216;-1,41;-1,428
"produtor";-0,659;30,599;-6,041;-6,117
"padrão";0,175;1,432;0,103;-3,684
"otto";-1,379;-5,541;-0,155;14,873
"nota";-1,379;0,001;-2,614;6,953
"março";-1,594;-5,941;-0,285;17,319
"localizar";-3,18;4,263;-2,287;1,007
"hotel";0,076;-1,574;-1,41;4,918
"fundamental";-2,934;13,088;-0,007;-4,305
"forte";0,105;-2,718;1,053;0,137
"estrada";0,076;0,943;-1,41;-0,003
"especial";-0,006;-3,84;-1,534;10,955
"discurso";33,119;-3,155;-2,828;-2,863
"destacar";0,175;0,429;0,767;-3,684
"carreira";45,622;-4,346;-3,895;-3,944
"belo";7,85;-0,02;-1,41;-1,428
"avô";-4,417;-7,142;-3,959;43,684
"ambiental";-3,427;29,174;-2,614;-5,028
"agência";-3,674;11,074;-2,946;0,001
"aberto";1,465;2,842;-1,965;-2,006
"testemunha";-4,169;-6,741;-3,619;40,838
"terceiro";-0,063;2,842;-4,252;0,312
"site";-0,768;-0,005;4,68;-1,686
"silva";0,49;-5,941;-1,266;8,897
"salário";-4,169;-4,221;34,534;-3,684
"responder";1,835;-0,501;3,351;-5,391
"regra";-0,013;3,801;0,009;-3,944
"quantidade";-0,768;10,854;-0,354;-3,944
"proposta";-0,964;18,162;-1,965;-4,305
"professor";-0,123;-0,671;7,529;-2,504
"previdência";-2,934;30,798;-4,252;-4,305
"pessoal";7,092;-3,463;0,003;-0,307
"novembro";-0,768;-0,547;0,615;0,583
"médio";-3,18;15,376;-0,059;-4,666
"motivo";-0,253;-0,04;-0,004;0,524
"mineiro";-3,674;38,567;-5,324;-5,391
"metro";-0,123;6,494;-2,473;-0,521
"medo";0,49;-5,941;-0,285;5,728
"maílson";-4,417;46,365;-6,401;-6,481
"ligar";0,001;-0,166;0,509;-0,102
"investimento";-3,921;22,475;-1,534;-3,341
"idade";-2,934;-2,353;20,624;-2,006
"foto";-0,37;-3,463;3,351;0,391
"força";0,422;-1,995;-1,649;4,574
"famoso";13,705;-1,995;-1,649;-0,373
"euro";-3,18;10,906;-0,77;-0,801
"estudante";-3,674;-0,501;0,003;5,728
"especialista";-2,442;0,016;6,034;-1,374
"equipamento";-3,427;5,849;-4,966;2,008
"envolver";0,032;0,395;-1,01;0,039
"energia";-0,508;6,287;0,229;-5,754
"crescimento";-1,379;17,709;-2,614;-2,665
"construir";-3,18;2,09;5,269;-4,666
"compromisso";5,226;-0,166;-0,094;-1,786
"comida";-1,594;-5,941;35,626;-5,391
"apartamento";0,002;-5,941;-1,266;12,76
"vargas";-1,217;-1,968;-1,764;14,081
"tributário";-3,18;26,616;-4,609;-2,333
"transação";-3,921;34,31;-3,281;-5,754
"total";0,002;11,074;-2,946;-3,001
"tentativa";-0,143;0,043;-4,609;5,148
"solução";-0,768;21,523;-3,895;-3,944
"setor";-3,427;9,091;-1,01;-0,17
"roberto";-0,123;-2,759;0,024;3,462
"representar";-0,143;7,201;-2,287;-0,801
"reduzir";-3,921;22,475;-1,534;-3,341
"recente";-0,408;3,349;-1,045;-0,076
"quilômetro";-2,196;10,995;-0,068;-3,223
"presente";0,153;-3,155;2,401;-0,007
"possuir";-3,427;5,849;2,079;-5,028
"período";-1,217;0,346;0,509;-0,102
"papel";0,001;0,016;0,083;-0,204
"olho";2,987;0,043;-0,77;-0,801
"objectivo";-0,508;-0,081;2,638;-0,471
"natural";-2,442;8,691;0,083;-3,583
"livre";0,364;0,039;0,083;-1,07
"imprensa";-0,582;-3,948;-3,539;21,105
"helicóptero";-3,921;-6,34;-5,683;45,361
"funcionar";-0,964;5,428;-0,55;-0,575
"frança";0,001;-1,968;-1,764;7,479
"eua";-0,768;-1,995;-0,354;7,987
"distribuir";-3,921;41,163;-5,683;-5,754
"desenvolver";-1,379;17,709;-1,01;-5,028
"depender";8,34;0,001;-0,155;-5,028
"crescer";-0,768;0,366;4,68;-3,944
"correto";12,708;1,502;-4,966;-5,028
"correr";-1,813;-3,84;4,825;1,054
"conteúdo";12,047;0,001;-2,473;-2,504
"construção";0,153;-0,977;0,55;-0,007
"conselho";-1,813;0,075;-5,683;10,955
"claro";0,001;-0,166;-0,094;0,489
"busca";0,001;-0,333;0,083;0,073
"autoridade";-1,379;-1,348;-2,614;14,873
"análise";-2,196;1,182;-1,045;1,545
"acidente";-1,594;-5,941;-0,285;17,319
"vivo";-2,934;8,843;-0,007;-2,006
"superior";-1,462;9,048;-0,274;-2,145
"sozinho";-0,964;-2,353;6,555;-0,01
"reunir";-0,973;-1,574;1,198;1,167
"plano";2,987;2,09;-2,287;-2,333
"perda";-1,168;7,201;-0,77;-0,801
"participação";0,702;2,365;-3,539;-0,204
"operar";-2,688;10,854;-1,649;-0,373
"noivo";-2,934;-4,744;-4,252;33,938
"negro";-0,031;-2,363;-2,118;10,128
"modo";-1,594;25,576;-5,324;-3,001
"militar";-3,18;-2,718;-2,287;23,039
"manifestar";-1,706;0,001;-2,473;7,405
"mandar";16,304;-3,948;-3,539;0,073
"litro";-3,18;33,384;-4,609;-4,666
"lincoln";0,364;-1,18;0,083;0,078
"lidar";-0,253;0,345;-0,004;-0,007
"legal";19,534;-1,303;-3,183;-1,073
"iniciativa";-3,427;29,174;-4,966;-2,665
"gosto";15,737;-3,155;-0,004;-2,863
"função";2,368;0,943;-1,41;-1,428
"frente";7,14;-2,353;-4,252;1,481
"falta";-1,706;0,748;3,537;-2,504
"doença";-3,674;-0,017;12,99;-3,001
"câncer";-2,934;-2,353;27,058;-4,305
"conversar";0,422;-4,346;0,615;0,583
"contrário";-0,253;-0,04;0,55;-0,007
"carlos";0,422;-4,346;8,139;-1,686
"cantor";40,019;-4,744;-4,252;-2,006
"atingir";-2,688;-1,995;0,009;7,987
"alexandra";-3,18;-5,142;29,906;-2,333
"acesso";-2,442;8,691;-3,539;0,073
"índio";4,249;0,039;-1,057;-1,07
"utilização";-2,688;15,736;-1,649;-1,686
"técnico";-1,951;4,676;-0,763;-0,007
"trauma";-0,964;-4,744;20,624;-2,006
"texto";27,334;-4,346;-0,354;-3,944
"teatro";35,896;-4,346;-1,649;-3,944
"sucesso";3,574;-0,159;0,251;-3,223
"sentar";-0,964;-4,744;1,537;3,517
"rússia";-1,951;-3,155;15,783;-0,786
"russo";-0,031;-2,363;5,168;-0,286
"resolver";-1,594;-0,017;9,078;-3,001
"reserva";-2,934;2,842;-1,965;1,481
"regime";-3,427;0,395;-2,614;6,953
"prêmio";28,962;-2,759;-2,473;-2,504
"proteção";-3,18;0,043;-0,77;5,148
"propriedade";-2,934;30,798;-4,252;-4,305
"prever";-0,768;3,801;-1,649;0,006
"preservação";-2,688;28,214;-3,895;-3,944
"prefeito";-3,427;23,086;-1,01;-5,028
"porto";0,032;-3,088;-0,155;4,108
"permanecer";-2,688;0,366;2,172;-0,373
"parceria";-0,123;11,494;-2,473;-2,504
"palestra";5,943;0,694;-1,342;-3,583
"palavra";23,629;-3,155;-2,828;-0,786
"nível";-1,951;4,676;-0,004;-0,786
"nardoni";-0,768;-4,346;-1,649;17,649
"moderno";-0,973;0,943;-0,002;-0,003
"menino";-2,688;-4,346;24,219;-1,686
"lançar";2,987;4,263;-2,287;-4,666
"joão";2,682;-3,948;-0,189;0,98
"instituto";-2,688;1,632;0,009;0,006
"homicídio";-1,951;-3,155;-2,828;22,571
"gerar";-0,768;1,632;2,172;-3,944
"fácil";12,708;-0,318;-0,155;-5,028
"fonte";-1,379;9,091;-0,155;-2,665
"fechado";1,465;-0,061;-4,252;1,481
"encaminhar";-1,594;0,198;-5,324;8,897
"década";0,73;0,079;-2,118;0,155
"dor";-0,768;-4,346;24,219;-3,944
"determinado";1,465;2,842;-0,55;-4,305
"defender";-0,408;-0,159;-3,183;7,629
"cultural";-0,729;2,199;0,083;-1,07
"criação";-1,706;6,494;-0,503;-0,521
"criatividade";11,579;-2,353;0,336;-4,305
"condenar";-2,934;-4,744;-4,252;33,938
"compra";-2,196;-1,303;4,1;0,234
"coleta";-3,427;29,174;-2,614;-5,028
"causar";-2,688;-0,547;0,615;2,106
"cara";19,534;-3,551;-1,045;-1,073
"canal";0,076;0,943;-0,002;-1,428
"bonito";27,697;-3,551;-1,045;-3,223
"assunto";2,682;-1,644;0,083;-0,204
"apoio";-0,964;1,085;1,537;-2,006
"aluno";13,705;0,366;-3,895;-3,944
"ajuda";0,422;0,366;0,009;-1,686
"abrir";1,996;0,366;-0,354;-1,686
"virar";11,668;-1,968;-0,094;-1,786
"via";-2,934;1,085;1,537;-0,575
"veículo";-2,442;-0,333;-1,342;9,938
"vaticano";-0,768;-4,346;-0,354;12,346
"up";49,799;-4,744;-4,252;-4,305
"tocar";13,705;-0,547;-1,649;-1,686
"stand";49,799;-4,744;-4,252;-4,305
"sp";-0,253;-3,155;-0,763;9,86
"sala";0,73;-0,395;0,167;-0,286
"rural";-2,934;24,065;-4,252;-2,006
"ressaltar";-2,442;5,031;-1,342;0,073
"referência";9,443;0,345;-2,828;-2,863
"redação";2,368;-1,574;-0,002;-0,003
"provocar";0,001;0,016;-3,539;2,927
"necessidade";-2,688;0,366;2,172;-0,373
"morador";-2,688;0,366;0,009;0,583
"melhorar";-0,123;6,494;-0,503;-2,504
"manhã";-2,442;-3,948;-3,539;28,248
