"";"classe 1";"classe 2";"classe 3";"classe 4"
"g1";0;0;0,001;0,587
"cercar";0,388;0,239;0,888;0,034
"acordo";0,012;0,743;0,967;0,008
"santo";0,894;0,016;0,026;0
"ação";0,002;0;0,008;0,166
"vídeo";0,278;0;0,151;0
"segurança";0,056;0,237;0,078;0,023
"pequeno";0,98;0;0,036;0,088
"morte";0,126;0;0,03;0,003
"política";0,099;0;0,537;0,096
"direito";0,381;0,307;0,293;0,428
"nada";0,806;0,004;0;0,287
"mudar";0;0,013;0,893;0,02
"lado";0,184;0,104;0,627;0,985
"crime";0,014;0,001;0,129;0
"serviço";0,024;0,023;0,11;0,191
"produto";0,023;0;0,217;0,024
"morto";0,014;0;0,002;0
"milhão";0,083;0;0,509;0,017
"maneira";0,011;0,391;0,183;0,065
"ideia";0,365;0,31;0,02;0,011
"conhecer";0,872;0,924;0,036;0,065
"apresentar";0,746;0,681;0,695;0,793
"relação";0,108;0,31;0,217;0,209
"médico";0,028;0,003;0,535;0
"mãe";0,126;0;0,01;0,011
"centro";0,338;0,306;0,213;0,154
"situação";0,871;0,029;0,197;0,428
"próximo";0,365;0,032;0,001;0,695
"partir";0,079;0,75;0,917;0,25
"ambiente";0,163;0,001;0,909;0,044
"sul";0,028;0,111;0,535;0,793
"lugar";0,037;0,275;0,864;0,352
"imagem";0,339;0,002;0,489;0
"filme";0;0,037;0,552;0,047
"federal";0,056;0,017;0,047;0,208
"condição";0,006;0,611;0,041;0,954
"alto";0,143;0,045;0,036;0,176
"único";0,542;0,013;0,217;0,45
"realizar";0,011;0,107;0,426;0,154
"passado";0,108;0,654;0,083;0,459
"menina";0,014;0;0,952;0
"justiça";0,004;0,611;0,008;0
"fato";0,143;0,639;0,252;0,511
"bloco";0,143;0;0,003;0,003
"blockchain";0,005;0;0,003;0,001
"ataque";0,009;0,001;0,006;0
"principal";0,011;0,001;0,916;0,204
"noite";0,969;0,057;0,73;0,02
"movimento";0,007;0,105;0,147;0,493
"escrever";0;0,009;0,749;0,417
"corpo";0,002;0,038;0,321;0,779
"capital";0,064;0,362;0,093;0,016
"político";0,476;0,164;0,215;0,649
"matar";0,032;0,013;0,321;0
"explicar";0,064;0,035;0,627;0,33
"diverso";0,083;0,731;0,535;0,556
"considerar";0,654;0,639;0,039;0,003
"apontar";0,003;0,001;0,11;0,483
"usado";0,02;0;0,021;0,914
"tornar";0,027;0,974;0,827;0,025
"sofrer";0,607;0,187;0,683;0,16
"saúde";0,006;0,852;0,001;0,432
"ouvir";0;0,246;0,106;0,306
"informação";0,952;0,077;0,003;0,265
"civil";0,007;0,082;0,001;0
"campo";0,163;0;0,293;0,003
"bairro";0,844;0,13;0,429;0,012
"ajudar";0,09;0,423;0,576;0,878
"tomar";0,872;0,045;0,036;0,914
"tirar";0,679;0,085;0;0,117
"preso";0,028;0,001;0,005;0
"pedir";0,822;0,004;0,013;0,476
"nome";0,007;0,056;0,789;0,45
"mercado";0,375;0,625;0,363;0,695
"ganhar";0;0,487;0,37;0,002
"entender";0,963;0,063;0,593;0,017
"utilizar";0,013;0;0,003;0,24
"tratamento";0,006;0;0,448;0,004
"qualidade";0,023;0;0,816;0,006
"permitir";0,958;0,093;0,917;0,096
"participar";0;0,349;0,006;0,45
"manter";0,596;0,297;0,935;0,104
"livro";0,03;0,037;0,199;0,147
"investigação";0,064;0,002;0,004;0
"continuar";0,417;0,13;0,047;0,767
"acreditar";0,24;0,22;0,315;0,42
"série";0,115;0,741;0,977;0,292
"semana";0,607;0,02;0;0,096
"população";0,339;0;0,011;0,037
"perder";0,113;0,024;0,492;0,842
"pensar";0,305;0,099;0,305;0,793
"parecer";0,207;0,896;0,067;0,58
"neto";0,24;0,019;0,106;0
"diretor";0,545;0,097;0,006;0,114
"difícil";0,004;0,668;0,749;0,013
"viagem";0,782;0,21;0,025;0,232
"obra";0,782;0,887;0,963;0,954
"lei";0,319;0,001;0,122;0,297
"informar";0,01;0,001;0,026;0
"humano";0,031;0,085;0;0,604
"futebol";0;0,277;0,304;0,301
"evitar";0,143;0,186;0,108;0,103
"colocar";0,425;0,809;0,335;0,054
"casal";0,125;0,005;0,314;0,001
"bitcoin";0,01;0;0,026;0,002
"avenida";0;0,009;0,057;0,797
"amigo";0,969;0,001;0,056;0,154
"voo";0,064;0,002;0,153;0
"uscifrão";0,27;0,01;0,759;0,181
"tratar";0,027;0,093;0,014;0,03
"terrorista";0,011;0,001;0,213;0
"risco";0,009;0,706;0,001;0,558
"reforma";0,017;0;0,004;0,016
"quarto";0,115;0,085;0,108;0,114
"presidente";0,154;0,332;0,178;0
"jogo";0,119;0,097;0,06;0,114
"guariroba";0,032;0;0,002;0,001
"equipa";0,059;0,53;0,601;0,593
"dado";0,015;0;0,128;0,003
"comer";0,429;0,002;0;0,016
"certo";0,176;0,479;0,215;0,083
"causa";0,338;0,005;0,056;0,938
"época";0,579;0,161;0,215;0,03
"verdade";0,008;0,199;0,517;0,083
"valer";0,138;0,123;0,363;0,045
"psicopata";0,543;0,015;0;0,02
"prédio";0,937;0,161;0,215;0,006
"número";0,048;0,784;0,293;0,649
"morar";0,163;0,002;0,007;0,084
"isabella";0,02;0,003;0,005;0
"internet";0,357;0,567;0,01;0,005
"dinheiro";0,496;0,085;0;0,013
"conhecido";0,183;0,085;0,579;0,996
"tecnologia";0,086;0;0,083;0,006
"sentir";0,279;0,005;0;0,03
"procurar";0;0,161;0,505;0,209
"piloto";0,015;0,008;0,003;0
"marca";0,324;0,887;0,274;0,954
"jornalismo";0,545;0,413;0,06;0,114
"chamar";0,014;0,161;0,925;0,493
"cair";0,138;0,572;0,047;0,221
"vender";0,015;0,2;0,312;0,058
"unido";0,955;0,154;0,217;0,006
"tv";0,191;0,097;0,878;0,007
"pagar";0,086;0,046;0,789;0,45
"norte";0,074;0,294;0,068;0
"ministério";0,048;0;0,07;0,908
"início";0,138;0,572;0,147;0,493
"getúlio";0,326;0,125;0,161;0
"entrevista";0;0,079;0,406;0,025
"droga";0,138;0,059;0,307;0
"branco";0,523;0,254;0,616;0,214
"banco";0,086;0;0,083;0,006
"autor";0,191;0,097;0,478;0
"publicar";0,794;0,036;0,016;0,985
"produzir";0,055;0,03;0,067;0,02
"oferecer";0,207;0,006;0,086;0,971
"mínimo";0,013;0,172;0;0,003
"mudança";0,365;0;0,363;0,045
"ler";0,235;0,05;0,215;0,03
"jornalista";0,27;0,161;0,006;0,75
"incluir";0,476;0,405;0,925;0,908
"imóvel";0,064;0,002;0,342;0,62
"francês";0,084;0,099;0,13;0,102
"esperar";0,004;0,036;0,994;0,62
"econômico";0,133;0;0,047;0,011
"cultura";0,101;0,564;0,312;0,058
"chamado";0,607;0,496;0,1;0,16
"carro";0,365;0,032;0,477;0,021
"birri";0,039;0,277;0,773;0,301
"antonio";0,866;0,026;0,009;0
"andar";0,91;0,946;0,433;0,541
"volta";0,619;0,573;0,694;0,156
"vizinho";0,183;0,085;0,307;0,114
"velho";0,031;0,006;0;0,297
"trazer";0,676;0,513;0,152;0,013
"show";0;0,006;0,122;0,117
"relatar";0,187;0,104;0,149;0,158
"registrar";0,099;0,413;0,258;0,001
"real";0,178;0,051;0,925;0,493
"possibilidade";0,365;0,009;0,011;0,493
"perceber";0,235;0,05;0,104;0,493
"operação";0,064;0;0,026;0,306
"música";0;0,004;0,025;0,006
"município";0,017;0;0,004;0,004
"londres";0,031;0,006;0,038;0
"lembrar";0,007;0,032;0,864;0,695
"hídrico";0,017;0;0,004;0,004
"hospital";0,023;0,004;0,006;0
"evento";0,859;0,124;0,18;0,693
"discussão";0,084;0,408;0,032;0,793
"córrego";0,017;0;0,004;0,004
"atual";0,802;0,092;0,935;0,157
"atentado";0,031;0,006;0,038;0
"artista";0;0,097;0,478;0,114
"advogado";0,023;0,016;0,083;0
"resultado";0,068;0,405;0,017;0,908
"responsável";0,023;0,133;0,816;0,459
"produção";0,91;0,009;0,552;0,047
"organizar";0,27;0,684;0,476;0,484
"mão";0,758;0,572;0,477;0,883
"minuto";0,002;0,099;0,13;0,711
"medida";0,133;0;0,147;0,142
"junto";0,045;0,199;0,215;0,083
"italiano";0,476;0,012;0,07;0,908
"identificar";0,023;0,598;0,442;0,459
"gostar";0;0,019;0,406;0,103
"estadual";0,048;0;0,017;0,908
"divulgar";0,036;0,969;0,477;0,221
"curso";0,866;0,017;0,307;0,117
"camus";0,248;0,161;0,476;0,75
"bater";0,138;0,008;0,864;0,221
"valor";0,319;0,062;0,108;0,009
"sentido";0,226;0,806;0,459;0,921
"revelar";0,305;0,099;0,695;0,711
"renata";0,27;0,161;0;0,181
"preciso";0,015;0,124;0,06;0,058
"pegar";0,002;0,012;0,632;0,493
"olhar";0,052;0,029;0,01;0,038
"jogar";0,068;0,776;0,07;0,649
"janeiro";0,052;0,373;0,161;0,576
"geral";0,158;0,201;0,048;0,541
"funcionário";0,064;0,079;0,315;0
"fossar";0,099;0,332;0,014;0,05
"estudar";0,024;0,04;0,011;0,013
"estação";0,031;0;0,009;0,604
"decidir";0,099;0,187;0;0,25
"controlo";0,178;0,002;0,505;0,209
"companhia";0,048;0,784;0,632;0,305
"cliente";0,064;0,079;0,04;0,156
"carnaval";0;0,008;0,011;0,011
"capacidade";0,632;0,02;0,161;0,157
"caminho";0,838;0,067;0,794;0,073
"atividade";0,036;0,039;0,477;0,352
"aparecer";0,013;0,026;0,038;0,035
"antigo";0;0,323;0,382;0,091
"acompanhar";0,178;0,776;0,07;0,001
"servir";0,064;0,974;0,04;0,68
"prisão";0,031;0,026;0,122;0
"pedido";0,154;0,332;0,429;0,002
"parar";0,008;0,063;0,215;0,083
"ocupação";0,027;0,02;0,003;0,16
"novela";0;0,015;0,086;0,02
"nascer";0,008;0,479;0,954;0,083
"itália";0,191;0,982;0,309;0,889
"guerra";0,545;0,413;0,309;0,471
"garantir";0,115;0,004;0,977;0,117
"faixa";0,005;0,21;0,963;0,232
"estudo";0,154;0,668;0;0,055
"espécie";0,91;0,946;0,031;0,047
"esgoto";0,027;0;0,031;0,007
"descobrir";0,176;0,015;0,003;0,083
"concessionário";0,115;0;0,009;0,009
"comunidade";0,002;0,681;0,808;0,031
"bacia";0,036;0;0,011;0,011
"ator";0;0,032;0,011;0,695
"aprender";0;0,573;0,315;0,025
"alimento";0,381;0,037;0;0,047
"óleo";0,041;0;0,014;0,013
"transformar";0,084;0,835;0,695;0,031
"the";0,979;0,161;0,083;0,75
"tender";0,015;0,898;0,247;0,241
"sonho";0,084;0,023;0,097;0,371
"sociedade";0,579;0,784;0,104;0,016
"seguro";0,937;0,161;0,293;0,649
"pesquisa";0,162;0,323;0,002;0,375
"personagem";0;0,037;0,048;0,194
"oficial";0,048;0,776;0,505;0,006
"necessário";0,133;0,123;0,712;0,883
"menor";0,041;0,082;0,152;0,172
"irmão";0,041;0,009;0,429;0
"habitante";0,041;0;0,057;0,013
"futuro";0,075;0,303;0;0,127
"fundo";0,162;0;0,093;0,375
"final";0,03;0,158;0,048;0,147
"espaço";0,615;0,557;0,458;0,375
"dificuldade";0,632;0,806;0,215;0,157
"confirmar";0,048;0,399;0,925;0,006
"comprar";0,101;0,158;0;0,194
"cabeça";0,207;0,199;0,954;0,017
"baixo";0,802;0,298;0,215;0,038
"atuar";0,008;0,199;0,086;0,532
"apresentador";0,546;0,277;0,108;0,301
"americano";0,28;0,099;0,097;0,316
"alegar";0,027;0,413;0,1;0
"agente";0,326;0,029;0,039;0
"universidade";0,162;0,323;0,018;0,935
"taxa";0,28;0;0,13;0,031
"tarde";0,446;0,2;0,247;0,002
"servidor";0,064;0;0,026;0,103
"seguinte";0,516;0,459;0,141;0,194
"restaurante";0,162;0,076;0,947;0,002
"razão";0,101;0,946;0;0,047
"ratton";0,324;0,001;0,235;0,232
"produtor";0,417;0;0,014;0,013
"padrão";0,676;0,231;0,749;0,055
"otto";0,24;0,019;0,694;0
"nota";0,24;0,974;0,106;0,008
"março";0,207;0,015;0,593;0
"localizar";0,075;0,039;0,13;0,316
"hotel";0,782;0,21;0,235;0,027
"fundamental";0,087;0;0,935;0,038
"forte";0,746;0,099;0,305;0,711
"estrada";0,782;0,332;0,235;0,954
"especial";0,937;0,05;0,215;0,001
"discurso";0;0,076;0,093;0,091
"destacar";0,676;0,513;0,381;0,055
"carreira";0;0,037;0,048;0,047
"belo";0,005;0,887;0,235;0,232
"avô";0,036;0,008;0,047;0
"ambiental";0,064;0;0,106;0,025
"agência";0,055;0,001;0,086;0,971
"aberto";0,226;0,092;0,161;0,157
"testemunha";0,041;0,009;0,057;0
"terceiro";0,802;0,092;0,039;0,576
"site";0,381;0,946;0,031;0,194
"silva";0,484;0,015;0,261;0,003
"salário";0,041;0,04;0;0,055
"responder";0,176;0,479;0,067;0,02
"regra";0,91;0,051;0,924;0,047
"quantidade";0,381;0,001;0,552;0,047
"proposta";0,326;0;0,161;0,038
"professor";0,726;0,413;0,006;0,114
"previdência";0,087;0;0,039;0,038
"pessoal";0,008;0,063;0,954;0,58
"novembro";0,381;0,459;0,433;0,445
"médio";0,075;0;0,808;0,031
"motivo";0,615;0,841;0,947;0,469
"mineiro";0,055;0;0,021;0,02
"metro";0,726;0,011;0,116;0,471
"medo";0,484;0,015;0,593;0,017
"maílson";0,036;0;0,011;0,011
"ligar";0,979;0,684;0,476;0,75
"investimento";0,048;0;0,215;0,068
"idade";0,087;0,125;0;0,157
"foto";0,543;0,063;0,067;0,532
"força";0,516;0,158;0,199;0,032
"famoso";0;0,158;0,199;0,541
"euro";0,075;0,001;0,38;0,371
"estudante";0,055;0,479;0,954;0,017
"especialista";0,118;0,898;0,014;0,241
"equipamento";0,064;0,016;0,026;0,156
"envolver";0,857;0,529;0,315;0,844
"energia";0,476;0,012;0,632;0,016
"crescimento";0,24;0;0,106;0,103
"construir";0,075;0,148;0,022;0,031
"compromisso";0,022;0,684;0,759;0,181
"comida";0,207;0,015;0;0,02
"apartamento";0,963;0,015;0,261;0
"vargas";0,27;0,161;0,184;0
"tributário";0,075;0;0,032;0,127
"transação";0,048;0;0,07;0,016
"total";0,963;0,001;0,086;0,083
"tentativa";0,705;0,835;0,032;0,023
"solução";0,381;0;0,048;0,047
"setor";0,064;0,003;0,315;0,68
"roberto";0,726;0,097;0,878;0,063
"representar";0,705;0,007;0,13;0,371
"reduzir";0,048;0;0,215;0,068
"recente";0,523;0,067;0,307;0,782
"quilômetro";0,138;0,001;0,794;0,073
"presente";0,696;0,076;0,121;0,935
"possuir";0,064;0,016;0,149;0,025
"período";0,27;0,556;0,476;0,75
"papel";0,97;0,898;0,774;0,652
"olho";0,084;0,835;0,38;0,371
"objectivo";0,476;0,776;0,104;0,493
"natural";0,118;0,003;0,774;0,058
"livre";0,546;0,843;0,773;0,301
"imprensa";0,446;0,047;0,06;0
"helicóptero";0,048;0,012;0,017;0
"funcionar";0,326;0,02;0,459;0,448
"frança";0,979;0,161;0,184;0,006
"eua";0,381;0,158;0,552;0,005
"distribuir";0,048;0;0,017;0,016
"desenvolver";0,24;0;0,315;0,025
"depender";0,004;0,974;0,694;0,025
"crescer";0,381;0,545;0,031;0,047
"correto";0;0,22;0,026;0,025
"correr";0,178;0,05;0,028;0,305
"conteúdo";0,001;0,982;0,116;0,114
"construção";0,696;0,323;0,458;0,935
"conselho";0,178;0,784;0,017;0,001
"claro";0,979;0,684;0,759;0,484
"busca";0,97;0,564;0,774;0,788
"autoridade";0,24;0,246;0,106;0
"análise";0,138;0,277;0,307;0,214
"acidente";0,207;0,015;0,593;0
"vivo";0,087;0,003;0,935;0,157
"superior";0,227;0,003;0,601;0,143
"sozinho";0,326;0,125;0,01;0,921
"reunir";0,324;0,21;0,274;0,28
"plano";0,084;0,148;0,13;0,127
"perda";0,28;0,007;0,38;0,371
"participação";0,402;0,124;0,06;0,652
"operar";0,101;0,001;0,199;0,541
"noivo";0,087;0,029;0,039;0
"negro";0,859;0,124;0,146;0,001
"modo";0,207;0;0,021;0,083
"militar";0,075;0,099;0,13;0
"manifestar";0,191;0,982;0,116;0,007
"mandar";0;0,047;0,06;0,788
"litro";0,075;0;0,032;0,031
"lincoln";0,546;0,277;0,773;0,781
"lidar";0,615;0,557;0,947;0,935
"legal";0;0,254;0,074;0,3
"iniciativa";0,064;0;0,026;0,103
"gosto";0;0,076;0,947;0,091
"função";0,124;0,332;0,235;0,232
"frente";0,008;0,125;0,039;0,224
"falta";0,191;0,387;0,06;0,114
"doença";0,055;0,896;0;0,083
"câncer";0,087;0,125;0;0,038
"conversar";0,516;0,037;0,433;0,445
"contrário";0,615;0,841;0,458;0,935
"carlos";0,516;0,037;0,004;0,194
"cantor";0;0,029;0,039;0,157
"atingir";0,101;0,158;0,924;0,005
"alexandra";0,075;0,023;0;0,127
"acesso";0,118;0,003;0,06;0,788
"índio";0,039;0,843;0,304;0,301
"utilização";0,101;0;0,199;0,194
"técnico";0,162;0,031;0,382;0,935
"trauma";0,326;0,029;0;0,157
"texto";0;0,037;0,552;0,047
"teatro";0;0,037;0,199;0,047
"sucesso";0,059;0,69;0,616;0,073
"sentar";0,326;0,029;0,215;0,061
"rússia";0,162;0,076;0;0,375
"russo";0,859;0,124;0,023;0,593
"resolver";0,207;0,896;0,003;0,083
"reserva";0,087;0,092;0,161;0,224
"regime";0,064;0,529;0,106;0,008
"prêmio";0;0,097;0,116;0,114
"proteção";0,075;0,835;0,38;0,023
"propriedade";0,087;0;0,039;0,038
"prever";0,381;0,051;0,199;0,939
"preservação";0,101;0;0,048;0,047
"prefeito";0,064;0;0,315;0,025
"porto";0,857;0,079;0,694;0,043
"permanecer";0,101;0,545;0,141;0,541
"parceria";0,726;0,001;0,116;0,114
"palestra";0,015;0,405;0,247;0,058
"palavra";0;0,076;0,093;0,375
"nível";0,162;0,031;0,947;0,375
"nardoni";0,381;0,037;0,199;0
"moderno";0,324;0,332;0,963;0,954
"menino";0,101;0,037;0;0,194
"lançar";0,084;0,039;0,13;0,031
"joão";0,101;0,047;0,663;0,322
"instituto";0,101;0,201;0,924;0,939
"homicídio";0,162;0,076;0,093;0
"gerar";0,381;0,201;0,141;0,047
"fácil";0;0,573;0,694;0,025
"fonte";0,24;0,003;0,694;0,103
"fechado";0,226;0,806;0,039;0,224
"encaminhar";0,207;0,656;0,021;0,003
"década";0,393;0,779;0,146;0,693
"dor";0,381;0,037;0;0,047
"determinado";0,226;0,092;0,459;0,038
"defender";0,523;0,69;0,074;0,006
"cultural";0,393;0,138;0,773;0,301
"criação";0,191;0,011;0,478;0,471
"criatividade";0,001;0,125;0,562;0,038
"condenar";0,087;0,029;0,039;0
"compra";0,138;0,254;0,043;0,629
"coleta";0,064;0;0,106;0,025
"causar";0,101;0,459;0,433;0,147
"cara";0;0,059;0,307;0,3
"canal";0,782;0,332;0,963;0,232
"bonito";0;0,059;0,307;0,073
"assunto";0,101;0,2;0,774;0,652
"apoio";0,326;0,298;0,215;0,157
"aluno";0;0,545;0,048;0,047
"ajuda";0,516;0,545;0,924;0,194
"abrir";0,158;0,545;0,552;0,194
"virar";0,001;0,161;0,759;0,181
"via";0,087;0,298;0,215;0,448
"veículo";0,118;0,564;0,247;0,002
"vaticano";0,381;0,037;0,552;0
"up";0;0,029;0,039;0,038
"tocar";0;0,459;0,199;0,194
"stand";0;0,029;0,039;0,038
"sp";0,615;0,076;0,382;0,002
"sala";0,393;0,53;0,683;0,593
"rural";0,087;0;0,039;0,157
"ressaltar";0,118;0,025;0,247;0,788
"referência";0,002;0,557;0,093;0,091
"redação";0,124;0,21;0,963;0,954
"provocar";0,97;0,898;0,06;0,087
"necessidade";0,101;0,545;0,141;0,541
"morador";0,101;0,545;0,924;0,445
"melhorar";0,726;0,011;0,478;0,114
"manhã";0,118;0,047;0,06;0
"manancial";0,075;0;0,032;0,031
"luta";0,838;0,059;0,794;0,045
"lago";0,248;0,113;0,184;0,181
"internacional";0,393;0,843;0,304;0,111
"ideal";0,696;0,841;0,121;0,091
"histórico";0,248;0,556;0,759;0,181
"graça";0,015;0,2;0,312;0,058
"governador";0,101;0;0,048;0,194
"geração";0,402;0,898;0,312;0,058
"figura";0,546;0,277;0,108;0,301
"festa";0,199;0,076;0,382;0,126
"familiar";0,402;0,047;0,083;0,652
"experiência";0,782;0,887;0,274;0,232
"exigir";0,199;0,841;0,093;0,469
"entregar";0,158;0,158;0,048;0,032
"distrito";0,191;0,387;0,478;0,317
"discutir";0,979;0,556;0,184;0,484
"devido";0,446;0,564;0,014;0,241
"deus";0,381;0,037;0;0,047
"delegado";0,191;0,413;0,116;0
"defesa";0,087;0,691;0,161;0,011
"dedicar";0,119;0,413;0,309;0,114
"dan";0;0,019;0,026;0,025
"conhecimento";0,24;0,573;0,149;0,844
"comunicado";0,118;0,047;0,06;0
"começo";0,001;0,161;0,759;0,181
"cobrir";0,101;0,545;0,141;0,541
"central";0,199;0,169;0,382;0,091
"característica";0,446;0;0,247;0,058
"básico";0,087;0,092;0,215;0,157
"buscar";0,27;0,113;0,759;0,75
"bruno";0,446;0,047;0,663;0,002
"aumentar";0,162;0,031;0,947;0,375
"atender";0,087;0,02;0,039;0,224
"ar";0,199;0,076;0,018;0,091
"alimentar";0,381;0,158;0;0,194
"alexandre";0,326;0,029;0,039;0
"zona";0,28;0,303;0,305;0,316
"warmbier";0,118;0,047;0,06;0
"verde";0,004;0,53;0,601;0,143
"van";0,138;0,059;0,074;0
"usuário";0,118;0,003;0,663;0,241
"unidade";0,087;0,003;0,161;0,921
"técnica";0,075;0,303;0,022;0,711
"século";0,002;0,076;0,458;0,091
"supermercado";0,118;0,564;0,663;0,015
"stulbach";0;0,023;0,032;0,031
"solo";0,101;0;0,048;0,194
"significativo";0,162;0;0,382;0,091
"seguida";0,615;0,323;0,382;0,02
"rádio";0;0,2;0,06;0,058
"reportagem";0,138;0,059;0,794;0
"questionar";0,138;0,059;0,207;0,045
"queda";0,381;0,158;0,199;0
"proprietário";0,075;0,408;0,13;0,023
"promover";0,118;0,124;0,774;0,652
"preparar";0,859;0,53;0,023;0,143
"peça";0,546;0,843;0,773;0,301
"pena";0,402;0,2;0,06;0,015
"pagamento";0,075;0;0,38;0,127
"pacto";0,523;0,69;0,794;0,214
"observar";0,859;0,53;0,18;0,593
"notícia";0,782;0,21;0,963;0,28
"normal";0,326;0,125;0;0,157
"milhar";0,838;0,277;0,616;0,073
"marido";0,101;0,037;0,141;0,032
"língua";0,523;0,254;0;0,073
"km";0,27;0,113;0,184;0,484
"investir";0,118;0,003;0,663;0,241
"iniciar";0,523;0,067;0,074;0,629
"impacto";0,859;0,036;0,601;0,143
"gênero";0,27;0,161;0;0,181
"grosso";0,075;0;0,13;0,031
"financeiro";0,101;0;0,552;0,047
"esposo";0,326;0,029;0,057;0,224
"enorme";0,859;0,124;0,683;0,186
"enfrentar";0,087;0,373;0,215;0,224
"economia";0,101;0;0,552;0,047
"diário";0,191;0,413;0;0,114
"desenvolvimento";0,446;0;0,06;0,058
"delegacia";0,075;0,023;0,032;0
"custo";0,326;0,691;0,01;0,038
"consumo";0,101;0;0,048;0,047
"certeza";0,002;0,323;0,382;0,375
"cantar";0;0,124;0,601;0,143
"broadcast";0,075;0;0,032;0,031
"bridge";0,101;0,037;0,048;0
"atacar";0,101;0,037;0,433;0,005
"assistir";0,001;0,029;0,161;0,576
"assassino";0,295;0,059;0,307;0,045
"aprovar";0,381;0,201;0,924;0,541
"anunciar";0,523;0,69;0,794;0,214
"aeronave";0,326;0,125;0,039;0
"aceitar";0,446;0,2;0,06;0
"órgão";0,138;0,69;0,307;0,006
"volume";0,446;0;0,06;0,058
"visual";0,324;0,887;0,963;0,28
"violento";0,27;0,684;0,083;0,75
"verdadeiro";0,726;0,413;0,06;0,471
