"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"congresso";0;0,001;0,019;0,178;0;0;0
"questão";0,021;0,51;0;0,656;0,189;0,125;0,359
"possível";0,47;0,988;0,433;0,148;0,013;0,182;0
"aprovar";0;0,005;0,001;0,02;0,003;0;0,007
"proposta";0;0,422;0;0,474;0,001;0;0,003
"bom";0;0;0;0,025;0;0,095;0,033
"responder";0,048;0,276;0;0;0,611;0,136;0,003
"presidência";0,002;0,221;0,013;0,005;0,549;0;0,001
"colocar";0;0,002;0,39;0;0,346;0,002;0,187
"sistema";0,51;0,001;0,001;0;0,021;0,439;0,629
"pf";0;0;0;0;0,439;0;0
"documento";0;0,02;0,003;0,021;0;0,002;0
"parlamentar";0;0;0;0;0;0;0
"divulgar";0,004;0,006;0;0,036;0;0,03;0,629
"problema";0;0;0;0;0;0,065;0,71
"arma";0,003;0;0;0,005;0;0;0
"reunião";0,001;0,006;0,512;0,122;0,042;0,448;0
"delator";0;0,545;0;0;0;0;0
"procurador";0;0;0;0;0;0;0
"apoio";0,021;0,002;0,052;0,977;0,175;0,001;0,001
"região";0,136;0;0;0,144;0;0;0,002
"sair";0;0,01;0,012;0,074;0,099;0,005;0,001
"psdb";0;0,214;0,034;0;0,012;0;0
"negar";0;0;0;0;0;0,098;0,085
"petrobras";0;0,138;0,031;0,001;0;0;0
"pena";0;0;0,031;0,01;0,003;0,001;0
"instância";0;0;0,015;0;0;0;0
"g1";0;0,005;0;0,024;0,008;0,448;0
"filho";0;0,27;0,178;0;0,009;0,803;0
"ato";0,142;0;0,666;0;0,804;0,063;0,018
"fachin";0;0;0;0;0;0;0
"janot";0;0,056;0;0;0;0;0
"mandato";0;0;0;0,038;0,008;0,101;0
"sociedade";0;0,003;0;0;0;0,097;0
"internacional";0,008;0;0;0;0,002;0,007;0
"mpf";0;0;0,001;0;0;0;0
"joão";0;0,15;0,005;0;0;0,528;0
"declarar";0,108;0,004;0,215;0,034;0;0,904;0,017
"responsável";0;0;0,53;0,509;0;0,035;0,005
"palocci";0;0,04;0,016;0;0;0;0
"investigar";0;0,826;0;0;0,258;0;0
"voltar";0;0,063;0,001;0,03;0;0;0,227
"principal";0,222;0,028;0,73;0,068;0,003;0;0,056
"ex_ministro";0;0,774;0,003;0;0;0,005;0
"condenação";0;0;0;0;0,001;0,015;0
"cidade";0;0,069;0,002;0,084;0;0,051;0,257
"acusação";0;0,009;0;0;0;0,003;0,003
"janeiro";0,001;0,032;0,431;0,033;0;0;0,017
"importante";0,261;0,007;0,002;0;0;0,871;0,571
"regime";0;0,604;0;0,013;0;0,006;0
"exemplo";0,142;0,062;0,013;0;0,079;0,015;0,199
"próximo";0,047;0,545;0,696;0,53;0;0;0,839
"acabar";0;0,062;0;0,982;0,049;0,049;0,041
"área";0,428;0,001;0;0;0,482;0,515;0,488
"trabalhar";0;0,006;0,008;0,021;0,011;0,031;0,805
"ponto";0;0,964;0,221;0,182;0,003;0,908;0,029
"votar";0;0;0,191;0;0;0;0
"teste";0;0;0;0;0;0;0
"existir";0,392;0,057;0,023;0;0,086;0,451;0,042
"entrevista";0,625;0,013;0;0,059;0;0;0,101
"programa";0,237;0;0;0,012;0;0,433;0
"criar";0,068;0;0;0;0,212;0,778;0,562
"serviço";0,077;0,001;0,009;0;0;0,001;0,36
"citar";0,044;0,311;0,001;0,249;0,03;0,189;0,038
"tratar";0,081;0,739;0,117;0,002;0;0,131;0,42
"kim";0;0;0;0;0;0;0
"partir";0,052;0,057;0;0,157;0,171;0,006;0,752
"número";0,716;0,002;0,065;0;0,161;0,158;0,097
"mostrar";0,051;0,004;0,13;0,051;0,745;0,338;0,223
"melhor";0;0,003;0;0;0;0,681;0,687
"josé";0,007;0,001;0,289;0;0;0,481;0
"esperar";0,003;0,153;0,006;0,487;0,004;0,14;0,108
"parecer";0,003;0,109;0,027;0,301;0;0;0,027
"ordem";0,131;0,015;0,571;0,084;0,001;0,315;0,003
"contrato";0;0,001;0;0,002;0;0;0
"conselho";0;0,495;0,134;0,321;0,356;0,556;0
"brasília";0,351;0,263;0;0,089;0,066;0,17;0,006
"assunto";0,268;0,702;0;0,128;0,333;0,78;0,045
"oas";0;0,025;0;0;0;0;0
"encontrar";0,001;0;0,417;0,565;0,001;0,026;0,614
"claro";0;0,114;0,004;0,126;0,003;0,107;0,332
"época";0,36;0,211;0;0,497;0,006;0,008;0
"usar";0,001;0,006;0,369;0,07;0,942;0,063;0,001
"família";0,324;0,067;0,137;0,883;0;0,235;0
"entrar";0,042;0,664;0,021;0,702;0,054;0,452;0,029
"participar";0,801;0,954;0,657;0;0,591;0;0,539
"premiar";0;0,022;0;0;0;0;0
"confirmar";0;0;0,402;0;0;0,004;0,337
"atual";0,077;0,022;0,233;0,362;0,503;0;0,677
"ameaça";0,001;0,032;0,001;0;0;0,005;0
"inquérito";0;0,095;0;0;0,023;0;0
"atuar";0,006;0,036;0;0,091;0,005;0,012;0,013
"questionar";0,002;0,146;0;0,074;0,143;0,01;0,182
"maia";0;0,002;0,021;0;0;0;0
"hora";0;0,053;0,459;0,233;0;0,009;0
"decidir";0,002;0;0,142;0,005;0,045;0,238;0,146
"petista";0,183;0;0;0,013;0;0,008;0
"lado";0;0,001;0,065;0,713;0;0,963;0,006
"governador";0;0,125;0,061;0,386;0,744;0;0,001
"guerra";0,217;0;0;0,005;0;0,001;0
"cumprir";0;0;0;0,241;0;0,49;0,001
"envolver";0,001;0,069;0,006;0,106;0;0,091;0,014
"criminoso";0;0;0;0,012;0,009;0,001;0
"mudança";0,328;0,008;0;0;0;0;0,963
"intervenção";0,016;0,001;0;0,664;0;0;0,017
"imóvel";0;0;0,002;0,002;0;0;0
"civil";0,785;0,667;0,374;0,519;0,059;0,604;0,469
"acreditar";0;0,023;0;0,013;0,005;0;0,002
"supremo";0;0;0;0;0;0,33;0
"mulher";0;0,02;0;0,458;0,26;0,097;0
"instituto";0;0,017;0,004;0,179;0;0,002;0,025
"encontro";0,063;0,014;0,081;0,343;0,302;0,07;0
"cercar";0,075;0,236;0,463;0;0,26;0,007;0,562
"banco";0;0,002;0,003;0;0;0,066;0,019
"tipo";0,01;0,153;0,012;0,053;0,003;0,018;0
"rússia";0;0;0;0,005;0;0;0
"início";0,987;0,057;0,717;0,703;0,008;0,864;0,888
"declaração";0;0;0,826;0,015;0,602;0,195;0,002
"movimento";0;0,009;0;0,211;0;0,003;0,016
"foro";0;0;0,003;0,009;0;0,003;0
"anunciar";0,003;0,002;0,005;0,058;0,001;0,015;0
"acusar";0;0;0,167;0;0;0,003;0,062
"impeachment";0,872;0,903;0,005;0,222;0,001;0;0
"geral";0,024;0,169;0;0,245;0,077;0,516;0,043
"único";0,016;0,861;0,021;0,911;0,304;0,266;0,153
"neve";0;0,001;0;0;0,064;0,002;0
"interesse";0,027;0,177;0,861;0,28;0,021;0,5;0,245
"seguir";0,497;0,035;0,72;0,004;0,002;0,537;0,01
"réu";0;0;0,308;0;0;0;0
"planalto";0,032;0,012;0;0,003;0;0;0
"entender";0;0,697;0,038;0,001;0,005;0,1;0,273
"triplex";0;0;0;0;0;0;0
"organização";0,009;0,828;0;0,265;0;0,001;0,942
"ler";0,014;0,823;0;0,002;0,912;0,009;0
"prestar";0,001;0,878;0,586;0,012;0;0,001;0
"enviar";0,005;0,063;0;0,01;0,971;0,358;0,084
"vida";0;0,014;0,03;0,001;0;0,019;0,142
"senhor";0;0,042;0,084;0,85;0,575;0,122;0,001
"população";0,36;0;0;0;0;0,713;0,018
"empreiteiro";0;0,009;0,278;0;0;0;0
"corte";0;0;0,005;0,105;0;0,004;0
"local";0;0,002;0,006;0,071;0,505;0,305;0,673
"explicar";0,208;0,347;0,999;0,075;0,022;0,014;0,007
"setor";0,021;0,002;0,084;0;0;0,012;0,007
"pyongyang";0;0;0;0;0;0;0
"tornar";0,033;0,88;0,307;0,022;0,021;0,102;0,995
"previdência";0;0;0;0,013;0;0;0
"necessário";0,487;0,002;0,025;0,002;0,013;0,001;0,539
"violência";0;0,007;0,001;0;0;0,414;0
"longo";0,159;0,012;0,05;0,367;0,139;0,066;0
"história";0;0,628;0,033;0,999;0,009;0,02;0,011
"diretor";0,122;0,016;0;0,769;0,102;0,146;0,005
"lavagem";0;0;0,4;0;0,032;0;0
"carne";0;0;0;0;0,159;0;0,002
"assumir";0,09;0,34;0,099;0,911;0,783;0;0,029
"texto";0,009;0,062;0,743;0,236;0,042;0;0
"entregar";0;0,001;0;0,01;0;0,02;0,001
"constituição";0,256;0,528;0,176;0,021;0;0;0,011
"policial";0,001;0,821;0,001;0,952;0,158;0,011;0
"objectivo";0,076;0,22;0,786;0,462;0,884;0,082;0
"apontar";0,002;0,234;0,021;0,306;0,037;0,361;0,024
"silva";0,004;0,63;0,771;0,021;0;0,726;0
"permitir";0,676;0;0,004;0,066;0,002;0,094;0,758
"penal";0;0;0,002;0,03;0,116;0,001;0
"conta";0;0,674;0,009;0,337;0;0,254;0
"chefe";0,077;0,011;0;0,114;0,53;0,114;0,031
"mandar";0,863;0,437;0;0;0,012;0,025;0,001
"discurso";0,009;0,34;0;0,355;0;0;0,25
"rousseff";0,002;0,753;0,008;0,018;0;0,48;0
"palácio";0,007;0,002;0;0,001;0,255;0;0
"morte";0,003;0,13;0,022;0;0,001;0,008;0,484
"caixa";0,071;0,006;0,49;0,092;0;0,149;0
"alvo";0;0,085;0;0,001;0,727;0,462;0,205
"pgr";0;0,25;0;0;0,547;0;0
"possibilidade";0,084;0;0,171;0,07;0;0;0,62
"luiz";0;0;0;0,001;0;0,57;0
"investigado";0;0;0;0,001;0,011;0,001;0
"ajudar";0,035;0,045;0,049;0,452;0,505;0,195;0,888
"comissão";0;0,317;0,468;0,518;0,32;0;0
"rede";0;0,092;0,109;0,02;0,002;0,573;0,232
"prever";0;0;0,014;0;0,004;0,05;0,009
"período";0,7;0,62;0,13;0;0,26;0,149;0,005
"marco";0,45;0;0,984;0,041;0,004;0,01;0,001
"lembrar";0;0,547;0,053;0,997;0,905;0,198;0,128
"evitar";0,05;0,523;0,601;0,823;0,061;0,43;0,006
"condição";0,183;0,839;0,13;0;0,012;0,033;0,011
"atingir";0,071;0,006;0,019;0,734;0,046;0,041;0
"união";0,003;0,217;0,002;0;0,013;0,497;0,065
"renan";0;0,25;0,005;0;0;0;0
"superior";0;0;0,045;0,058;0,006;0;0
"chamado";0,396;0,594;0;0,399;0,691;0,157;0,012
"risco";0,381;0,265;0,175;0;0;0,002;0,043
"garantir";0,957;0,568;0,24;0;0,028;0,431;0,305
"economia";0,109;0;0;0;0;0,319;0,255
"compra";0;0,008;0,268;0,017;0;0;0,001
"centro";0;0,025;0,041;0,059;0,003;0,074;0,134
"posição";0,027;0,728;0,012;0,313;0,003;0,162;0,01
"perder";0;0,536;0,565;0,186;0,003;0,284;0,463
"indicar";0,016;0,24;0,028;0,254;0,206;0,879;0,483
"imprensa";0,101;0,081;0;0,067;0,109;0,011;0,708
"frente";0;0,035;0,207;0,101;0,022;0,308;0,226
"razão";0,433;0;0,063;0,109;0,042;0,53;0,078
"pensar";0;0,001;0,001;0,007;0;0,024;0,198
"fernando";0,001;0,265;0,371;0,001;0;0;0
"comprar";0,072;0;0,133;0,077;0;0,001;0,007
"prático";0,442;0;0,948;0,41;0,667;0,022;0,107
"procurar";0,032;0,002;0,662;0,532;0;0,03;0,039
"mudar";0;0,292;0,003;0,367;0,004;0,989;0,977
"instituição";0,621;0;0,209;0;0,005;0,067;0,152
"favor";0,037;0,029;0,102;0,004;0;0,04;0,003
"total";0;0,044;0,283;0;0;0,027;0,965
"suposto";0;0,469;0;0;0;0,013;0,073
"ouvir";0,089;0,014;0;0,015;0,376;0,274;0,002
"norte_coreano";0;0;0;0;0;0;0
"quinta_feira";0,005;0,013;0;0,001;0,117;0,04;0,525
"fase";0,002;0,071;0;0,028;0,429;0,007;0,17
"exterior";0,014;0,002;0,007;0,386;0;0,032;0
"esquema";0;0,421;0;0,002;0;0,006;0
"donald";0;0;0;0;0;0,002;0
"discutir";0,024;0,048;0,315;0,946;0,001;0;0,244
"chamar";0;0,053;0,111;0;0,144;0,343;0,714
"autorizar";0,022;0,857;0;0,224;0,382;0,059;0,017
"oficial";0,005;0,13;0,134;0,198;0;0,041;0,018
"negociação";0;0,001;0,123;0,557;0,004;0,741;0
"junto";0,152;0,109;0,005;0,392;0,001;0,034;0,021
"viver";0;0,001;0;0,267;0,001;0,236;0,045
"russo";0,006;0;0;0;0;0,001;0
"mercado";0,685;0;0,005;0;0,518;0,317;0,006
"diverso";0,919;0,354;0,249;0,299;0;0,261;0,051
"analisar";0,006;0;0,928;0,002;0,002;0,138;0,135
"vídeo";0,919;0,122;0;0,059;0,573;0,619;0,004
"sexta_feira";0,289;0,017;0,006;0;0,214;0,693;0
"santo";0,879;0,159;0,311;0,141;0;0,023;0
"reportagem";0,044;0,389;0;0,068;0,041;0,288;0,001
"relatar";0,006;0,097;0,016;0,001;0;0,013;0
"manifestar";0,001;0;0;0,055;0,398;0,248;0,094
"homem";0;0,019;0,328;0,021;0;0,053;0,949
"diálogo";0,621;0,004;0;0,154;0;0,128;0
"determinar";0;0;0,027;0,005;0,944;0,8;0,16
"destacar";0,801;0,103;0,278;0,452;0,35;0,288;0,331
"acompanhar";0,071;0;0,995;0,097;0,097;0,12;0,151
"rua";0;0,001;0,035;0,106;0,002;0,416;0,002
"março";0,059;0,614;0;0,084;0,01;0,518;0,383
"lourar";0;0;0;0;0,312;0,001;0
"lançar";0,002;0,002;0;0;0;0,685;0
"gravação";0;0,052;0;0;0,119;0;0
"comando";0,642;0,052;0;0,055;0,001;0,663;0,001
"agência";0,072;0,014;0,738;0,665;0;0,003;0
"unidade";0,003;0,027;0,161;0;0;0,256;0,953
"povo";0;0,001;0;0,004;0;0,003;0,833
"plano";0,183;0,008;0,001;0;0,011;0,185;0,009
"noite";0;0,116;0,408;0;0,002;0,098;0,176
"jornal";0,672;0,001;0;0,031;0,447;0,014;0,56
"incluir";0,002;0,205;0,078;0,237;0,978;0,925;0
"avaliar";0,065;0,002;0,997;0,072;0,001;0;0,299
"assinar";0,086;0,343;0,822;0,111;0,199;0;0,17
"íntegro";0;0,004;0;0,001;0,918;0,02;0,002
"obra";0,479;0,001;0;0,425;0;0,047;0
"maneira";0;0,013;0,009;0,101;0,053;0,827;0,001
"ideia";0;0,04;0,001;0;0;0,719;0,224
"fossar";0,692;0,355;0,249;0,299;0,006;0,151;0,463
"certo";0;0,04;0,013;0,087;0,004;0,05;0,339
"causa";0;0,077;0,026;0,278;0,67;0,693;0,03
"votação";0;0,052;0,001;0,002;0;0;0,001
"uscifrão";0;0,056;0,003;0;0;0,001;0,191
"resultado";0,96;0,682;0,002;0;0,011;0,022;0,075
"resposta";0,682;0,019;0,116;0,785;0,084;0,024;0
"ganhar";0,024;0,072;0,024;0,858;0;0;0,384
"usado";0,879;0,018;0,109;0,791;0;0,05;0,518
"segunda_feira";0;0,021;0,029;0,073;0,038;0,014;0,066
"roberto";0,004;0;0,52;0,001;0;0,208;0
"preciso";0;0,077;0,026;0,012;0,018;0,13;0,002
"passivo";0;0;0;0;0,188;0,001;0
"fiscal";0;0,001;0,504;0;0;0,602;0
"terça_feira";0,029;0,868;0,449;0,04;0,452;0,119;0,059
"rocha";0,001;0,001;0;0;0,151;0,007;0
"financeiro";0;0,001;0,257;0;0;0,005;0,008
"diferente";0;0,118;0,021;0,003;0,066;0,143;0,705
"sentido";0,158;0,983;0,151;0,168;0,312;0,402;0,825
"quarta_feira";0,032;0,037;0,163;0,044;0,376;0,004;0,575
"lugar";0;0,011;0,088;0,593;0,332;0,421;0,097
"julgar";0,018;0;0,015;0,09;0;0,349;0
"alto";0,35;0,532;0,406;0;0,014;0,031;0,825
"tentativa";0,065;0,927;0,003;0,161;0,259;0,973;0,047
"prefeito";0,823;0,973;0,033;0,916;0,012;0;0,001
"notícia";0;0,023;0,571;0,012;0,006;0,384;0
"acesso";0,014;0,36;0;0;0,447;0,005;0,003
"revelar";0,004;0,281;0;0,393;0;0,053;0,07
"judiciário";0,071;0;0,007;0,436;0,001;0,17;0
"exercício";0,023;0,111;0,141;0,104;0;0,012;0
"central";0,295;0,021;0,028;0;0,172;0,254;0,05
"busca";0,048;0,01;0;0,195;0,312;0,031;0,677
"aéreo";0,031;0,004;0,654;0,222;0;0,006;0
"atividade";0,078;0,656;0,342;0,052;0,271;0,504;0,001
"aliado";0,02;0,009;0,016;0,172;0,012;0,008;0
"água";0,779;0,001;0,001;0;0;0,001;0,576
"turma";0,001;0;0,306;0;0;0,082;0
"tema";0,35;0,73;0,003;0,168;0,001;0;0,677
"regra";0,009;0,241;0,001;0;0,001;0;0,026
"plenário";0;0;0,406;0;0;0;0
"europeu";0;0,001;0;0;0;0,003;0,097
"capital";0,004;0,347;0,909;0;0,007;0,06;0,04
"órgão";0,214;0,111;0;0;0,006;0,005;0,003
"uso";0,672;0,027;0,904;0,405;0,854;0,073;0,029
"representar";0,95;0,159;0,265;0,542;0,065;0,056;0,003
"palavra";0,001;0,532;0,197;0,013;0,671;0,031;0,677
"negócio";0,094;0;0,009;0;0;0,606;0,048
"demonstrar";0,145;0,321;0,028;0,111;0,891;0,068;0,069
"valer";0,919;0,173;0,854;0,009;0;0,132;0,308
"paraná";0,014;0,307;0;0,004;0,41;0,111;0,001
"manhã";0,962;0,48;0;0,004;0,027;0,147;0,418
"imagem";0;0,141;0,195;0,008;0,084;0,299;0,003
"forte";0;0,006;0,013;0;0;0,7;0,423
"denunciar";0,001;0,88;0;0,018;0,745;0,041;0,058
"democracia";0;0,149;0,002;0;0;0,093;0,378
"cometer";0,113;0;0,258;0,037;0,238;0,038;0,11
"acrescentar";0,567;0,76;0,242;0,882;0,013;0,913;0,002
"tse";0,001;0;0,171;0,002;0,093;0,015;0
"setembro";0,006;0,019;0,011;0,031;0,694;0,256;0,029
"sentença";0;0;0,001;0,001;0,017;0,001;0
"saúde";0;0,004;0,001;0;0,001;0,078;0,001
"reunir";0,17;0,502;0,074;0,135;0,013;0,248;0,372
"responsabilidade";0,124;0,61;0,004;0;0,043;0,001;0,554
"privilegiado";0,001;0;0;0,007;0,001;0,053;0
"prazo";0,012;0;0,124;0;0,098;0,468;0,013
"onu";0;0,001;0;0,017;0;0,002;0
"jong_un";0;0,001;0;0;0;0,001;0
"falta";0,662;0,11;0,124;0;0,002;0,527;0,03
"análise";0,071;0;0,195;0,399;0,084;0,001;0,058
"secretário";0,017;0,013;0,836;0,781;0,04;0,687;0
"retirar";0,135;0,149;0,123;0,267;0,829;0,018;0,449
"químico";0;0,001;0,002;0,005;0;0,001;0
"professor";0;0,021;0,003;0,109;0,001;0,236;0,979
"mundial";0,608;0,003;0,001;0;0;0,264;0
"lançamento";0,001;0,002;0,002;0;0;0,003;0
"futuro";0,236;0,437;0,005;0,024;0,004;0,001;0,821
"desenvolvimento";0,001;0;0,009;0;0,066;0,014;0,221
"balístico";0;0,001;0;0;0;0,001;0
"publicar";0,272;0,995;0,02;0,71;0,013;0,574;0,914
"doação";0,001;0,003;0,152;0,005;0;0,024;0,001
"curitiba";0;0;0;0,001;0,201;0,003;0,001
"buscar";0,795;0,397;0,836;0,066;0,238;0,16;0,101
