"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"federal";0,900723012672215;-0,413411493427804;0,772599695541368;0,461213808970379;0,270023905896598;-0,207675989568158;0,652102007690329;-0,299300074577571;0,559343777737815;0,333907812471466;0,195490876420668;-0,150352470005954;0,603659658355039;0,0773032865630528;0,225962937055522;0,0639245992533607;0,0197739063639426;0,00937561240908186;0,00333133309431736;0,000701779430542909;0,00245100731337769;0,000873454215945318;0,000299391848623183;0,000177095741795368;0,0041061569155106;0,726552920835871;0,00216755460908456
"ministro";0,714265371275521;-0,105394876993189;1,52039774519517;-0,215274215008475;0,273086401566826;-0,253878756284295;0,411131582363835;-0,0606653553340706;0,875141867354196;-0,123911969161426;0,157188698925327;-0,14613276661212;0,290247081978918;0,00384158903847887;0,669085494731739;0,0106484519219354;0,0154641918252781;0,0107131905036524;0,00205343492958481;4,4709597195913e-05;0,00930413896380219;0,000186528751376697;0,000300166280843607;0,000259426584972902;0,00402496172226604;0,830898041577417;0,00277879958425189
"ex_presidente";1,03338650813126;-1,14859956204553;-0,608540826829029;-0,773614747859413;-0,72052710265042;0,357838066639661;0,516488137138053;-0,574071795451701;-0,304149624122489;-0,386653819108774;-0,360120533873008;0,178848006028277;0,422654679383387;0,317410017790921;0,0745689550724065;0,0956672659203359;0,0748926430027442;0,0148064388302034;0,0042176930520278;0,00521058744506062;0,00146261100381613;0,00236373549442016;0,00205045403859233;0,000505734374557459;0,00394956618568181;0,996189631967366;0,00391952492758286
"brasil";-0,130781246319215;1,31788895824279;-0,866998268632489;-0,0891808775204589;0,716817222733562;-0,770836168896692;-0,0687220102210363;0,692515028014725;-0,455584157174596;-0,0468621407806658;0,376668076606892;-0,405053572806332;0,0094006259558223;0,580292152090241;0,210194234373077;0,00176548115544309;0,102934533138025;0,095412973287388;6,26917374247558e-05;0,00636615196002423;0,00275521708472727;2,91516301354897e-05;0,0018833725019157;0,00217792806305697;0,00366538300932585;0,845355059949068;0,00261937498321059
"lava_jato";1,05884243941639;-0,885056372360022;0,562766332349873;0,493514186685084;0,576108915283756;0,0827424589657378;0,632386291678961;-0,52859377033667;0,336108282732473;0,294747919795089;0,344077047705312;0,0494173588457428;0,56629583793532;0,240517004266386;0,0813870702174119;0,0496859670802472;0,0611038097638701;0,00101031073676269;0,00416795473180899;0,00291207248077708;0,00117737966080014;0,000905439833355571;0,00123387028566036;2,54517213645528e-05;0,00371757991926878;0,881823617471216;0,0028908380734906
"dia";-0,0665023633490534;0,395760082951572;0,614437359657949;-0,4804638984076;0,0693118314917995;0,730515938323115;-0,0581503433448686;0,34605664440879;0,537270280764131;-0,42012252272255;0,0606069708824443;0,638770571346809;0,00815059787946956;0,175469853857367;0,353988412754628;0,171826682091917;0,00322707058593368;0,287337382830688;1,55435089349033e-05;0,000550476628626223;0,00132687538265972;0,000811327935495379;1,68845565046458e-05;0,00187557441483393;0,00351459193615738;0,461651676418511;0,000749037812752594
"caso";0,409823430683134;0,0690860970271839;0,626387819677556;-0,971840892756003;0,332070543218686;-0,278652796250974;0,314553191340081;0,0530258903472342;0,480773603812007;-0,745920392549618;0,254875249434514;-0,21387534185265;0,206128094660184;0,0035608047906811;0,244990214332483;0,46815291567719;0,0493267761379422;0,0278411944015239;0,000586397816375968;1,66640320319363e-05;0,00136988901652625;0,00329753272132265;0,000384998892819324;0,000271097546030768;0,00349139330951608;0,565718343710388;0,00111737589393052
"pessoa";-0,0462454580198669;0,949724294162563;-0,356126049391722;-0,0304351874751404;0,740911797833693;1,22146869607888;-0,0263816360929929;0,541789005668571;-0,203159147742714;-0,0173623545915846;0,422667787592385;0,696810973849413;0,00170911406949619;0,438178640378387;0,0515654571888681;0,000298977575668297;0,159898469466687;0,348349341320891;6,94589927725648e-06;0,00292944538786158;0,000411905693586733;3,0084463678043e-06;0,00178288500217329;0,00484568293439636;0,0032478077297824;0,701060715163915;0,0015962524402278
"stf";1,08080479147682;-0,551393769786074;2,28372403501878;-0,333502459152188;0,942712286297472;-0,382861280899588;0,386147463606607;-0,19700070478078;0,815923699315744;-0,119152995734055;0,336810089236509;-0,136787802661886;0,264401941838103;0,0418328117689038;0,600586924068317;0,010167682428971;0,0733173668670756;0,00969327302863066;0,00327900567602629;0,000853436779390958;0,0146397914824576;0,000312209221953495;0,00249462907769408;0,000411462766432998;0,00280703382359764;1,31730703834989;0,00487103971204997
"rcifrão";0,989598653258246;-1,21410393293173;-2,089644733408;-0,207994703645591;-0,681722264382897;-0,263304634952472;0,363849952731647;-0,44639476534659;-0,768308581436625;-0,0764742987884118;-0,250651729218854;-0,0968103368633825;0,227530182402667;0,208188044091365;0,516159882433847;0,004059561739057;0,0393562931297367;0,00470603620332704;0,00283413818128994;0,00426593821985446;0,0126371093398717;0,00012520088024616;0,00134498606708995;0,000200641071213635;0,00289402867350253;1,30020448326544;0,00489244720835543
"mesmo";-0,0137557207904921;0,559732814812532;-0,125255866425129;-0,155518496032383;-0,0139682913847019;0,27996518362169;-0,020930099374033;0,85166481752312;-0,190583813919121;-0,236630099289873;-0,0212535374350819;0,425982702303869;0,000817852624814673;0,823176785123597;0,0345003108524095;0,0422207766053238;0,000307378386703282;0,0989768964071486;6,16744526341342e-07;0,00102117491228375;5,1136941641171e-05;7,88320272455918e-05;6,3595322162147e-07;0,000255473966911007;0,00325940704310305;0,301451810978558;0,000296192729668409
"processo";0,89046688967069;-0,320482670082601;1,08621034495379;-1,85876831457644;0,270372691971352;-0,26895071604348;0,373764920592677;-0,13451952130309;0,455926355081813;-0,78020013945131;0,113486339489246;-0,112889478757049;0,273534765925817;0,0215381953158027;0,207072944938584;0,481372500738005;0,00919138670589705;0,00729020637589745;0,0025430972412465;0,000329409800423782;0,00378403621976639;0,0110809740230023;0,000234451526978848;0,000231991901801062;0,00320721013316012;1,0670470772161;0,00365169566964269
"coreia";-3,57502967172719;-2,21374969296922;0,635647135760133;0,00550345392512197;-0,459898184029454;-0,20159299652924;-0,834846526536265;-0,516958294475691;0,148437314405755;0,00128517517761488;-0,107396144019088;-0,0470763121932813;0,796093321187176;0,185560244615589;0,0128042863339275;7,6195464905895e-07;0,00480182662731749;0,000739559281340977;0,0373587315308764;0,0143248422631023;0,00118104109477121;8,85326553924857e-08;0,00061823873240088;0,000118791044575103;0,00292302695680416;2,5111330937119;0,0184319924420317
"ver";-0,0816050710634758;0,388907207981631;-0,0736195726514263;0,275468752236702;0,354405926104486;0,581590160645073;-0,0973241031929024;0,463819769394313;-0,0878004123073625;0,328530432235653;0,422672739265672;0,693617934191489;0,0240751083955814;0,332390934656908;0,00996871202501671;0,110798125897169;0,165506217750922;0,357260901274402;2,12808111424424e-05;0,000483332354239882;1,73197040669259e-05;0,000242492642763327;0,000401380096809876;0,00108090614034298;0,00319561081983947;0,329613577429855;0,000347187490400321
"defesa";0,511791372028366;-1,03196425161305;0,631601827325396;-1,00569080090478;0,147834269504235;0,0649303371370151;0,307878959601296;-0,62079999292123;0,379953481256504;-0,604994641148419;0,0889328417319604;0,0390602220687644;0,171202313553324;0,423132364223224;0,132656634249285;0,266997035041715;0,00520657771744517;0,000805075215007572;0,000837027647392215;0,00340316643478062;0,00127479584293781;0,00323208548027247;6,98399825613477e-05;1,34725312200173e-05;0,00319561081983947;0,775193667957695;0,00192032314402739
"novo";-0,388980908657752;0,0743121353717417;-0,0123349386319248;0,199824449782211;-0,0594003744766593;-0,172956703319526;-0,810459864038083;0,15483279973196;-0,0257004199024683;0,416343560306885;-0,123763450469294;-0,360363357524449;0,836439780643837;0,0185575576262132;0,000427927899840821;0,0891515980634585;0,00710943158549356;0,0483137041811582;0,000466842611026955;1,70385800270629e-05;4,69448442678413e-07;0,000123200130543116;1,08866004013283e-05;9,22972398895768e-05;0,00308541734329328;0,266552658189557;0,000219219888303095
"acordo";0,128549891525205;-0,767321407551521;-0,353284223428337;0,537508416038059;0,176521169579564;-0,32743110458344;0,119489403275892;-0,713238852412186;-0,328383949168574;0,499623602370479;0,164079556725949;-0,304353016843814;0,0276660723193294;0,599213980832148;0,106309255239107;0,19535673594034;0,0190141133468042;0,0524398423222707;5,06033927683095e-05;0,00180297969675367;0,000382194729575557;0,000884721830955091;9,54178879247739e-05;0,000328303923556641;0,00306221871665197;0,484361964192192;0,000718416453185347
"dar";0,000721017134481166;0,582766829699734;-0,196130208337105;0,0162023954326426;0,0215290125679859;0,990937720389065;0,000618092519745479;0,499577334528104;-0,168132779197432;0,0138895165453746;0,0184557633784306;0,849482159597854;1,01302443329739e-06;0,402292213959184;0,0381360965184224;0,000206605071597658;0,000329196628601078;0,559034874797761;1,55274694782019e-09;0,00101437645899708;0,000114894302362279;7,84093705888945e-07;1,38438771173696e-06;0,00293293361904542;0,00298682318006774;0,448960048751122;0,000602039388762145
"pedir";0,473060312995517;-0,693725663424857;0,524494242765064;0,0799305192107007;0,0868271634625721;0,0569175789897217;0,473699522976876;-0,694663041505842;0,525202951455966;0,0800385231676827;0,0869444863239784;0,0569944873322851;0,337755342177776;0,44153786002819;0,211236594678413;0,00389446889687907;0,00414723677664474;0,00142849744209433;0,00062557927429211;0,00134531766295546;0,000769007850150573;1,78597177215633e-05;2,10746586542993e-05;9,05611982473834e-06;0,00279543451027699;0,510137761896772;0,000727485375623399
"ministério";0,591726039237313;-0,418647993782174;0,298871896662703;0,519189733640323;0,55020214547964;-0,32040300740026;0,521052635323659;-0,368646343017668;0,263175826402709;0,457179777477705;0,484488190231429;-0,282135346936417;0,466028801444252;0,14180536224826;0,060486724134854;0,14490299511816;0,146856901796291;0,039919215258181;0,00101737572763218;0,000509258209365387;0,000259543507388736;0,000783235209357585;0,00087959868026545;0,00029828621110006;0,00290562798682318;0,543233286408068;0,000857457802477129
"operação";0,878917362310753;-0,917573446445021;0,212007414682406;1,06464225874816;0,647935960466466;-0,213070746783299;0,486931673671266;-0,508347648087324;0,117454870831784;0,589825686854626;0,358964966663369;-0,118043970674112;0,400000873851694;0,265014573001427;0,01184092042229;0,237042395953071;0,0792332422399979;0,00686799453151754;0,00227146647215031;0,00247566523232174;0,000132163747200628;0,0033328644013013;0,00123445257907751;0,000133492817527374;0,00294042592678513;0,870942823088269;0,00223043480230191
"empresa";0,660540371453598;-0,605597545890029;-1,92185366822986;0,0410198900244731;0,0313502930565453;-0,651511025874611;0,297682214203909;-0,27292142337989;-0,866111565710343;0,0184862155541144;0,0141284697443651;-0,29361300708058;0,163815539296761;0,0837043071082382;0,705530035051697;0,000255152084624079;0,000134498666985649;0,0465604677916949;0,00122980792121484;0,00103372915816696;0,0104106821540797;4,74272055817784e-06;2,77026785783532e-06;0,00119641567173008;0,00281863313691829;1,02280746595069;0,00294867109351697
"político";0,323085758840405;0,546455433097325;-0,166510999452293;0,0205306616824589;0,091181826040449;-0,332741070995639;0,435579015883273;0,736722412733079;-0,224487447343654;0,0276791073774791;0,122929869133469;-0,448596152205584;0,311074133810692;0,540954821086253;0,0420370890312741;0,000507326954341355;0,00903073809836079;0,0963958910190781;0,000296037531315361;0,000846877588020317;7,86315792869674e-05;1,19541041734026e-06;2,35791265753873e-05;0,00031399589001567;0,00283603210689927;0,363042890384475;0,00037378942946754
"decisão";0,514670131563734;-0,201412298154684;1,49531609721121;-1,75699069761304;0,420421855558942;-0,393663119854999;0,210814199911312;-0,0825005569271514;0,612496912712428;-0,719681530854568;0,172209132936466;-0,161248478505393;0,0951585681668013;0,00885900950421997;0,408671634863773;0,447901654928299;0,0231440279388315;0,0162651045980795;0,000754295829252315;0,000115519618494781;0,00636721908327302;0,00879068464335522;0,000503331772178625;0,000441299297659141;0,00284763142021992;1,04562771712523;0,00311342171336282
"odebrecht";1,22520076409513;-1,86293292941164;-2,54763087462206;-0,43241695570025;-1,13871723063639;0,232341180456572;0,339813435641324;-0,516690535677445;-0,706593748242242;-0,119932255718586;-0,315826945025054;0,0644405856457485;0,200769410272109;0,282163408895852;0,441646244499115;0,0101004850358653;0,0632110809311832;0,00210937036587494;0,00391768321435924;0,0090575186445553;0,0169390014325001;0,000488000455909168;0,00338412645053295;0,000140885786556274;0,00260984549714657;1,71368327597974;0,00766436033654066
"dever";-0,100605579051618;0,601168506235223;0,432300314902748;-0,239690415543335;-0,265315673994601;0,0851128191271612;-0,120809159247968;0,721894973313273;0,519114725826857;-0,287824968103702;-0,318596282758339;0,102205148232397;0,026928058171762;0,58448931706617;0,252959223850821;0,0617328059827984;0,0682598184237953;0,00563077650465389;2,85874471951909e-05;0,00102076010298442;0,0005278400618421;0,000162267887374872;0,000198818622374675;2,04607333906497e-05;0,00282443279357862;0,384230306956071;0,000416979285468335
"norte";-3,35678167731917;-2,05319553205117;0,573275206182202;0,0296579763164821;-0,350565953285398;-0,183405927771987;-0,839992388395511;-0,51378635389479;0,143454908879715;0,00742153549317369;-0,0877247198946599;-0,0458950262854517;0,801832979179789;0,182356636483498;0,011898235229617;2,52798518903834e-05;0,00318753968679153;0,000699329568414582;0,0309761057082193;0,0115888741544317;0,000903455870406779;2,41804096329741e-06;0,00033784702317412;9,24713849467716e-05;0,00274903725699439;2,34937968832216;0,0151735445879514
"justiça";0,943733541387651;-0,436696357796793;1,12855236359492;-0,171319114717322;0,540911363909966;-0,118892179274965;0,575293528461274;-0,266207120469303;0,687957821602044;-0,104434963553029;0,329735877217002;-0,0724758613760554;0,501153451154676;0,0652310415517573;0,364614455786051;0,00667017704625836;0,0600070894215786;0,00232378503967896;0,00244838329144665;0,000524251600848806;0,00350125752398778;8,06849006983241e-05;0,00080432735065704;3,88586045954376e-05;0,00274903725699439;0,835480078819057;0,00191890212520912
"deputado";0,616687914953302;0,877607877333463;1,42440641201363;1,10443716755968;-2,26214289433968;-0,691322466254131;0,195068157370558;0,277601275092749;0,450562314261253;0,349350973131585;-0,715551635451065;-0,218676248343986;0,0868631516054837;0,106937237770609;0,235771364310741;0,112522794249881;0,426013325408164;0,0318921266551202;0,000970478315998691;0,0019654227833562;0,00517753210514568;0,00311269800676465;0,0130585522244065;0,0012195968718565;0,00255184893054331;1,31135331241129;0,00438828065923367
"delação";1,22513768686188;-1,3376633462347;0,436087628419892;1,94331762391557;0,567589121926539;-0,160609799748897;0,44426053698462;-0,485064693442796;0,158134490557071;0,704687595843863;0,205819681165471;-0,0582404709663314;0,346191342217902;0,25087840896107;0,0223157992192726;0,351793455885221;0,0270827610128152;0,0017382327037174;0,00391727983515155;0,00466990936607963;0,000496320633133431;0,0098560381637091;0,000840781069330273;6,7322289814187e-05;0,00260984549714657;1,30496501682677;0,0044443938362047
"ação";-0,217256944128491;-0,411164810170466;0,376136632307848;-0,796861312584418;0,196278115367029;-0,166328443373587;-0,211126773921559;-0,399563292531723;0,36552347751844;-0,774376896737286;0,190739888453628;-0,161635283059544;0,09430087629479;0,20531633391412;0,143806384795585;0,512374673416555;0,0280537266463787;0,0161480049325723;0,000116342541659638;0,000416699606650287;0,000348724514102752;0,00156515264339563;9,49587464222729e-05;6,8190560518891e-05;0,00246485408063843;0,443392020898962;0,000484581646311812
"trump";-3,00848405308812;-1,44597324335456;0,404406977855375;0,0174930813179035;-0,253673814789418;0,194728052804719;-0,890726120479108;-0,428111339346385;0,119733344808674;0,00517920127963707;-0,0751055644395318;0,0576534094788229;0,866965550887038;0,12174472590494;0,00797007125334245;1,18383947599359e-05;0,00224665351949892;0,00106116004042051;0,0222568433061445;0,00514148595955814;0,000402166064961733;7,52490065500093e-07;0,000158241146402832;9,32449204798972e-05;0,0024590544239781;2,02497126302854;0,0100833738529599
"querer";-0,0680410427528381;0,903610014582236;-0,0883738879757529;0,111580024432475;-0,0583093796191217;1,81347554829301;-0,0334666539090023;0,444449444088963;-0,0434675631621489;0,0548817288765597;-0,0286800399936608;0,891975726586421;0,00314502298954669;0,33718419019105;0,00269928248471833;0,00341592700494162;0,000841854720841084;0,652713722608901;1,11427478311651e-05;0,00196522577633115;1,87974225833969e-05;2,9965621193836e-05;8,18327644005613e-06;0,0079154168164902;0,00240685751403517;0,760380760485953;0,00139159423212915
"dinheiro";1,00966949218918;-1,04064614763644;-0,736011471461962;-0,43433674913628;0,00591919557858455;0,188152177003302;0,596178694247355;-0,614469453886585;-0,434592073348542;-0,256462454265371;0,00349510242543214;0,111098057407293;0,49974793600864;0,322717065822861;0,135107736239418;0,0373507621806982;6,2603170459405e-06;0,00507023943133539;0,00247727816643112;0,00263161570038652;0,00131639272540823;0,000458426231159606;8,51415763969465e-08;8,60270048075869e-05;0,00243005614067647;0,895108745841673;0,00194700877153798
"juiz";1,04551786734112;-0,659318557876243;1,14366093741026;-2,32590066693074;0,171667744967425;0,247201021525353;0,362116582159295;-0,228355908770369;0,396108572354963;-0,805578963555082;0,0594573646385282;0,0856184210880067;0,258032309897313;0,0623770743645081;0,157081216883609;0,51575954349623;0,00253551966760501;0,00421433569073834;0,00263095426701477;0,00104626327376353;0,0031480741718068;0,0130206512646614;7,09296448569422e-05;0,000147079079437426;0,00240685751403517;1,28993101518274;0,00400482322606542
"joesley";1,07633860748295;-1,00291237404835;0,536501702553781;2,66371325018804;1,0804084214033;0,0949538750096459;0,328680376824437;-0,306258285944951;0,163830954809565;0,81341528468579;0,329923171576614;0,0289959639114825;0,222355141458952;0,117354175891919;0,028106712917161;0,550019460334773;0,0816589267533669;0,000505582643826718;0,00260694486618935;0,00226339310796344;0,000647703462482747;0,0159664715604568;0,00262669671583536;2,02889417435323e-05;0,00225026678420638;1,4305314215358;0,00460499128557786
"receber";0,851483509551403;-0,938740758601913;-1,4145213351076;-0,299610071716629;-0,689353629263522;0,151851470249231;0,415720890367985;-0,458322609437623;-0,690613572992447;-0,146279011137718;-0,336564010131933;0,0741386388668365;0,290603782824435;0,214715481308101;0,408024549855067;0,0145316648055444;0,0694242697159829;0,00270025149086849;0,0017492347555317;0,00212611604030741;0,00482741481875744;0,000216575054231442;0,00114651501699518;5,5633145681639e-05;0,00241265717069549;0,98991448920384;0,00236423682033389
"república";0,836792108203554;-0,403364598937966;0,920478684131114;1,48032170365987;0,744927787257565;-0,116702172596819;0,395784915953018;-0,190782898552685;0,435366891087788;0,70016076313656;0,352335040902517;-0,0551976519854211;0,301627234324641;0,0426043741332452;0,18568694958898;0,381242569596942;0,0871248727613161;0,00171399959487428;0,00169751537792321;0,000394433801934356;0,00205402647728167;0,00531240013434594;0,00134526212499126;3,3016911700957e-05;0,00242425648401615;0,954892254913739;0,00221048365268521
"paulo";0,607094644915891;0,110882716748963;-0,7049921902002;-0,129608369224056;-0,591184012973433;0,616950926125601;0,476273797778349;0,0869889613691558;-0,553075719976486;-0,101679483999982;-0,46379169607683;0,484006181061636;0,421564404028258;0,00854873932277277;0,289226611997691;0,00776016571520747;0,14570514861885;0,127194930317221;0,000827229575649031;2,75956714268033e-05;0,00111553155854259;3,77032980752087e-05;0,000784437977860444;0,000854308033166385;0,00224446712754605;0,585998503198708;0,000770737096376873
"corrupção";0,753186573714155;-0,0822401505315137;0,622134435236183;-0,297425628773875;0,580840171826031;0,151608283528332;0,634313919185108;-0,0692604913823325;0,52394525559406;-0,25048404052573;0,489168313229848;0,127680508206032;0,607551581452238;0,00440320635266969;0,210894379883957;0,0382638413663135;0,131695129534068;0,00719186141075522;0,00125681335349191;1,49841958271957e-05;0,000857499997700658;0,000195984815204881;0,000747444477503325;5,0922710088755e-05;0,00221546884424442;0,605596090641239;0,000812515721419184
"senador";0,850139271683667;-0,228782036839457;1,17154265381185;1,61131990679822;-0,468254695534507;-0,177895958248738;0,380389735784957;-0,102367154940806;0,524199758072248;0,720975461347803;-0,209517764732452;-0,0795984832243216;0,278981718358254;0,0122818181125191;0,269544396311673;0,404774278303262;0,0308488001403137;0,00356898877397472;0,00158024269553299;0,000114442537485587;0,00300095749731527;0,00567684686847929;0,000479410913669633;6,91951725362263e-05;0,00218647056094279;1,0087284673953;0,00222480621370572
"dilma";0,827613141850888;-0,479778597025889;-0,641612177775715;-0,00639911483269761;-0,332916634051854;0,646737993171327;0,6074985102582;-0,352175150693185;-0,470966955998982;-0,00469718583629664;-0,24437306393464;0,474729493178767;0,572251227884901;0,116906039053471;0,174982929342365;1,38173754431176e-05;0,0337505903547394;0,102095395989081;0,00148966395172141;0,000500628180018727;0,000895320953007039;8,90580864077447e-08;0,000241048560297035;0,00090968346592834;0,00217487124762214;0,685655687464897;0,00102245856526563
"partido";0,297959632647744;1,15018198196549;0,206808814824857;0,446289281694844;-2,52767766714009;-0,117215746986509;0,104974361475827;0,405221398834821;0,0728609546564903;0,157232481336851;-0,890527843543259;-0,0412963597970591;0,0266772540714321;0,241647671050598;0,00653857132855946;0,0241720204194436;0,699758293429659;0,00120618970030695;0,000185876440113998;0,00276976297720355;8,95462859348093e-05;0,000417006091884006;0,0133768195518844;2,87661277682893e-05;0,00209367605437758;1,14329667058623;0,00273670107982331
"investigação";0,925077584524035;-0,861731765235343;0,58656261535952;1,72524212832485;0,934267124765446;-0,168256763867527;0,383455952297408;-0,357198336865182;0,243137364927578;0,715133924254355;0,38726512891502;-0,0697444827316818;0,284235944114929;0,149930543652917;0,0581393203992217;0,399279088435809;0,105667935660681;0,00274716773644031;0,00190585485986468;0,00165377991418131;0,00076623549776807;0,00662878018209294;0,00194390771122534;6,30490535973778e-05;0,00222706815756507;1,0874535869964;0,00263363126181152
"ficar";0,110969972015489;0,787522217061525;-0,393544223419809;-0,107693447670317;0,2166453909088;1,17041548755993;0,0745489204459411;0,529052409790066;-0,264380502858809;-0,072347772258634;0,145540993824759;0,786277670310881;0,0138343527243462;0,423542260353607;0,0885224621882258;0,00526235602330728;0,0192187530451317;0,449619815665381;2,64964167961708e-05;0,00133444851596994;0,000333244720555226;2,49548379981052e-05;0,000100989239457105;0,00294751696640824;0,00215167262098084;0,591286720487503;0,000752267751247074
