"";"*gr_01";"*gr_02"
"paulo";1;34
"íntegro";0;10
"estado";5;59
"privado";4;22
"executivo";0;15
"momento";4;20
"rcifrão";7;33
"vida";2;15
"nacional";1;30
"reunir";2;8
"fechar";0;10
"janot";3;22
"preso";0;24
"importante";0;15
"fernando";0;11
"crise";4;11
"contrato";2;14
"cometer";1;9
"congresso";1;10
"usar";4;7
"ação";1;37
"também";11;77
"desenvolvimento";2;10
"em";97;1033
"banco";3;21
"questionar";0;12
"aécio";0;13
"pf";5;19
"quanto";1;13
"troca";0;12
"supremo";2;12
"oas";3;16
"investigar";0;18
"assunto";3;8
"câmara";1;18
"membro";1;19
"benefício";0;15
"sempre";0;14
